Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Mwen ka ale lékòl chak jou.
Grammar Core (Sentence Structures & Tenses),I té ka travay yè swè.
Grammar Core (Sentence Structures & Tenses),Nou kay manjé pli ta.
Grammar Core (Sentence Structures & Tenses),Yo pa té konprann sa mwen di.
Grammar Core (Sentence Structures & Tenses),Li té ja fini travay-la.
Grammar Core (Sentence Structures & Tenses),Nou té ka palé di sa avan.
Grammar Core (Sentence Structures & Tenses),"Mwen té vlé wè’y, mé i té pati."
Grammar Core (Sentence Structures & Tenses),"Si mwen té sav, mwen pa té ka vini."
Grammar Core (Sentence Structures & Tenses),Yo té ka di sé té on bèl fèt.
Grammar Core (Sentence Structures & Tenses),Nou kay fè li si lapli pa tonbé.
Conversational Data (Real-Life Dialogues & Exchanges),"Bonjou, kouman ou yé jòdi-a?"
Conversational Data (Real-Life Dialogues & Exchanges),"Mwen byen, é ou menm?"
Conversational Data (Real-Life Dialogues & Exchanges),Ki lè ou ka sòti?
Conversational Data (Real-Life Dialogues & Exchanges),Mwen ka alé makèt la pou achté manjé.
Conversational Data (Real-Life Dialogues & Exchanges),Ou té wè Jan yè swè?
Conversational Data (Real-Life Dialogues & Exchanges),"Non, mwen pa té wè’y."
Conversational Data (Real-Life Dialogues & Exchanges),Mwen ka espéré lapli pa tonbé jòdi-a.
Conversational Data (Real-Life Dialogues & Exchanges),"Wi, tan-la ka parèt bèl."
Conversational Data (Real-Life Dialogues & Exchanges),Ala ou an fòm!
Conversational Data (Real-Life Dialogues & Exchanges),"Mèsi, mwen ka fè ti swen mwen chak maten."
Code-Switching & Multilingualism,"Mwen fini travay mwen, now I’m going home."
Code-Switching & Multilingualism,Ou sav si meeting-la start a 10?
Code-Switching & Multilingualism,"Li té di, ‘I coming just now’."
Code-Switching & Multilingualism,"Nou ka alé beach later, you coming?"
Code-Switching & Multilingualism,I pa té sure si yo finish homework-la.
Code-Switching & Multilingualism,Mwen té tell li sé pa bon konsa.
Code-Switching & Multilingualism,"Yo always talking too loud, wi."
Code-Switching & Multilingualism,"I say, ‘Don’t worry, mwen kay vini’."
Code-Switching & Multilingualism,De’y always mix up English é Créole.
Code-Switching & Multilingualism,"Sometimes, mwen jis feel tired of translating everything."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Doktè-la di mwen bizwen fè plis egzèsis.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nou ka soumèt rapò-a avan vandwédi.
