Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Сагъйр чӏал хьан кӏвал.
Grammar Core (Sentence Structures & Tenses),Сагъйр чӏал хьан кӏвала.
Grammar Core (Sentence Structures & Tenses),Сагъйр чӏал хьан кӏвалаб.
Grammar Core (Sentence Structures & Tenses),Сагъйр чӏал хьан кӏвалай.
Grammar Core (Sentence Structures & Tenses),Сагъйр чӏал хьан кӏвалуна.
Grammar Core (Sentence Structures & Tenses),Сагъйр чӏал хьан кӏвалунаб.
Grammar Core (Sentence Structures & Tenses),Сагъйр чӏал хьан кӏвалун.
Grammar Core (Sentence Structures & Tenses),Сагъйр чӏал хьан кӏвалунай.
Grammar Core (Sentence Structures & Tenses),Сагъйр чӏал хьан кӏваликъи.
Grammar Core (Sentence Structures & Tenses),Сагъйр чӏал хьан кӏвалда.
Conversational Data (Real-Life Dialogues & Exchanges),— Хӏан са дув? — Са лъачу ву.
Conversational Data (Real-Life Dialogues & Exchanges),— Гъанали? — Гъанали чун.
Conversational Data (Real-Life Dialogues & Exchanges),— Къай хъин? — Къай кӏвалал.
Conversational Data (Real-Life Dialogues & Exchanges),— Са хъиб цӏа? — Ацӏа хъиб чун.
Conversational Data (Real-Life Dialogues & Exchanges),"— Кӏвал са аъ? — Да, хьо кӏвалай."
Conversational Data (Real-Life Dialogues & Exchanges),"— Сахьур батал? — Батал, са дихьда."
Conversational Data (Real-Life Dialogues & Exchanges),— Къвада хьо бацӏ? — Къвада са бацӏал.
Conversational Data (Real-Life Dialogues & Exchanges),"— Мисса, хъулав хьо къи? — Къа, хъулав хьо чун."
Conversational Data (Real-Life Dialogues & Exchanges),— Хӏундел кӏуладиз? — Кӏуладиз чун.
Conversational Data (Real-Life Dialogues & Exchanges),— Хуьна са хъунду? — Са хъунду кӏвалунай.
Code-Switching & Multilingualism,Сагъйр на встречу кӏвал.
Code-Switching & Multilingualism,Сагъйр school кӏвалаб.
Code-Switching & Multilingualism,Мужчина doctor чун.
Code-Switching & Multilingualism,Аварский язык very beautiful.
Code-Switching & Multilingualism,"Я Russia ву, но Авар кӏвалай."
Code-Switching & Multilingualism,Базарда fruits и овощи хъунду.
Code-Switching & Multilingualism,English k'анал са лъачу.
Code-Switching & Multilingualism,Медреседа teacher кӏвалай.
Code-Switching & Multilingualism,Маршрут Russian водитель хьан.
Code-Switching & Multilingualism,Са homework сделай чун.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Доктор хъулав хъазул чун.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Юрист махъу хьан отчет ву.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Хъинда контракт подписал.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Совет по здравоохранению кӏвалда.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Пациент анализи баталаб.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Технология къвар кӏвалда.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Протокол согласован чун.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Анализ результатов опубликован.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Компания стратегию изменила.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Документ хьан сертификация кӏвал.
"Idioms, Proverbs & Cultural Expressions","Батал къилда, къай жугъ."
"Idioms, Proverbs & Cultural Expressions",Гъа вараб къудас.
"Idioms, Proverbs & Cultural Expressions","Хъума сехъе, хӏума ву."
"Idioms, Proverbs & Cultural Expressions","Жугъ къеб, хӏин баб."
"Idioms, Proverbs & Cultural Expressions","Къай везул, гъинул цӏал кӏвал."
"Idioms, Proverbs & Cultural Expressions","Хъунду хъилда, гъар кӏувал."
"Idioms, Proverbs & Cultural Expressions","Чӏал къасса, хъума къебаса."
"Idioms, Proverbs & Cultural Expressions",Цӏикӏин без хъума гъула.
"Idioms, Proverbs & Cultural Expressions","Син бугъа, батал къанц."
"Idioms, Proverbs & Cultural Expressions","Цӏана хъулав, са хъума хъулав."
Question-Answer Pairs (FAQ & Contextual Understanding),— Хӏин хъинда ву? — Са Махачкъала ву.
Question-Answer Pairs (FAQ & Contextual Understanding),"— Хӏинда кӏвалай? — Кӏвалай хӏинда, са кӏуладиз."
Question-Answer Pairs (FAQ & Contextual Understanding),— Хьо хьан аъ? — Са учитель ву.
Question-Answer Pairs (FAQ & Contextual Understanding),— Къай кӏвал? — Са батал хъин.
Question-Answer Pairs (FAQ & Contextual Understanding),"— Цӏикӏин хьо батал аъ? — Да, хьо батал."
