Categories,Sentences
Grammar Core (Sentence Structures & Tenses),tasuwa =yo tʃaari takaki =ri tʃabaruri.
Grammar Core (Sentence Structures & Tenses),"ã =yã ũtasira tiʃbarwa, ãbarwa tʃabarwa."
Grammar Core (Sentence Structures & Tenses),tas ye =rira =mã aka taiʃkari.
Grammar Core (Sentence Structures & Tenses),akãʃkwa ã =yã aryaha ũtakatʃaitVi =ras.
Grammar Core (Sentence Structures & Tenses),ĩ =kan ũtas =mã nĩhã ũtatũheri artʃuiʃbarpi =ra.
Grammar Core (Sentence Structures & Tenses),kwi pok akari tas =ma ã =yã.
Grammar Core (Sentence Structures & Tenses),taoʔk uriah taoʔk pok =i taaũh aye =ʔi kaʔo as =yã.
Grammar Core (Sentence Structures & Tenses),pẽh krahã =yo tekiʃka =ri kaʔo =ma.
Grammar Core (Sentence Structures & Tenses),yohra sõko ãu oh tiʃbarwa ã =yo.
Grammar Core (Sentence Structures & Tenses),"ã =yã tʃaa aka taiʃkari, ã =yo kabarwa tʃabaruri."
Conversational Data (Real-Life Dialogues & Exchanges),"—pesh =ma ayã? —ẽhe, pesh =ma ayã."
Conversational Data (Real-Life Dialogues & Exchanges),—tas yeʔriʃ ye =rira =mã? —tasuwa =yo tʃaari.
Conversational Data (Real-Life Dialogues & Exchanges),"—ã =yã ũtasira tiʃbarwa? —ẽhe, yohra tiʃbarwa."
Conversational Data (Real-Life Dialogues & Exchanges),"—takaki =ma ausiʔ =ri? —ẽhe, ausiʔ, pero tʃaari."
Conversational Data (Real-Life Dialogues & Exchanges),—kaʔo as =yã apuru? —ã =yã tʃabaruri.
Conversational Data (Real-Life Dialogues & Exchanges),—kwi pok akari tas =ma? —ã =yã kwi pok.
Conversational Data (Real-Life Dialogues & Exchanges),"—taoʔk aye mãyhi? —ẽhe, taoʔk aye mãyhi."
Conversational Data (Real-Life Dialogues & Exchanges),—artʃuiʃbarwa ã =yo? —ĩ =ɲa artʃuiʃbarwa.
Conversational Data (Real-Life Dialogues & Exchanges),"—pahpahko tVkabaruri? —ẽhe, pahpahko."
Conversational Data (Real-Life Dialogues & Exchanges),—akãʃkwa mã? —akãʃkwa ã =yã aryaha.
Code-Switching & Multilingualism,"ahora pesh =ma contarme, tas ye =rira =mã tʃaari."
Code-Switching & Multilingualism,"pero todo en pesh, y después ã =yã ũtasira tiʃbarwa."
Code-Switching & Multilingualism,"mhm, ẽhe, kaʔo as =yã family tʃabaruri."
Code-Switching & Multilingualism,"takaki =ma ausiʔ =ri, pero work tʃaberuri."
Code-Switching & Multilingualism,"yo digo ã =yã, porque house =ma pẽh krahã."
Code-Switching & Multilingualism,school =ra artʃuiʃbarwa ã =yo apuru piʃbarpi.
Code-Switching & Multilingualism,"ayer ãu tiʃbarwa, today sõko tiʃbarwa."
Code-Switching & Multilingualism,doctor =ra ũtas =mã nĩhã ũtatũheri.
Code-Switching & Multilingualism,meeting =ma pesh =ri español =ri tʃaberuri.
Code-Switching & Multilingualism,"gracias, ẽhe, ã =yo kabarwa tʃabaruri."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","ã =yã reunión =ma ũtatũheri, apuru piʃbarpi =ra."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",documento =ra nombre =mã nĩhã ũtakatʃaitVi.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",médico =mã ũtas =ri nĩhã ũtatũheri.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",contrato =ma takaki =ri tas =ri firma tʃaberuri.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",escuela =yã artʃuiʃbarwa =ra pẽh krahã =yo aula tʃaberuri.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",municipio =ma aryaha ũtakatʃaitVi =ras informe tʃaberuri.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",técnico =mã máquina =ra nĩhã kabarwa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",cliente =mã ẽhe tʃaari respuesta tʃaberuri.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",hospital =yã ũtasira =ma cuidado nĩhã tʃabarwa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",oficina =ma kwi pok registro =ri ã =yã tʃaberuri.
"Idioms, Proverbs & Cultural Expressions","pahpahko tVkabaruri, kaʔo as =yã memoria tʃabaruri."
"Idioms, Proverbs & Cultural Expressions","pẽh krahã =yo kaʔo =ma, corazón =ma tʃaari."
"Idioms, Proverbs & Cultural Expressions","ũtasira tiʃbarwa =ri, vida =ma ãbarwa tʃabarwa."
"Idioms, Proverbs & Cultural Expressions","takaki =ma ausiʔ, palabra =ma fuerte."
"Idioms, Proverbs & Cultural Expressions",taoʔk aye mãyhi =ri camino =ma apuru.
"Idioms, Proverbs & Cultural Expressions","ã =yã tʃaa aka taiʃkari, consejo =yo."
"Idioms, Proverbs & Cultural Expressions",yohra sõko ãu oh =ri mesa =ma alegría.
