Categories,Sentences
Grammar Core (Sentence Structures & Tenses),ངས་སེམས་ཁག་པོ་བསྐྱུར་ནས་ཕྱིན།
Grammar Core (Sentence Structures & Tenses),ཁོང་གིས་འགྲོ་དགོས་པ་རེད།
Grammar Core (Sentence Structures & Tenses),ཁྱེད་རང་གི་འདོད་པ་མ་འབྱུང་།
Grammar Core (Sentence Structures & Tenses),ཁོང་ནི་ལས་ཀ་བྱས་ནས་མ་ཕེབས།
Grammar Core (Sentence Structures & Tenses),ང་ལ་སློབ་ཚན་བཟོས་མི་འདུག
Grammar Core (Sentence Structures & Tenses),ཁོང་ཚོས་འདོད་པའི་ནོར་བཅུག་བྱས།
Grammar Core (Sentence Structures & Tenses),ཁྱེད་རང་ལ་གསལ་བཤད་གནང་རོགས།
Grammar Core (Sentence Structures & Tenses),ང་སྤྱིར་བཏང་སྒྲིག་བཞག་ཡོད།
Grammar Core (Sentence Structures & Tenses),དུས་ཡུན་རིང་པོ་བཞག་མི་ཚུལ་རེད།
Grammar Core (Sentence Structures & Tenses),ཁོང་ནི་ཕྱི་ལོགས་ལ་འགྱོ་མི་འདུག
Conversational Data (Real-Life Dialogues & Exchanges),ཁྱེད་ལ་བཟང་པོ་ཡོད་པས།
Conversational Data (Real-Life Dialogues & Exchanges),ང་གཉིས་པར་ཕྱིན་པ་ཡིན།
Conversational Data (Real-Life Dialogues & Exchanges),ཁོང་ལ་ཡིག་འཕྲིན་འབྲི་གི་རེད།
Conversational Data (Real-Life Dialogues & Exchanges),ཁྱོད་ག་ནས་ཡོང་བ་ཡིན།
Conversational Data (Real-Life Dialogues & Exchanges),ངས་རང་དབང་སྤྱད་འདུག
Conversational Data (Real-Life Dialogues & Exchanges),ཁོང་མོ་ལ་ཕྱིན་ནས་མ་ལོགས།
Conversational Data (Real-Life Dialogues & Exchanges),མོ་གིས་ངུ་བ་བསྐྱུར་འདུག
Conversational Data (Real-Life Dialogues & Exchanges),ཁྱེད་རང་གནང་བ་གསུངས།
