Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Mi go long maket evri moning blong baem kaikai.
Grammar Core (Sentence Structures & Tenses),Mi bin go long maket yestade blong lukim olketa fren.
Grammar Core (Sentence Structures & Tenses),Bae mi go long maket tumoro sapos ren i no foldaon.
Grammar Core (Sentence Structures & Tenses),Mi no save go long skul tude bikos mi sik.
Grammar Core (Sentence Structures & Tenses),Sapos iu kam kwiktaem bae yumi save stat miting.
Grammar Core (Sentence Structures & Tenses),Olketa pikinini olketa stap plei long graon bihaen long haus.
Grammar Core (Sentence Structures & Tenses),Kaikai hem bin kuk finis bifo olketa gest olketa kam.
Grammar Core (Sentence Structures & Tenses),Disfala wok bae hem finis long Fraede sapos yumi waka strong.
Grammar Core (Sentence Structures & Tenses),Hem i no bin lukim mi taem mi kolim nem blong hem.
Grammar Core (Sentence Structures & Tenses),Sipos olketa askem mi tumoro bae mi talem olketa stret.
Conversational Data (Real-Life Dialogues & Exchanges),A: Iu go wea tude? B: Mi go long taon blong baem bred.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Iu lukim Jon? B: Nomoa, maet hem stap long ofis."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Hao nao iu filim iu tude? B: Mi oraet nomoa, tanggio."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Yumi mit long naet ia? B: Iumi save, long seven klok."
Conversational Data (Real-Life Dialogues & Exchanges),A: Hao nao bisnis blong iu? B: Hem go gud smol.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Iu finis waka? B: Nomoa yet, mi stap waka still."
Conversational Data (Real-Life Dialogues & Exchanges),A: Wanem nao iu laek kaikai? B: Mi laek fis wetem raes.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Iu kam long miting? B: Yes, mi bae kam bihaen smol."
Conversational Data (Real-Life Dialogues & Exchanges),A: Ren bae foldaon tude? B: Luk olsem klaod i big tumas.
Conversational Data (Real-Life Dialogues & Exchanges),A: Iumi go swim tumoro? B: Gudfala tingting ia.
Code-Switching & Multilingualism,Mi bae submitim report long ofis bifo deadline.
Code-Switching & Multilingualism,Manager hem talem yumi for checkim olketa document.
Code-Switching & Multilingualism,Mi sendim email finis long team member olketa.
Code-Switching & Multilingualism,Meeting bae start long ten klok sharp tude.
Code-Switching & Multilingualism,Olgeta student olketa submitim assignment long online portal.
Code-Switching & Multilingualism,Mi bae callim iu afta mi finis long meeting.
Code-Switching & Multilingualism,Yumi need for updateim system bifo next week.
Code-Switching & Multilingualism,Supervisor hem askem mifala for reviewim plan.
Code-Switching & Multilingualism,Mi stap downloadim olketa file long internet.
Code-Switching & Multilingualism,Team bae discussim project long afternoon session.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mifala requestim additional information long saed blong kontrak.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Dokta hem talem patient for tekem medicine tufala taem long wanfala dei.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Komiti bae reviewim policy bifo olketa mekem final decision.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Company hem plan for expandim bisnis long nara provins.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Legal adviser hem givim guidance long olketa olketa rule blong agreement.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Engineer hem testim machine blong mekem sua hem waka stret.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Hospital staff olketa recordim data blong evri patient.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Manager hem talem staff for followim olketa safety procedure.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Project proposal hem include olketa budget detail.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Technical team olketa analyzeim system problem.
"Idioms, Proverbs & Cultural Expressions",Taem solwota i drae bae yu save lukim ston.
"Idioms, Proverbs & Cultural Expressions",Man wea no lisin bae hem lanem long hardfala wei.
"Idioms, Proverbs & Cultural Expressions",Smol step tu save tekem yu long longfala rod.
"Idioms, Proverbs & Cultural Expressions",Tok isi hemi mekem bel isi.
"Idioms, Proverbs & Cultural Expressions","Taem wind i strong, tree i lanem for bend."
"Idioms, Proverbs & Cultural Expressions",Wan hand nomoa i no save mekem bigfala noise.
"Idioms, Proverbs & Cultural Expressions",Gudfala nem hem moa value winim plenti mani.
