Categories,Sentences
Grammar Core,Minä kirjutin kirjan eilen illal järven rannal.
Grammar Core,Hän pagizou päivittäin vanhan koulun pihal.
Grammar Core,Me tulemme huomenna kyläh pidol.
Grammar Core,Sinä et nähnyt karhun jälgii metsäs.
Grammar Core,Kalad pyydettih aamullas hiljaisel joel.
Grammar Core,He olisivat laulandah jos sää olisi lämmin.
Grammar Core,Lapsi nukkuu pehmeäl penkil kodis.
Grammar Core,Vanha vene korjattih kevääl kyläs.
Grammar Core,Mie juoksen nopeihemmin ku veljeni talvel.
Grammar Core,Kirja luettih loppuh yhdel istumal.
Conversational Data,"A: Kuinka päivä meni? B: Työ oli raskas, mut ilta oli rauhaline."
Conversational Data,A: Tulougo sie markkinoil huomen? B: Tulen jos sade ei ala.
Conversational Data,A: Missä sinun sisko on? B: Hän jäi vielä asemal odottamah.
Conversational Data,"A: Voimmogo juvva kahvie? B: Tottakai, keitin juuri pannullisen."
Conversational Data,A: Miksi olet hiljane? B: Ajattelen huomisen matkua.
Conversational Data,A: Näitgo uuden opettajan? B: Hän puhui hyvin selvästi.
Conversational Data,A: Milloin lähdemme kyläh? B: Heti ku aurinko laskeh.
Conversational Data,"A: Ongo tämä sinun laukku? B: Ei, se kuuluu ystäväl."
Conversational Data,"A: Kuulitgo musiikin toril? B: Kyllä, se oli erittäin kaunis."
Conversational Data,A: Mitä syömmä illal? B: Teen kalakeiton ja tuoreen leivän.
Code-Switching & Multilingualism,Minä streamasin uuden pelin eilen illal ystävienke.
Code-Switching & Multilingualism,Hän lähetti emailin ennen kokouksen alkua.
Code-Switching & Multilingualism,Meidän tiimi tarvitseh paremban workflowin projektil.
Code-Switching & Multilingualism,Sinä voit updateata tiedoston myöhemmin toimistol.
Code-Switching & Multilingualism,He puhuttih Ludicii ja Englishii samas keskustelus.
Code-Switching & Multilingualism,Opettaja uploadasi materiaalin opiskelijoile verkos.
Code-Switching & Multilingualism,Minä tarkistin serverin tilan aamupäiväl.
Code-Switching & Multilingualism,Nuoret kuuntelevat podcastoi matkustajes bussis.
Code-Switching & Multilingualism,Yritys launchasi uuden sovelluksen kevääl.
Code-Switching & Multilingualism,Hän saveasi vanhat kuvat pilvipalveluh.
Formal & Professional Speech,"Kunnioitettu johtaja, raportti toimitettih määräaigah mennes."
Formal & Professional Speech,Potilahal havaittih lievä hengityksen hidastumine.
Formal & Professional Speech,Sopimus allekirjoitetah kaupungintalos ensi viikol.
Formal & Professional Speech,Tekninen asiakirja sisältäh turvallisuusohjehet työntekijöile.
Formal & Professional Speech,Lakimies esitti todistehet oikeudes aamupäiväl.
Formal & Professional Speech,Tutkimusryhmä analysoi datan ennen julkaisua.
Formal & Professional Speech,Yrityksen hallitus kokoontui arvioimah budjettia.
Formal & Professional Speech,Asiakas pyysi kirjallisen vahvistuksen palvelusta.
Formal & Professional Speech,Insinööri tarkasti järjestelmän toiminnan laboratorios.
Formal & Professional Speech,Lääkäri suositteli lepoa ja jatkuvaa seurantua.
"Idioms, Proverbs & Cultural Expressions",Hiljane joki kuljettaa syvii vetii.
"Idioms, Proverbs & Cultural Expressions",Sana ilman tegua on tyhjä vene.
"Idioms, Proverbs & Cultural Expressions",Talven jälkeen aurinko löytää jokaisen ikkunan.
"Idioms, Proverbs & Cultural Expressions",Nopea kieli katkaiseh vahvangi ystävyyden.
"Idioms, Proverbs & Cultural Expressions",Metsä kuunteleh sitä joka osaa vaieta.
"Idioms, Proverbs & Cultural Expressions",Pieni kipinä sytyttäh suuren ladon.
"Idioms, Proverbs & Cultural Expressions",Kylmä tuuli opettah arvostamah tuld.
"Idioms, Proverbs & Cultural Expressions",Vanha tie muistah jokaisen kulkijan.
"Idioms, Proverbs & Cultural Expressions",Kalastaja tunteh järven paremmin ku kartan.
"Idioms, Proverbs & Cultural Expressions",Pitkä yö synnyttäh kirkkaan aamun.
Question-Answer Pairs,K: Missä kirjasto sijaitseh? V: Se on torin vieres vanhas rakennukses.
Question-Answer Pairs,K: Miksi ihmiset muuttavat kyläst? V: Työtä on vaikea löytää talvel.
Question-Answer Pairs,K: Milloin juhla alkaa? V: Musiikki alkaa seitsemältä illal.
Question-Answer Pairs,K: Kuinka opit Ludicii? V: Harjoittelin isovanhembienke päivittäin.
Question-Answer Pairs,K: Mitä ruokaa tarjoillah markkinoil? V: Savukalaa ja makei piirakoi.
Question-Answer Pairs,K: Ongo matkustamine kallista? V: Kesäl hinnat nousevat huomattavasti.
Question-Answer Pairs,K: Kuka rakensi sillan? V: Paikalliset mestarit rakensit sen.
Question-Answer Pairs,K: Mikä vuodenaiga on kaunein? V: Minun mielest syksy on rauhallisin.
Question-Answer Pairs,K: Saako tääl kuvata? V: Kuvamine on sallittu ilman salamua.
Question-Answer Pairs,K: Kuinka pitkä matka asemal on? V: Kävellen noin kymmenen minuuttia.
Commands & Instructions,Sulje ikkuna ennen ku lähdet ulos.
Commands & Instructions,Kirjoita nimes listan ylälaitah.
Commands & Instructions,Kuuntele tarkasti vanhemman neuvoa.
Commands & Instructions,Avaa tiedosto ja tarkista virheet.
