Categories,Sentences
Grammar Core,Nze nsoma ekitabo buli nkya.
Grammar Core,Abaana baali bazannyira mu lusuku jjo.
Grammar Core,Tugenda kugenda e Jinja wiiki ejja.
Grammar Core,"Singa obairewo, twandisanyukire."
Grammar Core,Taagenda ku ssomero olwaleero.
Grammar Core,Ekibuga kyazimbibwa abakugu.
Grammar Core,Omusomesa ayigiriza abaana n'obwegendereza.
Grammar Core,Twamaze okulya nga tetunnava waka.
Grammar Core,Abagenyi bajja kutuukayo akawungeezi.
Grammar Core,Ennyumba eno eteekebwamu amataala amapya.
Conversational Data,Oli otya leero? Ndi bulungi nnyo.
Conversational Data,"Wali ogenze wa ku makete enkya? Yee, nagulayo ebibala."
Conversational Data,Tunaasisinkana ddi ku kisaawe? Tugonze ku ssaawa munaana.
Conversational Data,Mama yampise naye nali nkiri ku ssimu.
Conversational Data,Nkweta nnyo kubanga wamfuna mu kiseera ekizibu.
Conversational Data,Kiki ekikusekeresa bwekityo? Omwana akoze ekintu ekyewuunyisa.
Conversational Data,Mbadde sikulaba ebbanga ddene nnyo.
Conversational Data,Tusobola okutambula wamu okudda eka.
Conversational Data,Abagenyi batuuse dda oba bakyajja? Bakyali mu kkubo.
Conversational Data,Nsaba ompe amaizi kubanga ennyonta ennuma.
Code-Switching & Multilingualism,Leero nkozesezza computer empya ku ofiisi.
Code-Switching & Multilingualism,Omwana ayagala okuwulira music buli kaseera.
Code-Switching & Multilingualism,Twagenda ku meeting ku hotel e Kampala.
Code-Switching & Multilingualism,Manager atusabye okutuma report enkya.
Code-Switching & Multilingualism,"Nsonyiwa, phone yange ewedde battery."
Code-Switching & Multilingualism,Tusobola okuprintinga ebiwandiiko bino leero.
Code-Switching & Multilingualism,Doctor andagidde okuwummula okumala wiiki emu.
Code-Switching & Multilingualism,Naye internet ebadde egenda mpola olunaku lwonna.
Code-Switching & Multilingualism,Abayizi bakozesezza projector mu kiraasi.
Code-Switching & Multilingualism,Twasisinkanye ku station nga enkuba etonnya.
Formal & Professional Speech,Tusaba mutwale empapula zammwe mu biseera ebitegekeddwa.
Formal & Professional Speech,Eddwaliro lino liwa obujjanjabi eri abantu bonna.
Formal & Professional Speech,Kkampuni etandise enteekateeka empya ey'okutumbula emirimu.
Formal & Professional Speech,Omusango gugenda kuwulirwa ku Mmande ejja.
Formal & Professional Speech,Abakozi basabiddwa okugoberera amateeka g'obukuumi.
Formal & Professional Speech,Enkola eno eyongera ku mutindo gw'obuweereza.
Formal & Professional Speech,Tusaba mutuwe endowooza zammwe ku lipoota eno.
Formal & Professional Speech,Omulwadde ateekwa okunywa eddagala emirundi esatu buli lunaku.
Formal & Professional Speech,Ekibiina kyatandise okusomesa tekinologiya omupya.
Formal & Professional Speech,Abakulembeze baakubaganye ebirowoozo ku by'enfuna.
"Idioms, Proverbs & Cultural Expressions",Akati akali mu liiso tikalabika.
"Idioms, Proverbs & Cultural Expressions",Omwana atatambulira mu bakulu amanya bukulu bwe.
"Idioms, Proverbs & Cultural Expressions",Ekyama ky'omuliro tekibikkika na ngoye.
"Idioms, Proverbs & Cultural Expressions",Atalina mpisa afaanana ng'ekisolo.
"Idioms, Proverbs & Cultural Expressions",Amazzi amagalamu tegadda ku nsulo.
"Idioms, Proverbs & Cultural Expressions",Omukozi omulungi talemererwa mulimu.
"Idioms, Proverbs & Cultural Expressions",Enkoko ento etya enkuba ey'amaanyi.
"Idioms, Proverbs & Cultural Expressions",Akalulu akato nako kazimba enju.
"Idioms, Proverbs & Cultural Expressions",Omuntu alya n'abalala tabulwa mukisa.
"Idioms, Proverbs & Cultural Expressions",Akamwa akalungi kazimba enkolagana.
Question-Answer Pairs,Lwaki abantu banywa amaizi buli lunaku? Kubanga gayamba omubiri okukola obulungi.
Question-Answer Pairs,Kaani pulezidenti wa Yuganda? Pulezidenti ni Yoweri Museveni.
Question-Answer Pairs,Oyinza otya okuyiga Olusoga mangu? Oteekwa okwogera n'okuwulira buli lunaku.
Question-Answer Pairs,Lwaki abaana bagenda ku ssomero? Kugatta ku bumanyirivu n'okusoma.
Question-Answer Pairs,Enkuba etera okutandika ddi? Emirundi mingi etandika akawungeezi.
Question-Answer Pairs,Kiki ekireeta endwadde? Obutaba na buyonjo buyinza okuzireeta.
Question-Answer Pairs,Omuntu ayinza atya okufuna omulimu? Ateekwa okusoma n'okukola nnyo.
Question-Answer Pairs,Lwaki emmere ennungi nkulu? Kubanga eyamba omubiri okukula.
Question-Answer Pairs,Baani abakuuma amateeka? Poliisi n'abalamuzi.
Question-Answer Pairs,Olugero luyamba lutya abaana? Lubayigiriza empisa n'amagezi.
Commands & Instructions,Ggalawo oluggi nga ovuddewo.
Commands & Instructions,Soma essuula eno nga tonnaba kwebaka.
Commands & Instructions,Mpa ekitabo ekiri ku meeza.
Commands & Instructions,Mutuule wansi mu kasirise.
Commands & Instructions,Tambula mpola ku luguudo oluseerera.
Commands & Instructions,Teeka ebikopo mu kkabada.
Commands & Instructions,Wandiika erinnya lyo ku lupapula.
Commands & Instructions,Yingira mangu kubanga enkuba etandise.
Commands & Instructions,Munywe amaizi mangi mu budde bw'enjuba.
Commands & Instructions,Yambako muganda wo okutereeza ennyumba.
Named Entity Recognition,Yosefu yasisinkanye Mariya mu kibuga Jinja ku Lwokubiri.
Named Entity Recognition,Makerere Yunivasite esangibwa mu Kampala.
Named Entity Recognition,Ekibiina kya Busoga Kingdom kyategese embaga enkulu.
Named Entity Recognition,Sarah agenda e Iganga ku mwezi gwa Jjuuni.
Named Entity Recognition,Abasomi ba Namasagali College baawangudde empaka.
Named Entity Recognition,Nile River egwa okuyita mu Jinja.
Named Entity Recognition,Dokita Pawulo akolera ku ddwaliro e Mbale.
Named Entity Recognition,Abakungu ba East African Community basisinkanye e Arusha.
Named Entity Recognition,Kampuni ya MTN etandise empeereza empya.
Named Entity Recognition,Empaka za CECAFA zigenda kubera mu Uganda omwaka ogujja.
Sentiment Analysis,Nsanyuse nnyo olw'amawulire amalungi ge mpulidde.
Sentiment Analysis,Omwoyo gwange gunakuwadde olw'okufiirwa mukwano gwange.
Sentiment Analysis,Sirina kyendowooza ku nsonga eno.
Sentiment Analysis,Embaga yabadde nnungi nnyo era yansanyusizza.
Sentiment Analysis,Nnyiize kubanga omulimu gwange gugaaniddwa.
Sentiment Analysis,Ennyimba zino zimpulira emirembe mu mutima.
Sentiment Analysis,Ekifo kino kinyuma naye kirimu oluyoogaano.
Sentiment Analysis,Nawulira entiisa bwe waabaddewo okubwatuka.
Sentiment Analysis,Abaana baasanyukidde ebirabo bye baafunye.
Sentiment Analysis,Nneewuunya nnyo olw'obukugu bwe yalaze.
Paraphrased & Augmented Sentences,Omusajja atambula buli nkya okugumya omubiri.
Paraphrased & Augmented Sentences,Buli nkya omusajja agenda kutambula olw'obulamu bwe.
Paraphrased & Augmented Sentences,Abayizi basoma nnyo okusobola okuyita ebigezo.
Paraphrased & Augmented Sentences,"Olw'okwagala okuyita ebigezo, abayizi beesomera nnyo."
Paraphrased & Augmented Sentences,Omukyala afumba emmere ennungi eri abagenyi.
Paraphrased & Augmented Sentences,Abagenyi baweebwa emmere ennungi efumbiddwa omukyala.
Paraphrased & Augmented Sentences,Abaana bazannyira mu lusuku buli kawungeezi.
Paraphrased & Augmented Sentences,Buli kawungeezi lusuku lujjula abaana abazannya.
Paraphrased & Augmented Sentences,Omulimi alima emmwaanyi ku ttaka eddungi.
Paraphrased & Augmented Sentences,"Ku ttaka eddungi, omulimi asimbayo emmwaanyi."
