Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Ndiyafunda incwadi yonke imihla.
Grammar Core (Sentence Structures & Tenses),Wayesebenza ekhaya izolo.
Grammar Core (Sentence Structures & Tenses),Siza kuhamba ngomso xa imvula iyekile.
Grammar Core (Sentence Structures & Tenses),"Ukuba bendisazi, bengingayenzi le mpazamo."
Grammar Core (Sentence Structures & Tenses),Abantwana ababhali izivakalisi eziyinkimbinkimbi.
Grammar Core (Sentence Structures & Tenses),Umtu uyathandwa ngabantu abaninzi.
Grammar Core (Sentence Structures & Tenses),Ndiza kube ndibhalela unobhala ngelo xesha.
Grammar Core (Sentence Structures & Tenses),Akazange ayenze into leyo nangona wayeyazi.
Grammar Core (Sentence Structures & Tenses),Ulungisa umatshini ngoku.
Grammar Core (Sentence Structures & Tenses),Besiza kuba sizonwabele ukuba bekungekho ngxaki.
Conversational Data (Real-Life Dialogues & Exchanges),"Molo, unjani namhlanje?"
Conversational Data (Real-Life Dialogues & Exchanges),Ndifuna ukuthetha nawe malunga nalo msebenzi.
Conversational Data (Real-Life Dialogues & Exchanges),"Kulungile, ndiza kubuya ngexesha lesixhenxe."
Conversational Data (Real-Life Dialogues & Exchanges),Wenze njani kule ngxaki?
Conversational Data (Real-Life Dialogues & Exchanges),"Ewe, ndiyavuma ngokupheleleyo."
Conversational Data (Real-Life Dialogues & Exchanges),"Uxolo, andiva kakuhle oko usitsho."
Conversational Data (Real-Life Dialogues & Exchanges),Ngaba ungandixelela indlela yokufika apho?
Conversational Data (Real-Life Dialogues & Exchanges),"Hayi bo, andikholelwa into oyithethayo!"
Conversational Data (Real-Life Dialogues & Exchanges),"Andiqinisekanga, masibuze omnye umntu."
Conversational Data (Real-Life Dialogues & Exchanges),Ngaba uthanda ikofu okanye iti?
Code-Switching & Multilingualism,"Ndiza emsebenzini, then I’ll meet you later."
Code-Switching & Multilingualism,"Uyakwazi ukusebenzisa iGPS, or should I send you a pin?"
Code-Switching & Multilingualism,"Hayi, lento ingathi yi-mistake enkulu."
Code-Switching & Multilingualism,"Ngoku, let’s focus on the next chapter."
Code-Switching & Multilingualism,Please ndixelele xa ufikile.
Code-Switching & Multilingualism,"Andiyazi, maybe you should ask Sibusiso."
Code-Switching & Multilingualism,That’s a problem kodwa sinokuyilungisa.
Code-Switching & Multilingualism,Ngaba ufuna uku-apply for that job?
Code-Switching & Multilingualism,"Ewe, ndiyamqonda but he wasn’t clear."
Code-Switching & Multilingualism,"Tomorrow siya eGoli, ke wear comfortable clothes."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nceda ugcwalise le fomu phambi kokungeniswa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Uhlalutyo lubonisa ukuba kukho ukungalingani kweemarike.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Unyango luyacetyiswa ukuba luqhutyekwe iveki yonke.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ingxelo iya kuhanjiswa kwikomiti ngolwesihlanu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Iingxoxo zoshishino ziza kuqhubeka kwiveki ezayo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Uxwebhu olusemthethweni lufunyanwa kwi-ofisi enkulu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Isivumelwano sokubambisana sityikitywe izolo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Uphicotho lwangaphakathi luya kuqala ngenyanga ezayo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Isaziso sokudibana sithunyelwe nge-imeyile.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ugqirha ucebisile ukuba kufuneka alale esibhedlele.
"Idioms, Proverbs & Cultural Expressions",Intaka yakha isidlo sayo kusasa.
"Idioms, Proverbs & Cultural Expressions",Umthi ugotywa uselula.
"Idioms, Proverbs & Cultural Expressions",Akukho qili lazikhotha emhlana.
"Idioms, Proverbs & Cultural Expressions",Inja yakwaNondaba iyaluma xa inganako.
"Idioms, Proverbs & Cultural Expressions",Amagqabantshintshi awenzi nzulu.
"Idioms, Proverbs & Cultural Expressions",Ubuso obuhle abugcini ndlu.
"Idioms, Proverbs & Cultural Expressions",Inkomo ingazala ingqanawe.
"Idioms, Proverbs & Cultural Expressions",Isono sihamba nomntu.
"Idioms, Proverbs & Cultural Expressions",Ungalahlwa yintloko kuba iluphu.
"Idioms, Proverbs & Cultural Expressions",Ugxwala ludla ingqondo.
Question-Answer Pairs (FAQ & Contextual Understanding),Ungandixelela ukuba liphi iklasi yam? — Iklasi yakho iseGumbi 4.
Question-Answer Pairs (FAQ & Contextual Understanding),Lithini ixesha ngoku? — Liyimizuzu elishumi emva kwesibhozo.
Question-Answer Pairs (FAQ & Contextual Understanding),"Ngaba kufuneka ndibhalise kwangaphambili? — Ewe, kubalulekile ukwenza njalo."
Question-Answer Pairs (FAQ & Contextual Understanding),Yimalini eli xabiso? — Ixabiso lingu-R150 kuphela.
Question-Answer Pairs (FAQ & Contextual Understanding),"Ungandifundisa ukusebenzisa esi sixhobo? — Ewe, ndingakunceda."
Question-Answer Pairs (FAQ & Contextual Understanding),"Ngaba isikolo sivulwa ngoMvulo? — Ewe, sivula nge-8:00 kusasa."
Question-Answer Pairs (FAQ & Contextual Understanding),Ngubani oza kusebenza kule projekthi? — UThabo noNoluthando.
Question-Answer Pairs (FAQ & Contextual Understanding),Ithini ingxelo yonyaka? — Ibonisa ukukhula okungu-12%.
Question-Answer Pairs (FAQ & Contextual Understanding),"Ungandinceda ngephasiwedi yam? — Ewe, yithumele i-imeyile kwinkxaso."
Question-Answer Pairs (FAQ & Contextual Understanding),Luhlobo luni lwenkonzo enikezelwayo? — Yeyoncedo lwezempilo.
Commands & Instructions (Imperative Sentences),"Vula ifestile, nceda."
Commands & Instructions (Imperative Sentences),Bhala phantsi amagama abalulekileyo.
Commands & Instructions (Imperative Sentences),Hamba uye kukhangela omnye umfundisi.
Commands & Instructions (Imperative Sentences),Yeka ukuthetha ngexesha likatitshala.
