Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Roedd y bachgen yn cerdded i'r ysgol bob bore.
Grammar Core (Sentence Structures & Tenses),Bydd y darlithydd yn esbonio'r theori fory.
Grammar Core (Sentence Structures & Tenses),Mae'r plant wedi gorffen eu gwaith cartref.
Grammar Core (Sentence Structures & Tenses),"Pe bawn i'n gallu, byddwn i'n dysgu mwy o ieithoedd."
Grammar Core (Sentence Structures & Tenses),Nid yw'r gwasanaeth bws yn rhedeg heddiw oherwydd eira.
Grammar Core (Sentence Structures & Tenses),Cafodd y llythyr ei ysgrifennu gan y swyddog.
Grammar Core (Sentence Structures & Tenses),"Doedd hi ddim yn hoffi coffi, felly fe brynodd de."
Grammar Core (Sentence Structures & Tenses),Fe fydden nhw'n cyrraedd ar amser pe bai'r trên yn rhedeg.
Grammar Core (Sentence Structures & Tenses),"Yfory, bydd y tîm yn chwarae'r gêm benderfynol."
Grammar Core (Sentence Structures & Tenses),Roeddwn i wedi gweld y ffilm cyn i chi ei gwylio.
Conversational Data (Real-Life Dialogues & Exchanges),Sut wyt ti heddiw? Wyt ti wedi cael diwrnod da?
Conversational Data (Real-Life Dialogues & Exchanges),Dw i'n meddwl y dylai ni fynd i'r sinema heno.
Conversational Data (Real-Life Dialogues & Exchanges),"Ydw, byddwn i wrth fy modd gyda hufen iâ!"
Conversational Data (Real-Life Dialogues & Exchanges),Wyt ti'n cofio pryd mae'r bws yn gadael?
Conversational Data (Real-Life Dialogues & Exchanges),"Na, dw i ddim yn siŵr. Efallai dylen ni ofyn i rywun."
Conversational Data (Real-Life Dialogues & Exchanges),"Hei, ble wyt ti wedi bod dros y penwythnos?"
Conversational Data (Real-Life Dialogues & Exchanges),Es i i'r traeth gyda fy nheulu – roedd yn braf iawn!
Conversational Data (Real-Life Dialogues & Exchanges),"Mae'n ddrwg gen i, wnes i anghofio ateb dy neges."
Conversational Data (Real-Life Dialogues & Exchanges),Wyt ti'n mynd i'r gig nos Sadwrn? Mae'n swnio'n wych.
Conversational Data (Real-Life Dialogues & Exchanges),"Ydw, a dw i'n gobeithio bod y band yn chwarae'n fyw."
Code-Switching & Multilingualism,Es i i'r shop i brynu some bread a llaeth.
Code-Switching & Multilingualism,Wyt ti wedi gweld yr new episode o'r series yna?
Code-Switching & Multilingualism,"Mae Mam yn dweud 'close the door, os gweli di'n dda'."
Code-Switching & Multilingualism,I just need to grab my bag cyn i ni fynd.
Code-Switching & Multilingualism,He said he’d come by am dri o’r gloch.
Code-Switching & Multilingualism,Dw i'n gweithio fel nurse mewn ysbyty yn y city.
Code-Switching & Multilingualism,Mae'n well gyda fi tea gyda a little bit o siwgr.
Code-Switching & Multilingualism,"Pan o’n i yn Llundain, ro’n i'n siarad mostly English."
