Categories,Sentences
Grammar Core,Ke ithuta Sekolo ka matsatsi ohle.
Grammar Core,O ne a bala buka maabane.
Grammar Core,Re tla bona ngaka gosasa.
Grammar Core,Ba be ba le mo godimo ga thaba.
Grammar Core,Ga ke rate dijo tše di hlabago kudu.
Grammar Core,Ngaka e a swarwa ke seboka.
Grammar Core,Ngwana o ile a ngwala lengwalo.
Grammar Core,Re a swanelwa go šoma kudu.
Grammar Core,O be a tla be a dutše fao ge pula e na.
Grammar Core,Ke a go rata gomme ke tla go lebelela gape.
Conversational Data,"O kae lehono, tsala yaka?"
Conversational Data,"Ke gona, wena o reng?"
Conversational Data,A re ye mmarakeng ka moka.
Conversational Data,"Ee, ke nyaka go reka diaparo tše diswa."
Conversational Data,A o bone ngaka e mpsha ya motseng?
Conversational Data,"Aowa, ke kwa e le botse kudu."
Conversational Data,"Tšea nako ya gago, re se na bothata."
Conversational Data,"Ke leboga, re tla kopana ka labobedi."
Conversational Data,O ka nkgopotsa ka sehlopha sa dithuto?
Conversational Data,"Ee, ke tla romela molaetša wa gago."
Code-Switching & Multilingualism,Re tla meet tomorrow after class.
Code-Switching & Multilingualism,Ke tired kudu lehono.
Code-Switching & Multilingualism,Le homework le dirilwe ka botlalo?
Code-Switching & Multilingualism,Let’s go ke mpatle ka ntle.
Code-Switching & Multilingualism,"Ga se problem, I’ll handle it."
Code-Switching & Multilingualism,Teacher o re next week go tla ba le test.
Code-Switching & Multilingualism,O ye go shop ka weekend?
Code-Switching & Multilingualism,"Eish, ke tlogetše phone ya ka."
Code-Switching & Multilingualism,"It’s fine, re tla bona ka moso."
Code-Switching & Multilingualism,Ba tla go call later.
Formal & Professional Speech,Re kopana le batsamaisi go buisana ka morero wa kgwebo.
Formal & Professional Speech,Ngaka e hlalositše boemo bja mokudi ka hlweko.
Formal & Professional Speech,Re swanetše go latela melao ya khamphani ka botlalo.
Formal & Professional Speech,Mopresidente o boletše ka maano a mpsha.
Formal & Professional Speech,Re lebeletše ditlhahlobo tša semmušo bekeng e tlago.
Formal & Professional Speech,Molao o laela gore re fepe dipalopalo ka nako.
Formal & Professional Speech,Baemedi ba lekala la tša bophelo ba kgobokantše data.
Formal & Professional Speech,Mošomi o tlaleletše kopo ya gagwe ka botswerere.
Formal & Professional Speech,Thuto e bohlokwa kudu tabeng ya tswelopele.
Formal & Professional Speech,Re swanetše go hlompha ditumellano tša semmušo.
