Categories,Sentences
1. Grammar Core (Sentence Structures & Tenses),Kinchakun pa ri tijobʼal ronojel qʼij.
1. Grammar Core (Sentence Structures & Tenses),Xinchakun pa kʼaybʼal iwir aqʼabʼil.
1. Grammar Core (Sentence Structures & Tenses),Chweʼq kinbʼe pa Santa Cruz del Quiché rukʼ ri wachalal.
1. Grammar Core (Sentence Structures & Tenses),"We kʼo ta nuqʼij, kinutoʼ ri ajtij che ri chak."
1. Grammar Core (Sentence Structures & Tenses),Man xuloqʼ taj ri wä ri ali rumal cher man xukʼam ta puaq.
1. Grammar Core (Sentence Structures & Tenses),Tajin kekitzʼibʼaj ri akʼalabʼ jun kʼakʼ wuj.
1. Grammar Core (Sentence Structures & Tenses),Kʼateʼ kʼuriʼ xtzʼaqatisax ri ja rumal ri ajchakibʼ.
1. Grammar Core (Sentence Structures & Tenses),Rajawaxik kaqachajij ri yaʼ rech man ketäq taj.
1. Grammar Core (Sentence Structures & Tenses),"Aretaq xopan ri jabʼ, xeqaj kan pa ja."
1. Grammar Core (Sentence Structures & Tenses),Kraj kinwetamaj jas kabʼan che ri kematzʼibʼ.
2. Conversational Data (Real-Life Dialogues & Exchanges),"—La utz awach? —Utz matyox, at kʼut?"
2. Conversational Data (Real-Life Dialogues & Exchanges),—Jawijeʼ katbʼe? —Kinbʼe pa kʼaybʼal che uloqʼik ichaj.
2. Conversational Data (Real-Life Dialogues & Exchanges),"—La xatweʼ chik? —Majani, tajin kinoyobʼej ri wa."
2. Conversational Data (Real-Life Dialogues & Exchanges),—Jampaʼ katopan? —Kinopan pa waqibʼ aqʼabʼ.
2. Conversational Data (Real-Life Dialogues & Exchanges),"—Utz la kaqabʼan jun qʼij chanim? —Jeʼ, xa kaqatzijoj nabʼe."
2. Conversational Data (Real-Life Dialogues & Exchanges),"Ri nan xubʼij: «Chajij awibʼ pa bʼe»; ri ala xutzalij: «Jeʼ, nan»."
2. Conversational Data (Real-Life Dialogues & Exchanges),"—Jas katanik? —Kintzukuj ri nutzʼibʼabʼal, la xawilo?"
2. Conversational Data (Real-Life Dialogues & Exchanges),"—Tabʼanaʼ utzil, tasipaj chwe jun qʼij rech kinbʼe.—Utz, kinyaʼ chawe."
2. Conversational Data (Real-Life Dialogues & Exchanges),"—Sibʼalaj tew kamik.—Qas tzij, chakojoq ri qʼuʼ."
2. Conversational Data (Real-Life Dialogues & Exchanges),"—Matyox che ri atoʼik.—Maj kʼax, junam kaqachakuj."
3. Code-Switching & Multilingualism,Chanim kintäq ri mensaje pa WhatsApp rech kawetamaj ri ramaj.
3. Code-Switching & Multilingualism,Ri ajtij xubʼij chi rajawaxik kaqajach ri tarea pa lunes.
