Categories,Sentences
Grammar Core (Sentence Structures & Tenses),איך וועל לייענען דעם בוך מאָרגן.
Grammar Core (Sentence Structures & Tenses),הייסט ער באמת יענקל אָדער נישט?
Grammar Core (Sentence Structures & Tenses),זי האָט געקוכט אַ רייַך זופּ פאר גאַסט.
Grammar Core (Sentence Structures & Tenses),מיר האָבן שוין געזען דעם פילם צוויי מאָל.
Grammar Core (Sentence Structures & Tenses),"ווען איך וואָלט געהאט צייט, וואָלט איך געגאַנגען מיט דיר."
Grammar Core (Sentence Structures & Tenses),איך בין נישט געגאַנגען צו דער שפּראַך־שול נעכטן.
Grammar Core (Sentence Structures & Tenses),זיי וועלן ניט וויסן וואָס צו טון אָן הילף.
Grammar Core (Sentence Structures & Tenses),עס איז געבראַכט געוואָרן פֿון א שאַפונג־צענטער אין ישׂראל.
Grammar Core (Sentence Structures & Tenses),איך טאַנצן יעדן טאָג אין דער פרימאָרגן.
Grammar Core (Sentence Structures & Tenses),זאל ער קומען איצט אויב ער וויל רעדן.
Conversational Data (Real-Life Dialogues & Exchanges),וואס מאַכסטו היינט נאָכמיטאָג?
Conversational Data (Real-Life Dialogues & Exchanges),"נאָ, לאָמיר גיין טרינקען קאַווע אינעם קאַווע־הויז."
Conversational Data (Real-Life Dialogues & Exchanges),"איך האָב נישט פֿאַרגעסן, איך בין בלויז געווען פאַרנומען."
Conversational Data (Real-Life Dialogues & Exchanges),"דו ווייסט, איך האָב געמיינט עס וועט זיין גרינגער."
Conversational Data (Real-Life Dialogues & Exchanges),ווי איז עס געגאַנגען בײַם אינטערוויו?
Conversational Data (Real-Life Dialogues & Exchanges),"זי האָט געזאָגט, אַז זי וועט רופן דיך שפּעטער."
Conversational Data (Real-Life Dialogues & Exchanges),איך האָב ליב ווי דו שמייכלסט ווען דו רעדסט.
Conversational Data (Real-Life Dialogues & Exchanges),קען איך דיך פרעגן אַ קשיא?
Conversational Data (Real-Life Dialogues & Exchanges),"אָו, יאָ, איך געדענק אים פֿון דער שול."
Conversational Data (Real-Life Dialogues & Exchanges),"ניין, ניין, דאָס מיינט ער נישט אַזוי ערנסט."
Code-Switching & Multilingualism,איך האָב מאָרגן אַן appointment מיטן דאָקטער.
Code-Switching & Multilingualism,דער teacher האָט געזאָגט אַז די פּרוּף איז דינען.
Code-Switching & Multilingualism,מיינע חברים זענען אַלע פֿון תל אביב און זיי רעדן Hebrew.
Code-Switching & Multilingualism,איך האָב נישט געוואוסט וואָס איז budget ביז ער האָט מיר דערקלערט.
Code-Switching & Multilingualism,די email איז געקומען אינמיטן נאכט.
Code-Switching & Multilingualism,זי האָט געפֿרעגט ווי מען זאגט ‘library’ אויף ייִדיש.
Code-Switching & Multilingualism,די חברה זאָגט ‘cool’ ווען עפּעס איז זייער גוט.
Code-Switching & Multilingualism,איך וועל גיין אין דעם supermarket נאָך דער אַרבעט.
Code-Switching & Multilingualism,מען דאַרף נוצן די password כדי אַרײַנצוגיין.
Code-Switching & Multilingualism,איך האָב געזען אַ billboard מיט ייִדישע און רוסישע ווערטער.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",דער פּאַציענט דאַרף ווערן אָפּגעראָטן פון שווערע אַקטיוויטעטן.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",דער קאָנטראַקט ווערט אונטערגעשריבן אין דרייַ עקזעמפּלאַרן.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","לויט דער געזעץ, מוז מען באַקומען אַן אָפיציעלן דערלויבעניש."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",די קאָמפּאַניע וועט דורכפירן אַן אינערלעכער אָפּשאַצונג קומענדיקן חודש.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",די דאָזיקע מעדיצין ווערט רעקאַמאַנדירט בלויז אונטער אָפּזיכט.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",אין דער טעקנישער רעפּאָרט שטייט קלאָר דער פּראָצעס־באַשרייבונג.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",דער אַדוואָקאַט האָט געפֿאָדערט אַן איבערבליק פון אַלע דאָקומענטן.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",די שול־אַדמיניסטראַציע פֿאָרשטעלט ענדערונגען אין לייעפּלאַן.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",דער קאָנפֿערענץ וועט זײַן אין דער הויפט־האָל אין 14:00.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",מיר דאַרפֿן אויסשמועסן דעם תקציב פאר דער קומענדיקער יאָר.
"Idioms, Proverbs & Cultural Expressions",עס ברענט אויף מיין צונג אָבער איך וועל שווײגן.
"Idioms, Proverbs & Cultural Expressions",איך האָב אים געזען — ער איז געווען ווי אַ פיש אויף טרוקן.
"Idioms, Proverbs & Cultural Expressions","אַז דער רב איז פֿרום, זײַנען אַלע תּלמידים חסידים."
"Idioms, Proverbs & Cultural Expressions",מען קען נישט קוקן אין א מאָלע פישל צווישן די ביינער.
"Idioms, Proverbs & Cultural Expressions","ווען דער גליק קומט, דאַרף מען אים נעמען מיט ביידע הענט."
"Idioms, Proverbs & Cultural Expressions",וואָס ער האָט געזאָגט איז טײַער ווי גאָלד אָבער ליכט ווי לופֿט.
"Idioms, Proverbs & Cultural Expressions",שכח צו דער הינט און די ביקס אין לאָדין.
"Idioms, Proverbs & Cultural Expressions",אַ רויבער רופֿט אַ צווייטן גנב.
"Idioms, Proverbs & Cultural Expressions",ס'איז א גליק א קינד ווען ער לאַכט אָן א סיבה.
"Idioms, Proverbs & Cultural Expressions",מיט אַ בליק קען מען אָפֿט זאָגן מער ווי מיט הונדערט ווערטער.
Question-Answer Pairs (FAQ & Contextual Understanding),"פראַגע: ווי קען איך לערנען ייִדיש שנעלער?
ענטפֿער: פּרובֿ מיט טאַגליכע שמועסן און הערן פּאָדקאַסטן."
Question-Answer Pairs (FAQ & Contextual Understanding),"פראַגע: וואָס מיינט דאָס וואָרט 'באַטראַכטן'?
ענטפֿער: עס מיינט צו פֿאַרנעמען זיך מיט עפּעס אין טיפקייַט."
Question-Answer Pairs (FAQ & Contextual Understanding),"פראַגע: צי דאַרף איך אַ חשבון צו נוצן די וועבזײַט?
ענטפֿער: יאָ, אָבער דער רעגיסטראַציע פּראָצעס איז גיך."
Question-Answer Pairs (FAQ & Contextual Understanding),"פראַגע: וווּ איז דער ביבליאָטעק אין שטאָט?
ענטפֿער: נעבן שטאָט־האַל, אויף דער צווייטער גאַס."
Question-Answer Pairs (FAQ & Contextual Understanding),"פראַגע: קען איך טוישן מיין טערמין?
ענטפֿער: זיכער, רוף אונז אויף 03-1234567."
Question-Answer Pairs (FAQ & Contextual Understanding),"פראַגע: וואָס איז דער חילוק צווישן אַ דאָקטער און אַ פּסיכאָלאָג?
ענטפֿער: דער דאָקטער באַהאַנדלט גשמיות, דער פּסיכאָלאָג — נשמה."
Question-Answer Pairs (FAQ & Contextual Understanding),"פראַגע: איז עס זיכער צו ניצן דאָס אַפּליקאַציע?
ענטפֿער: יאָ, מיר ניצן שטרענגע זיכערהייט־נאָרמעס."
Question-Answer Pairs (FAQ & Contextual Understanding),"פראַגע: ווען פֿאַרענדיקט זיך דער קורס?
ענטפֿער: אין דריי וואָכן, אין סוף נאָוועמבער."
Question-Answer Pairs (FAQ & Contextual Understanding),"פראַגע: וויאַזוי קען איך באַקומען הילף?
ענטפֿער: גיי צו דער 'קאָנטאַקט' זייַטל און שרײַב אונדז אַ מעסעדזש."
Question-Answer Pairs (FAQ & Contextual Understanding),"פראַגע: וואָס איז אַן אידיאָם?
ענטפֿער: אַן אויסדרוק מיט אַן איבערגעטראָגן משמעות, נישט בלויז ווערטער."
Commands & Instructions (Imperative Sentences),רעד קלאָר און נישט צו שנעל.
Commands & Instructions (Imperative Sentences),שרײַב דעם ענטפֿער אין דיין מחברת.
Commands & Instructions (Imperative Sentences),גיי צום טיש און נעם דעם קעגל.
Commands & Instructions (Imperative Sentences),שליס די טיר ווען דו גייסט אַרויס.
Commands & Instructions (Imperative Sentences),רוף מיך צוריק ווען דו האָסט צייט.
Commands & Instructions (Imperative Sentences),הייב אויף דיינע הענט אויב דו פארשטייסט.
Commands & Instructions (Imperative Sentences),ביטע צייכן דײַן נאָמען אונטן.
Commands & Instructions (Imperative Sentences),לערן אויס די ווערטער פֿאַר מאָרגן.
Commands & Instructions (Imperative Sentences),הערט גוט צו וואָס איך וועל זאָגן.
Commands & Instructions (Imperative Sentences),טו נישט אויסשפרעכן ווערטער וואָס דו פארשטייסט נישט.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",דוד בן־גוריון איז געווען דער ערשטער פּרעמיער מיניסטער פון ישראל.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",תל אביב איז אַ שטאָט וואָס נעמט אַ גרויס טייל אין די הײַנטיקע קולטור.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",אַ גוטע באַנק ווי מזרחי־טפחות איז וויכטיק פֿאַר אימאָבליע.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",מײַן טאַקע איז געבוירן געוואָרן אין לודזש אין 1923.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",די פֿירמע איז געגרינדעט געוואָרן דורך מרים בלומענפֿעלד.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",די תּאַריכים פֿון דער קאָנפֿערענץ זענען 15 ביז 18 דעצעמבער.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",איך האָב געארבעט אינעם שעפּס־האָספּיטאַל אין חיפה.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",דזשערוזאַלעם איז אַן הייליקער אָרט פֿאַר דרײַ רעליגיאָנען.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",דער קאַנסול פֿון קאַנאַדע איז געקומען צו באַזוכן.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",זײַערע קליידונג־פּראָדוקטן ווערן פארקויפט דורך זאַראַ.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),איך בין אַזוי צופרידן פֿון דער רעזולטאַט!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),עס האָט מיך זייער באמערקט ווי שיין עס איז געווען.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),איך בין געווען פאַרוווּנדערט פֿון זײן אומאָפּהענגיקייט.
