Category,Sentence
Grammar Core (Sentence Structures & Tenses),Ayer fui al mercado a comprar frutas.
Grammar Core (Sentence Structures & Tenses),Mañana viajaré a Barcelona por trabajo.
Grammar Core (Sentence Structures & Tenses),"Si tuviera más tiempo, aprendería otro idioma."
Grammar Core (Sentence Structures & Tenses),La carta fue escrita por un famoso poeta.
Grammar Core (Sentence Structures & Tenses),No quiero salir porque está lloviendo.
Grammar Core (Sentence Structures & Tenses),Ellos habían terminado el proyecto antes del plazo.
Grammar Core (Sentence Structures & Tenses),"Si estudias más, aprobarás el examen."
Grammar Core (Sentence Structures & Tenses),Nunca había visto una obra de teatro tan impresionante.
Grammar Core (Sentence Structures & Tenses),Me gustaría que me explicases mejor la situación.
Grammar Core (Sentence Structures & Tenses),La casa será vendida el próximo mes.
Conversational Data (Real-Life Dialogues & Exchanges),"Hola, ¿cómo estás? – Bien, gracias. ¿Y tú?"
Conversational Data (Real-Life Dialogues & Exchanges),"Disculpe, ¿dónde está la estación de metro más cercana?"
Conversational Data (Real-Life Dialogues & Exchanges),"¿Quieres ir al cine esta noche? – Claro, ¿a qué hora?"
Conversational Data (Real-Life Dialogues & Exchanges),"Me gustaría un café con leche y una tostada, por favor."
Conversational Data (Real-Life Dialogues & Exchanges),¿Cuánto cuesta este libro? – Son 15 euros.
Conversational Data (Real-Life Dialogues & Exchanges),"¿Has visto la nueva serie de televisión? – Sí, es increíble."
Conversational Data (Real-Life Dialogues & Exchanges),Necesito hacer una reserva para dos personas esta noche.
Conversational Data (Real-Life Dialogues & Exchanges),¿Me puedes ayudar con este problema de matemáticas?
Conversational Data (Real-Life Dialogues & Exchanges),Tengo que llamar a mi madre antes de salir.
Conversational Data (Real-Life Dialogues & Exchanges),Nos vemos mañana en la plaza a las cinco.
Code-Switching & Multilingualism,Voy al supermercado y luego al gym.
Code-Switching & Multilingualism,La nueva update del software es increíble.
Code-Switching & Multilingualism,Necesito hacer un check-in en el hotel.
Code-Switching & Multilingualism,¿Me puedes enviar un WhatsApp cuando llegues?
Code-Switching & Multilingualism,El deadline del proyecto es el viernes.
Code-Switching & Multilingualism,Voy a comprar un ticket para el concierto.
Code-Switching & Multilingualism,Mi plan es hacer un road trip por España.
Code-Switching & Multilingualism,Déjame hacer un quick call y te aviso.
Code-Switching & Multilingualism,Ese restaurante tiene un all-you-can-eat buffet.
Code-Switching & Multilingualism,Tengo una meeting a las tres en punto.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",El paciente requiere una intervención quirúrgica inmediata.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Según el contrato, ambas partes deben cumplir sus obligaciones."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",La economía del país ha crecido un 3% este año.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Es fundamental seguir los protocolos de seguridad en la empresa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","En este informe, analizaremos las tendencias del mercado."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",El tribunal ha decidido aplazar la audiencia hasta nuevo aviso.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Este medicamento debe ser administrado bajo supervisión médica.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Agradecemos su asistencia a la conferencia internacional.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",El proyecto será evaluado por un comité de expertos.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Por favor, firme aquí para confirmar su consentimiento."
"Idioms, Proverbs & Cultural Expressions",Más vale tarde que nunca.
"Idioms, Proverbs & Cultural Expressions","A quien madruga, Dios le ayuda."
"Idioms, Proverbs & Cultural Expressions",Estar en las nubes.
"Idioms, Proverbs & Cultural Expressions",Tirar la toalla.
"Idioms, Proverbs & Cultural Expressions",Ser pan comido.
"Idioms, Proverbs & Cultural Expressions",No tener pelos en la lengua.
"Idioms, Proverbs & Cultural Expressions",Hacer la vista gorda.
"Idioms, Proverbs & Cultural Expressions","Cuando el río suena, agua lleva."
"Idioms, Proverbs & Cultural Expressions",Se me hace la boca agua.
"Idioms, Proverbs & Cultural Expressions",Ponerse las pilas.
Question-Answer Pairs (FAQ & Contextual Understanding),¿Cuánto dura el vuelo a Madrid? – Aproximadamente dos horas.
Question-Answer Pairs (FAQ & Contextual Understanding),¿A qué hora abre la tienda? – A las nueve de la mañana.
Question-Answer Pairs (FAQ & Contextual Understanding),¿Cuál es el mejor restaurante de la ciudad? – Depende de lo que te guste comer.
Question-Answer Pairs (FAQ & Contextual Understanding),¿Dónde puedo cambiar dinero? – En el banco o en una casa de cambio.
Question-Answer Pairs (FAQ & Contextual Understanding),¿Cuál es la capital de España? – Madrid.
Question-Answer Pairs (FAQ & Contextual Understanding),¿Qué me recomiendas visitar en Barcelona? – La Sagrada Familia y el Parque Güell.
Question-Answer Pairs (FAQ & Contextual Understanding),"¿Hace frío en diciembre en España? – Sí, especialmente en el norte."
Question-Answer Pairs (FAQ & Contextual Understanding),¿Cómo puedo solicitar un visado? – Debes ir a la embajada o consulado.
Question-Answer Pairs (FAQ & Contextual Understanding),¿Qué significa esta palabra en inglés? – Significa ‘libro’.
Question-Answer Pairs (FAQ & Contextual Understanding),"¿Puedo pagar con tarjeta de crédito? – Sí, aceptamos todas las tarjetas."
Commands & Instructions (Imperative Sentences),"Por favor, apaga la luz antes de salir."
Commands & Instructions (Imperative Sentences),Llámame cuando llegues a casa.
Commands & Instructions (Imperative Sentences),"No toques eso, está caliente."
Commands & Instructions (Imperative Sentences),Espera aquí un momento.
Commands & Instructions (Imperative Sentences),"Dime la verdad, no me mientas."
Commands & Instructions (Imperative Sentences),Cierra la puerta al salir.
Commands & Instructions (Imperative Sentences),Ve al supermercado y compra leche.
Commands & Instructions (Imperative Sentences),Estudia para el examen de mañana.
Commands & Instructions (Imperative Sentences),No uses el teléfono en clase.
Commands & Instructions (Imperative Sentences),Haz tu cama antes de salir de casa.
Named Entity Recognition (NER) Data,Pedro fue a Madrid el viernes pasado.
Named Entity Recognition (NER) Data,La empresa Apple presentó su nuevo iPhone.
Named Entity Recognition (NER) Data,El doctor García trabaja en el Hospital Central.
Named Entity Recognition (NER) Data,Barcelona es una de las ciudades más visitadas de España.
Named Entity Recognition (NER) Data,Amazon ha lanzado un nuevo servicio en Europa.
Named Entity Recognition (NER) Data,El 14 de febrero se celebra el Día de San Valentín.
Named Entity Recognition (NER) Data,El Museo del Prado alberga grandes obras de arte.
Named Entity Recognition (NER) Data,España ganó la Copa del Mundo en 2010.
Named Entity Recognition (NER) Data,Google está desarrollando nuevas herramientas de IA.
Named Entity Recognition (NER) Data,El presidente Sánchez dará un discurso esta tarde.
Sentiment Analysis Data,Estoy muy feliz con mi nuevo trabajo.
Sentiment Analysis Data,"No me gustó la película, fue aburrida."
