Category,Jamaican Patois Sentence
Grammar Core (Sentence Structures & Tenses),Mi did go a di shop yestadeh.
Grammar Core (Sentence Structures & Tenses),Mi ago go a di shop later.
Grammar Core (Sentence Structures & Tenses),"If mi did know, mi wudda stay home."
Grammar Core (Sentence Structures & Tenses),Di food get nyam up quick.
Grammar Core (Sentence Structures & Tenses),Dem a build one big house ova deh so.
Grammar Core (Sentence Structures & Tenses),Mi nuh like when it rain.
Grammar Core (Sentence Structures & Tenses),Mi wuda help yuh if mi did have time.
Grammar Core (Sentence Structures & Tenses),"Mi did si har, but she neva si mi."
Grammar Core (Sentence Structures & Tenses),Di door get open by di wind.
Grammar Core (Sentence Structures & Tenses),"Mi affi cook later, else mi ago hungry."
Conversational Data (Real-Life Dialogues & Exchanges),"Wah gwaan, mi bredda?"
Conversational Data (Real-Life Dialogues & Exchanges),"Mi deh yah a chill, wah yuh up to?"
Conversational Data (Real-Life Dialogues & Exchanges),"Mi soon reach, hold on likkle more."
Conversational Data (Real-Life Dialogues & Exchanges),Mek wi link up later fi di party.
Conversational Data (Real-Life Dialogues & Exchanges),Mi cya believe yuh seh dat!
Conversational Data (Real-Life Dialogues & Exchanges),"A so it go, mi fren."
Conversational Data (Real-Life Dialogues & Exchanges),"Mi done tell yuh, yuh neva listen."
Conversational Data (Real-Life Dialogues & Exchanges),Mi nuh sure if mi can mek it still.
Conversational Data (Real-Life Dialogues & Exchanges),"Mi waan some wata, yuh have any?"
Conversational Data (Real-Life Dialogues & Exchanges),Mi ago check pon yuh later.
Code-Switching & Multilingualism,"Mi soon link yuh back, mi just a finish up some work."
Code-Switching & Multilingualism,Mi cya believe seh di car bruk down again!
Code-Switching & Multilingualism,"Mi wah order di food online, but mi nuh sure how."
Code-Switching & Multilingualism,Di meeting ago start at 3 PM sharp.
Code-Switching & Multilingualism,"Mi granny always a seh, 'patience is a virtue'."
Code-Switching & Multilingualism,"Mi wudda prefer a large coffee, please."
Code-Switching & Multilingualism,Mi teacher tell mi fi do mi homework pon time.
Code-Switching & Multilingualism,Di internet slow bad today.
Code-Switching & Multilingualism,Mi fren just come from overseas fi visit.
Code-Switching & Multilingualism,Mi ago check mi email an si if di message reach.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Wi appreciate yuh patience while wi resolve di issue.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","As per di contract, yuh need fi sign before proceeding."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mi a recommend dat yuh follow up wid di client.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mi ago forward di report fi yuh review.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Di doctor seh yuh need fi get more rest.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mi legal representative ago contact yuh shortly.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Wi value yuh business an look forward fi work wid yuh.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Please ensure di documentation is accurate.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Di technical support team ago reach out soon.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mi appreciate di opportunity fi present di proposal.
"Idioms, Proverbs & Cultural Expressions",One one cocoa full basket.
"Idioms, Proverbs & Cultural Expressions","Mout mek fi talk, but nuh everything fi repeat."
"Idioms, Proverbs & Cultural Expressions","Chicken merry, hawk deh near."
"Idioms, Proverbs & Cultural Expressions","Mi granny always seh, 'Tek time kill ant.'"
"Idioms, Proverbs & Cultural Expressions",Si mi an live wid mi a two different tings.
"Idioms, Proverbs & Cultural Expressions",Mi cya swim cross di river an drown at di bank.
"Idioms, Proverbs & Cultural Expressions","Mi did gi yuh rope, but yuh hang yuhself."
"Idioms, Proverbs & Cultural Expressions",Nuh mek di same stick lick yuh two time.
"Idioms, Proverbs & Cultural Expressions","Di higher di monkey climb, di more him expose."
"Idioms, Proverbs & Cultural Expressions",Every mikkle mek a mukkle.
Question-Answer Pairs (FAQ & Contextual Understanding),Wah time di shop close? - It close 8 o’clock.
Question-Answer Pairs (FAQ & Contextual Understanding),Weh yuh deh? - Mi deh a mi yard.
Question-Answer Pairs (FAQ & Contextual Understanding),Who cook di food? - Mi madda cook it.
Question-Answer Pairs (FAQ & Contextual Understanding),"Yuh like di movie? - Yeh, it did good!"
Question-Answer Pairs (FAQ & Contextual Understanding),"A who dat a knock pon di door? - Mi nuh sure, check."
Question-Answer Pairs (FAQ & Contextual Understanding),"Mi can borrow yuh pen? - Yeh man, tek it."
Question-Answer Pairs (FAQ & Contextual Understanding),Weh yuh buy dem shoes deh? - A downtown mi get dem.
Question-Answer Pairs (FAQ & Contextual Understanding),How much fi di taxi? - A $500 fi reach a town.
Question-Answer Pairs (FAQ & Contextual Understanding),Why yuh look so vex? - Mi phone mash up.
Question-Answer Pairs (FAQ & Contextual Understanding),"Mi can get some wata? - Sure, hold on deh."
Commands & Instructions (Imperative Sentences),Gimme di book deh.
Commands & Instructions (Imperative Sentences),Turn off di light before yuh go sleep.
Commands & Instructions (Imperative Sentences),Mek sure yuh reach early tomorrow.
Commands & Instructions (Imperative Sentences),Nuh badda stress yuhself ova it.
Commands & Instructions (Imperative Sentences),"Hol di door fi mi, please."
Commands & Instructions (Imperative Sentences),Tell mi if yuh need anything.
Commands & Instructions (Imperative Sentences),Bring di salt from di kitchen.
Commands & Instructions (Imperative Sentences),Tek yuh time an answer di question.
Commands & Instructions (Imperative Sentences),Listen carefully to weh mi a seh.
Commands & Instructions (Imperative Sentences),Write yuh name pon di paper.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Bob Marley a one a di greatest musician dem.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mi a go a Kingston tomorrow fi di event.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mi birthday a di 5th a May.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Di meeting set fi di 10th a June.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Jamaica Gleaner always have di latest news.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Di doctor deh a di University Hospital.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mi just come back from Montego Bay.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",GraceKennedy a one a di biggest company dem.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Di Prime Minister gi a speech yesterday.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Di National Stadium ago full up fi di match.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi love how di food taste!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi vex cause di bus neva stop fi mi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Di concert did nice bad!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi feel sad bout weh happen.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi cya wait fi di holiday!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi disappointed in di service.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi well excited fi di trip!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Di music too loud, mi cya manage it."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi grateful fi all weh yuh do fi mi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi nuh like how di weather stay today.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi cya believe seh di shop lock so early.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi neva expect dem fi finish di work so quick.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi surprise seh yuh reach before mi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Di man move fast like lightning!
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Di food taste real good!
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi happy how di event turn out.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi nuh tink di plan ago work.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi see seh yuh serious bout it.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Yuh cya trick mi, mi done know."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi love how di place decorate!
