Category,Sentence (Occitan)
Grammar Core (Sentence Structures & Tenses),"Dempuèi ièr, ai vist tres filmes diferents."
Grammar Core (Sentence Structures & Tenses),"Se plovia, demorariái a l’ostal."
Grammar Core (Sentence Structures & Tenses),"Aquesta setmana, trabalharem sus un novèl projècte."
Grammar Core (Sentence Structures & Tenses),Es estat un bon moment amb los amics.
Grammar Core (Sentence Structures & Tenses),L’enfant jòga amb son can cada matin.
Grammar Core (Sentence Structures & Tenses),"Demandi pas res de mai, çò que voliái es ja aquí."
Grammar Core (Sentence Structures & Tenses),"A l’epòca medievala, los reis governavan amb poder absolut."
Grammar Core (Sentence Structures & Tenses),Serà necessari que tu me respondas abans de dimenge.
Grammar Core (Sentence Structures & Tenses),"Se aguèssi agut mai de temps, auriái estudiat mai."
Grammar Core (Sentence Structures & Tenses),"Dempuèi qu’ai començat aqueste libre, pòdi pas arrestar de lo legir."
Conversational Data (Real-Life Dialogues & Exchanges),"— Bonjorn! Cossí vas? — Plan, mercés! E tu?"
Conversational Data (Real-Life Dialogues & Exchanges),— Ont es passat ièr? — Ai agut un problèma e soi pas pogut venir.
Conversational Data (Real-Life Dialogues & Exchanges),"— Podètz me donar lo menut del jorn? — Òc, plan segur!"
Conversational Data (Real-Life Dialogues & Exchanges),"— Te pòdi ajudar? — Òc, cercavi lo departament d’informatica."
Conversational Data (Real-Life Dialogues & Exchanges),— Mercés per ton ajuda! — De res! Sempre aquí per ajudar.
Conversational Data (Real-Life Dialogues & Exchanges),"— Deman fasèm una passejada? — Òc, me va plan!"
Conversational Data (Real-Life Dialogues & Exchanges),— Quantes còstas còsta aqueste libre? — Còsta 15 èuros.
Conversational Data (Real-Life Dialogues & Exchanges),— M’agrada fòrça la musica occitana! — Ieu tanben! Es plan rica en istòria.
Conversational Data (Real-Life Dialogues & Exchanges),"— Pòt venir al festenal dissabte? — O planhi, mas ai un autre eveniment."
Conversational Data (Real-Life Dialogues & Exchanges),"— Bon ser, avètz una taula per dos? — Òc, seguis-me per aquí."
Code-Switching & Multilingualism,"I love Occitan, es una lenga plan polida."
Code-Switching & Multilingualism,"Après lo trabalh, anèm boire un café?"
Code-Switching & Multilingualism,"Aqueste estiu, vau faire un viatge en Spain."
Code-Switching & Multilingualism,Ai trobat un libre fantastic in French.
Code-Switching & Multilingualism,"As vist aquel restaurant italian, es fòrça bon!"
Code-Switching & Multilingualism,Aprene l’occitan es important in our culture.
Code-Switching & Multilingualism,"Dins la carrièra, i a un market plan grand."
Code-Switching & Multilingualism,"Lo concert èra amazing, me regaudiguèt fòrça!"
Code-Switching & Multilingualism,"Quand estudias multiple languages, improves your brain."
Code-Switching & Multilingualism,Cossí se ditz bonjorn in Catalan?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Lo conselh municipal anoncièt una nòva mesura economica.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Per favor, signatz lo contracte abans divendres."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Aqueste document es confidençial e deu pas èsser divulgat.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Lo pacient a de besonh d’una analisi suplementària.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Dins lo mond juridic, cada paraula pòt aver un sens precís."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Lo meeting professional comença a 9 oras del matin.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Cal respectar las règulas de seguretat al trabalh.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",L’expert en tecnologia presentèt un nòu dispositiu innovador.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",La societat a decidit investir dins las energias renovelablas.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",L’objectiu de l’entrepresa es de melhorar lo servici client.
"Idioms, Proverbs & Cultural Expressions","Quora lo cat es pas aicí, los mirguets dançan."
"Idioms, Proverbs & Cultural Expressions",Plòu coma a la Sant Miquèl.
"Idioms, Proverbs & Cultural Expressions",Es pas tot aur çò que lusís.
"Idioms, Proverbs & Cultural Expressions",A cada aucèl son niu es polit.
"Idioms, Proverbs & Cultural Expressions","Mai se lèva d’ora, mai fa bona caça."
"Idioms, Proverbs & Cultural Expressions",Un amic dins la besonh es un amic vertadièr.
"Idioms, Proverbs & Cultural Expressions",Lo temps es un bon medecin.
"Idioms, Proverbs & Cultural Expressions","A pas cap de pè, mas avança mai qu’un vièlh: es lo temps."
"Idioms, Proverbs & Cultural Expressions","Lo pan que se manja pas d’efièch, tròba pas bon gost."
"Idioms, Proverbs & Cultural Expressions",Tot camí mena a Roma.
Question-Answer Pairs (FAQ & Contextual Understanding),— Ont se tròba lo musèu d’istòria? — Es al centre de la vila.
Question-Answer Pairs (FAQ & Contextual Understanding),— Quin es lo melhor restaurant d’aquí? — Lo ‘Bistrot Occitan’ es plan reputat.
Question-Answer Pairs (FAQ & Contextual Understanding),— A quina ora dubrís la botiga? — A uèch oras del matin.
Question-Answer Pairs (FAQ & Contextual Understanding),— Cossí se ditz ‘good morning’ en occitan? — Se ditz ‘Bon matin’.
Question-Answer Pairs (FAQ & Contextual Understanding),— Quina es la moneda utilizada en França? — Es l’èuro.
Question-Answer Pairs (FAQ & Contextual Understanding),— Quant de temps cal per anar a Tolosa d’aicí? — Aperaquí una ora de veitura.
Question-Answer Pairs (FAQ & Contextual Understanding),— Podètz me recomandar un libre en occitan? — Òc! ‘Lo Libre de Catòia’ es plan bon.
Question-Answer Pairs (FAQ & Contextual Understanding),— Ont pòdi aprene l’occitan en linha? — Sus lo site de l’IEO o de l’APLR.
Question-Answer Pairs (FAQ & Contextual Understanding),— Quin temps farà deman? — Lo temps serà solelhós.
Question-Answer Pairs (FAQ & Contextual Understanding),"— Es Occitània una region oficiala? — Òc, dins lo sud de França."
Commands & Instructions (Imperative Sentences),"Dobris la fenèstra, per favor."
Commands & Instructions (Imperative Sentences),Escota-me abans de decidir.
Commands & Instructions (Imperative Sentences),Escriu ton nom sus lo document.
Commands & Instructions (Imperative Sentences),Pren lo camin de drecha per anar al castèl.
Commands & Instructions (Imperative Sentences),Sortís pas sens ton parapluja!
Commands & Instructions (Imperative Sentences),"Parla mai doçament, se vos plai."
Commands & Instructions (Imperative Sentences),Fermatz la pòrta quand sortissètz.
Commands & Instructions (Imperative Sentences),Dona-me un exemple concret.
Commands & Instructions (Imperative Sentences),Continua d’aprene cada jorn!
Commands & Instructions (Imperative Sentences),"Regarda aqueste libre, es interessant."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Joan va viatjar a Barcelona la setmana que ven.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tolosa es una de las vilas mai grandas d’Occitània.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",L’UNESCO protegís los sites culturaus importants.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","La Tor Eiffel se tròba a París, en França."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Lo 14 de julhet es lo jorn nacional francés.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Maria trabalha per l’Universitat de Montpelhièr.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Lo Louvre conten d’òbras d’art mondialament famosas.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",L’occitan es parlat dins divèrsas regions d’Euròpa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",La companhiá Airbus a son sèti social a Tolosa.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Cada annada, lo festenal de Carcassona atira de milièrs de personas."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Soi fòrça content de ma nòva trabalh.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Aqueste film m’a fach plorar tant èra emotiu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Es injust! Devián pas agir d’aquesta manièra.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ai passat una jornada meravilhosa amb los amics.
