Categories,Sentences
Grammar Core (Sentence Structures & Tenses),मैं आज बाज़ार जात हौं।
Grammar Core (Sentence Structures & Tenses),वह कल आगरा गयो रहो।
Grammar Core (Sentence Structures & Tenses),हम परसों मंदिर जइहैं।
Grammar Core (Sentence Structures & Tenses),तू क्यों न आयो?
Grammar Core (Sentence Structures & Tenses),किताब मोहन द्वारा लिखी गई है।
Grammar Core (Sentence Structures & Tenses),"यदि बरसात होत, तौ हम घर रहत।"
Grammar Core (Sentence Structures & Tenses),मैंने काम पूरा कर लियो है।
Grammar Core (Sentence Structures & Tenses),वह खाना बनावत रहो।
Grammar Core (Sentence Structures & Tenses),हम खेल चुके हन।
Grammar Core (Sentence Structures & Tenses),बच्चन को बुलायो जावै।
Conversational Data (Real-Life Dialogues & Exchanges),तू कहाँ जात है रे?
Conversational Data (Real-Life Dialogues & Exchanges),"मैं तो दूध लै कै आवत हौं, तू कछु लइआवैगो?"
Conversational Data (Real-Life Dialogues & Exchanges),"अरे, आज तो बड़ी ठंड पड़त है!"
Conversational Data (Real-Life Dialogues & Exchanges),"हाँ, चल चाय पीवैं।"
Conversational Data (Real-Life Dialogues & Exchanges),तू मोसे नाराज़ तो नाहिं?
Conversational Data (Real-Life Dialogues & Exchanges),"नाहिं भैया, बस थोड़ो व्यस्त रहो।"
Conversational Data (Real-Life Dialogues & Exchanges),तोर घर में सब ठीक-ठाक है?
Conversational Data (Real-Life Dialogues & Exchanges),"हाँ, सब कुशल है, तेरो हाल कैसो?"
Conversational Data (Real-Life Dialogues & Exchanges),"चल, संझा को फिर मिलत हन।"
Conversational Data (Real-Life Dialogues & Exchanges),"ठीक है, देर न करियो।"
Code-Switching & Multilingualism,"आज मीटिंग बहुत इम्पोर्टेंट है, टाइम पर आ जइयो।"
Code-Switching & Multilingualism,"मोबाइल की बैटरी डाउन है, चार्जर दे दे।"
Code-Switching & Multilingualism,वह प्रोजेक्ट की डेडलाइन नज़दीक आवत है।
Code-Switching & Multilingualism,मैंने फॉर्म ऑनलाइन सबमिट कर दियो।
Code-Switching & Multilingualism,तू फाइल ईमेल कर दै।
Code-Switching & Multilingualism,आज ऑफिस में ट्रेनिंग सेशन रहो।
Code-Switching & Multilingualism,उसने रिज़ल्ट डाउनलोड कर लियो।
Code-Switching & Multilingualism,हमने टिकट बुक कर ली है।
Code-Switching & Multilingualism,नेटवर्क स्लो चल रहो है।
