Category,Sentence
Grammar Core (Sentence Structures & Tenses),ସେ ଗୀତ ଗାଉଛି।
Grammar Core (Sentence Structures & Tenses),ମୁଁ ଭଲ ଭାବରେ ପଢ଼ିଲି।
Grammar Core (Sentence Structures & Tenses),ସେ ଦୂତିୟ ଥର ଯାଇଥିଲା।
Grammar Core (Sentence Structures & Tenses),ତୁମେ ଏହା ଲେଖିବ।
Grammar Core (Sentence Structures & Tenses),"ଯଦି ବର୍ଷା ପଡ଼େ, ଆମେ ଘରେ ରହିବା।"
Grammar Core (Sentence Structures & Tenses),ସେଠି ଆମେ ଯିବାକୁ ଚାହୁଁ।
Grammar Core (Sentence Structures & Tenses),ମୁଁ କିଛି ଖାଇ ନଥିଲି।
Grammar Core (Sentence Structures & Tenses),ମୁଁ ଏହା କରିପାରିବି କି?
Grammar Core (Sentence Structures & Tenses),ପୁରୁଣା ବସ୍ ଚଲାଉଥିଲେ।
Grammar Core (Sentence Structures & Tenses),ଏହା ଲେଖାଯାଇଛି।
Conversational Data (Real-Life Dialogues & Exchanges),ତୁମେ କେମିତି ଅଛ?
Conversational Data (Real-Life Dialogues & Exchanges),"ମୁଁ ଭଲ ଅଛି, ଧନ୍ୟବାଦ।"
Conversational Data (Real-Life Dialogues & Exchanges),ଏଠି କ’ଉଠି ଚା ପାଇପାରିବି?
Conversational Data (Real-Life Dialogues & Exchanges),ଆଉ କ’ଣ ଖବର?
Conversational Data (Real-Life Dialogues & Exchanges),ତୁମେ କ’ଠି ରହୁଛ?
Conversational Data (Real-Life Dialogues & Exchanges),ମୋ ପଠାଇଥିବା ଇମେଲ ମିଳିଲା କି?
Conversational Data (Real-Life Dialogues & Exchanges),ମୁଁ ଆଜି ବ୍ୟସ୍ତ ଅଛି।
Conversational Data (Real-Life Dialogues & Exchanges),ଆସନ୍ତା କାଲି ଦେଖା ହେବ?
Conversational Data (Real-Life Dialogues & Exchanges),ତୁମେ ଏହି ଚିତ୍ର ଦେଖିଲ କି?
Conversational Data (Real-Life Dialogues & Exchanges),ଏହି ଏକ ଭଲ ଭିଚାର ଅଟେ।
Code-Switching & Multilingualism,ମୁଁ shopping କରିବାକୁ ଯାଉଛି।
Code-Switching & Multilingualism,ତୁମେ meeting ଏ ଅଂଶ ନେବା କି?
Code-Switching & Multilingualism,"ଆଉ କ’ଣ ଖବର, buddy?"
