Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Uanga atuarfimmi ilinniartitsisuuvoq.
Grammar Core (Sentence Structures & Tenses),Tuppallersarpunga taamaaliornikkut ajunnginnerussasoq.
Grammar Core (Sentence Structures & Tenses),Piffissaq tamakkerlugu sulisimavunga ukioq kingulleq.
Grammar Core (Sentence Structures & Tenses),Aallarnissarput pilersaarutigaarput upernaakkut.
Grammar Core (Sentence Structures & Tenses),Inuup qanoq iliorsinnaaneranik ilikkagaqarpoq.
Grammar Core (Sentence Structures & Tenses),Angajoqqaat atuartut ikiuullugit suliaqarput.
Grammar Core (Sentence Structures & Tenses),Uagut ungasinnerusumut pilersaaruteqarpugut.
Grammar Core (Sentence Structures & Tenses),Uanga suliffimmi pisortaasimagaluarpunga.
Grammar Core (Sentence Structures & Tenses),Tusaamasaqarluni oqaluppoq – kisianni eqqortumik oqaluttuarpa?
Grammar Core (Sentence Structures & Tenses),Taanna nammineq aalajangiisinnaanngilaq – taanna aalajangiunneqarpoq.
Conversational Data (Real-Life Dialogues & Exchanges),"– Qanoq ippit? – Ajunngilanga, illit?"
Conversational Data (Real-Life Dialogues & Exchanges),"– Ulloq manna susassaqarpit? – Aap, pisiniarniarpunga."
Conversational Data (Real-Life Dialogues & Exchanges),"– Kaagit mamarpa? – Naamik, qaqugulu neriniarpit?"
Conversational Data (Real-Life Dialogues & Exchanges),"– Inuusuttut unnukkut naapippat? – Aap, imminnut naapipput."
Conversational Data (Real-Life Dialogues & Exchanges),"– Aajuku timmissat! – Aap, takujuminaappoq."
Conversational Data (Real-Life Dialogues & Exchanges),– Sooq nikinnerpianngilat? – Nerrivimmi issiavunga.
Conversational Data (Real-Life Dialogues & Exchanges),"– Iseravit uannut oqarpit? – Aap, oqarpunga."
Conversational Data (Real-Life Dialogues & Exchanges),"– Nipaatsumik oqarpit? – Aap, eqqarsarpunga."
Conversational Data (Real-Life Dialogues & Exchanges),– Ingerlaqqilluta qanoq iliussaagut? – Avissaartissaagut.
Conversational Data (Real-Life Dialogues & Exchanges),"– Uagutsinnut ilannguppit? – Aap, piumavunga."
Code-Switching & Multilingualism,Uanga nalunngilara Facebookimi postit danskisut allanneqartartut.
Code-Switching & Multilingualism,Meeqqat atuarfianni oqaatsit marluk atorneqartarput: kalaallisut aammalu qallunaatut.
Code-Switching & Multilingualism,Kalaallit inuusuttorpassuit oqaatsinik marlunnik atuisarput everyday.
Code-Switching & Multilingualism,Suliassaq taanna English version-anik suliareqqinneqarsinnaavoq.
Code-Switching & Multilingualism,"Tunngavilersuineq qallunaatut saqqummiunneqarpoq, kisianni oqaaseqaatit kalaallisut ilanngunneqarput."
Code-Switching & Multilingualism,I love it – kisianni oqaatsit nalullugit eqqarsarpunga.
Code-Switching & Multilingualism,Nunatsinni bilingualism nalinginnaasuusimavoq ukiut arlallit matuma siorna.
Code-Switching & Multilingualism,"Qupperneq taanna kalaallisut atuarsinnaanngilara, but the Danish makes sense."
Code-Switching & Multilingualism,"Oqaatsit marluk atorluarlugit oqaluttuarpoq: kalaallisut aallartippoq, qallunaatut naammassillugu."
Code-Switching & Multilingualism,Teacher-i ullumi ilinniartitsinermik ataatsimik unitsitsivoq.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Suliassat pisortatigoortut naliginnaasumik aalajangersakkat naapertorlugit suliarineqartarput.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nakorsat nalunaarutaat tamanut saqqummiunneqarpoq innuttaasunut pingaarutilimmik paasissutissiivoq.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Pisortat atorfiit allaffissornikkut ingerlatsinermi allanngortiteriffigineqassapput.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Suliffeqarfiit amerlanerit ataatsimeersuartarput ukioq allortarlugu missingersuutinik pilersaarusiorlutik.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Peqqissutsimut nalunaarusiaq saqqummiunneqartoq peqqinnissaqarfiup aaqqissuussaaneranik qitiusumik saqqummiivoq.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Naalagaaffiup inatsisiliaa naapertorlugu suliaq ingerlateqqinneqassaaq.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ingerlatseqatigiiffiit suleqatigiinnerat isumaqatigiissusiorfiusimavoq assigiinngitsunik piumasaqaateqartunik.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Allaffissornermi nalunaarutit pisortatigoortumik atortussanik imaqassapput.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Akissarsiat pillugit isumaqatigiissut tallimanngormat atsiorneqarpoq.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Allannguutip qanoq eqqumaffiginissaa pillugit immikkut ataatsimiittoqarpoq.
"Idioms, Proverbs & Cultural Expressions",Ajunngitsumik pisumik eqqarsartariaqarpoq — soorlu qaqqamut qaqisoq.
"Idioms, Proverbs & Cultural Expressions",Inuk inuusuttumik nalullugu taava aatsaat paasivaa.
"Idioms, Proverbs & Cultural Expressions",Aatsaat qerruttoq aallartippat taava paasivaa soorlu nittaalaartitsisoq.
"Idioms, Proverbs & Cultural Expressions",Qarasaasiaq ingerlaartillugu qaarsimasoq isumaqarpoq malugaalu.
"Idioms, Proverbs & Cultural Expressions","Siullermik qasuersaarneq pingaaruteqartoq ilisimasaqarfiginngikkaanni, nukittoqinnerup tungaanut ingerlasoqanngilaq."
"Idioms, Proverbs & Cultural Expressions",Ukioq tikillugu issittoq pinngitsuusaarsinnaanngilaq.
"Idioms, Proverbs & Cultural Expressions",Oqaluuserisassat qangatsikkallarpoq — soorlu piniarneqartartoq ukiup ilaani.
"Idioms, Proverbs & Cultural Expressions",Suna tamatigut takussaanngilaq — soorlu anorersuaq illuinnaatigut sarsuatittoq.
"Idioms, Proverbs & Cultural Expressions",Immap tungaanut isikkiveqarneq eqqarsarnermik imalikuuvoq.
"Idioms, Proverbs & Cultural Expressions",Qimussimik ingerlanermi aallarpallaarnermut naleqquttoqanngilaq — issiavik qaangerneqartariaqarpoq.
Question-Answer Pairs (FAQ & Contextual Understanding),Qanoq ilillutit atuarfik naammassigakku suliffimmik aallartippit?
Question-Answer Pairs (FAQ & Contextual Understanding),Qanga aatsaat ilaquttatit katersuuffigisarpatit?
Question-Answer Pairs (FAQ & Contextual Understanding),Kalaallit Nunaanni innuttaasut qanoq amerlatigippat?
Question-Answer Pairs (FAQ & Contextual Understanding),Sumi najugaqarpit? Sumi ilinniarpit?
Question-Answer Pairs (FAQ & Contextual Understanding),Sooruna kisianni kisianni ilisimasaqarfigivippara paasineq ajortoq?
Question-Answer Pairs (FAQ & Contextual Understanding),Qanoq iliorlutit nerisassanut aningaasartuuteqarnikuuit?
Question-Answer Pairs (FAQ & Contextual Understanding),Qanoq isilluni oqaatsit marluk oqaatsinneqarsinnaapput?
Question-Answer Pairs (FAQ & Contextual Understanding),Sooq inuusuttuaqqat inuiaqatigiinni pingaaruteqartumik inissisimappat?
