Categories,Sentences
Grammar Core,Eu escribu cada día pa mejoral la mi ortografía.
Grammar Core,Nós estudiemus la historia d'Estremaúra con atención.
Grammar Core,Ellus habrán terminau'l traballu antis de la nochi.
Grammar Core,"Si yo tuviessi tiempu, visitaría más pueblus antigüus."
Grammar Core,La carta foi enviá pola direutora ayeri.
Grammar Core,Nun quiero que me digas mentiras nunca más.
Grammar Core,"Cuando llegaris, avisami pa preparal la cena."
Grammar Core,Había llovíu muncho antis de que saliéramus.
Grammar Core,Estaré trabayandu en casa mientres tú descansas.
Grammar Core,Que aprendamus xuntus ye la mi mayor ilusión.
Conversational Data,—¿Ande vas agora? —Voy al mercáu a compral quesus.
Conversational Data,"—Nun lo sabía, gracies por avisalmi."
Conversational Data,"—¿Quedamus esta tardina na plaza? —Claro, allí estaré."
Conversational Data,"—Tás cansau? —Un pocu, peru sigo con ánimu."
Conversational Data,"—¿Qué tal la tu familia? —Toa bien, gracies a Dios."
Conversational Data,"—Mañana falamus con más calma, ¿vale?"
Conversational Data,—Eso que dices tien muncho sentíu.
Conversational Data,"—Nun te preocupis, yo me encargu."
Conversational Data,—¿Vienis con nós o quedas en casa?
Conversational Data,"—Anda, cuéntami lo que pasó de verdá."
Code-Switching & Multilingualism,Esti software necesita un update antis de funcionar bien.
Code-Switching & Multilingualism,Vamos a hacel un meeting mañana pola mañana.
Code-Switching & Multilingualism,El projecte ta casi ready pa presental.
Code-Switching & Multilingualism,Tengru que enviál el email agora mesmu.
Code-Switching & Multilingualism,La app nueva funciona mellor que l'antigua versión.
Code-Switching & Multilingualism,Ficimus un brainstorming pa resolvel el problema.
Code-Switching & Multilingualism,El sistema fai crash si metis demasiáus datos.
Code-Switching & Multilingualism,La conexión wifi nun ta estable güei.
Code-Switching & Multilingualism,Necesitam implemental esti feature con cuidadu.
Code-Switching & Multilingualism,El feedback del cliente foi bastante positivu.
Formal & Professional Speech,Solicitu formalmente una revisión del contratu firmau.
Formal & Professional Speech,El informe médicu confirma una recuperación progresiva.
Formal & Professional Speech,La empresa anunciará los resultaus trimestralis mañana.
Formal & Professional Speech,"Según la normativa vigente, esti procedimientu ye obligatori."
Formal & Professional Speech,La reunión comenzará puntualmente a las nueve.
Formal & Professional Speech,Requieru asesoramientu legal sobre esti asuntu.
Formal & Professional Speech,El pacienti deberá guardal reposu absolutu.
Formal & Professional Speech,La documentación técnica ta disponible en l'archivu central.
Formal & Professional Speech,Presentamus la propuesta con total transparéncia.
Formal & Professional Speech,Agradecemus la su colaboración institucional.
"Idioms, Proverbs & Cultural Expressions",Más val páxaru en manu que ciento volandu.
"Idioms, Proverbs & Cultural Expressions","El que siembra vientu, recoge tempestá."
"Idioms, Proverbs & Cultural Expressions",Nun dexis pa mañana lo que puedas facel güei.
"Idioms, Proverbs & Cultural Expressions",Cada gochu tien la su San Martín.
"Idioms, Proverbs & Cultural Expressions",Andar con pies de plomu evita disgustus.
"Idioms, Proverbs & Cultural Expressions","Quien muncho abarca, pocu aprieta."
"Idioms, Proverbs & Cultural Expressions",El tiempu pon cada cosa nel su sitiu.
"Idioms, Proverbs & Cultural Expressions",Nun hay mal que cien añus dure.
"Idioms, Proverbs & Cultural Expressions","A palabras necias, oíus sordus."
"Idioms, Proverbs & Cultural Expressions","Cuando el ríu suena, agua lleva."
Question-Answer Pairs,¿Cuándu nació la fiesta? Nació fai más de cien añus.
Question-Answer Pairs,¿Por qué ye importante esti estudiu? Porque aporta datos fiables.
Question-Answer Pairs,¿Ande ta la biblioteca? Ta xunto al ayuntamientu.
Question-Answer Pairs,¿Qué opinas del cambiu? Pa mi ye necesariu.
Question-Answer Pairs,"¿Cómo se prepara la torta? Con harina, güevus y azucre."
Question-Answer Pairs,¿Quién organizó l'eventu? La asociación cultural local.
Question-Answer Pairs,¿Cuánto cuesta la matrícula? Cuesta cincuenta euros.
Question-Answer Pairs,¿Qué significan esti términu? Significa un procesu gradual.
Question-Answer Pairs,¿Por qué llueve tanto? Por un frente atlánticu activu.
