Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Este persklum aves anzeriates enetu pernaies pusnaes.
Grammar Core (Sentence Structures & Tenses),Preveres treplanes iuve krapuvi tre buf fetu.
Grammar Core (Sentence Structures & Tenses),Arvia ustentu heris vinu puni feitu.
Grammar Core (Sentence Structures & Tenses),Vatuva ferine feitu ukriper fisiu tutaper ikuvina.
Grammar Core (Sentence Structures & Tenses),Sevum kutef pesnimu ařepes arves.
Grammar Core (Sentence Structures & Tenses),Pusveres treplanes tref sif kumiaf feitu trebe iuvie.
Grammar Core (Sentence Structures & Tenses),Supa sumtu puni fetu marte krapuvi.
Grammar Core (Sentence Structures & Tenses),"Preveres tesenakes tre buf fetu, ukripe fisiu tutaper ikuvina."
Grammar Core (Sentence Structures & Tenses),Arsfertur sevakni menzne kuratu tuta ikuvina.
Grammar Core (Sentence Structures & Tenses),"Pumpeřias pumperias avertu, erus testru trifu fetu."
Conversational Data (Real-Life Dialogues & Exchanges),"Salve, frater; puste veres treplanes veniu."
Conversational Data (Real-Life Dialogues & Exchanges),"Salve, sors; sevum kutef pesnimu arves."
Conversational Data (Real-Life Dialogues & Exchanges),"Kva es tu? Ikes ikuvinus, tutaper fisiu veniu."
Conversational Data (Real-Life Dialogues & Exchanges),Kva fetu nu? Tre buf fetu iuve krapuvi.
Conversational Data (Real-Life Dialogues & Exchanges),"Neip erus? Erus trifu, pune puni heri vinu."
Conversational Data (Real-Life Dialogues & Exchanges),Mehe vatuva da; ferine feitu.
Conversational Data (Real-Life Dialogues & Exchanges),"Tu arvia ustentu? Arvia ustentu, supa sumtu."
Conversational Data (Real-Life Dialogues & Exchanges),Puste kumaltu? Pusveres treplanes kumaltu.
Conversational Data (Real-Life Dialogues & Exchanges),Ahti enetu? Este persklum enetu.
Conversational Data (Real-Life Dialogues & Exchanges),"Totar martier, frater; tuta ikuvina salua."
Code-Switching & Multilingualism,"Romae forum, tutaper ikuvina, feitu persklum."
Code-Switching & Multilingualism,"Perugia, ukripe fisiu, salve kvestur enetu."
Code-Switching & Multilingualism,Marte krapuvi hashtag tre buf fetu.
Code-Switching & Multilingualism,Todi meeting puste veres treplanes kuratu.
Code-Switching & Multilingualism,Spoleto festival heris vinu puni feitu.
Code-Switching & Multilingualism,Foligno mercato arvia ustentu supa sumtu.
Code-Switching & Multilingualism,"Assisi pax, tuta ikuvina, sevum pesnimu."
Code-Switching & Multilingualism,"Email mehe: persklum enetu, non tardu."
Code-Switching & Multilingualism,Online arsfertur data ikuvina kuratu.
Code-Switching & Multilingualism,"Chatbot frater, kva fetu nu?"
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Arsfertur testru persklum enetu pro tuta ikuvina.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kvestur ukripe fisiu dokumentum kuratu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Medikus sevum arves pesnimu, puni neip fetu."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tabularium martier nomenes treplanes servatu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Magistratus preveres tesenakes legem fetu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Negotium puste veres pretium kumaltu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Teknikus supa sumtu et arvia ustentu rite.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Akademia pernaies pusnaes data anzeriates enetu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Notarius tutae ikuvinae pactum feitu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Consilium tutaper ikuvina salutem fisia fetu.
"Idioms, Proverbs & Cultural Expressions","Ukriper fisiu, tutaper ikuvina cor habetu."
"Idioms, Proverbs & Cultural Expressions","Qui supa sumtu, arvia non deserit."
"Idioms, Proverbs & Cultural Expressions","Puste veres sapientia veniu, preveres labor fetu."
"Idioms, Proverbs & Cultural Expressions","Heris vinu heri puni, mens clara manetu."
"Idioms, Proverbs & Cultural Expressions",Buf sine duce per veres non eunt.
"Idioms, Proverbs & Cultural Expressions","Sevum kutef, ařepes arves loquuntur."
"Idioms, Proverbs & Cultural Expressions",Persklum sine anzeriates ventus est.
"Idioms, Proverbs & Cultural Expressions","Treplanes viae, unum cor tutaper."
"Idioms, Proverbs & Cultural Expressions","Puni parva, pax magna."
"Idioms, Proverbs & Cultural Expressions","Marte krapuvi audit, tuta meminit."
Question-Answer Pairs (FAQ & Contextual Understanding),Kva est persklum? Este persklum aves anzeriates enetu.
Question-Answer Pairs (FAQ & Contextual Understanding),Kvi fetu buf? Arsfertur tre buf iuve krapuvi fetu.
Question-Answer Pairs (FAQ & Contextual Understanding),Kva loci est ukri? Ukripe fisiu tutaper ikuvina est.
Question-Answer Pairs (FAQ & Contextual Understanding),Kva tempore veniu? Pusveres treplanes veniu.
Question-Answer Pairs (FAQ & Contextual Understanding),Kva arvia ustentu? Arvia pro persklum ustentu.
Question-Answer Pairs (FAQ & Contextual Understanding),Kva sentit tuta? Tuta ikuvina pacem sentit.
Question-Answer Pairs (FAQ & Contextual Understanding),Kva rogat kvestur? Kvestur dokumentum kuratu rogat.
Question-Answer Pairs (FAQ & Contextual Understanding),Kva facit medikus? Medikus sevum pesnimu.
Question-Answer Pairs (FAQ & Contextual Understanding),Kva nomen habet oppidum? Oppidum Perugia nomen habet.
Question-Answer Pairs (FAQ & Contextual Understanding),Kva melior est via? Via preveres tesenakes melior est.
Commands & Instructions (Imperative Sentences),Enetu este persklum sine mora.
Commands & Instructions (Imperative Sentences),Fetu tre buf iuve krapuvi.
Commands & Instructions (Imperative Sentences),Ustentu arvia ante supa.
Commands & Instructions (Imperative Sentences),Feitu vatuva ferine diligenter.
Commands & Instructions (Imperative Sentences),Sumtu supa et servatu.
Commands & Instructions (Imperative Sentences),Kuratu dokumentum ukripe fisiu.
Commands & Instructions (Imperative Sentences),Da sevum kvesturi tuto.
Commands & Instructions (Imperative Sentences),Veniu puste veres treplanes.
Commands & Instructions (Imperative Sentences),Servatu nomenes martier tabulariu.
Commands & Instructions (Imperative Sentences),Loquitu clare pro tuta ikuvina.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Perugia die Martis tutae ikuvinae consilium habet.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Marte Krapuvi apud Ikuvium tre buf accipit.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Trebe Iuvie in ukri fisiu persklum audit.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Lucius Fisius Romae dokumentum kuratu.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Arsfertur Aulus in Tabulario Ikivino nomen servat.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Assisi mense Maiu pacem publicam celebrat.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Spoleto die XV Iuni festivalem aperit.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Tuder et Fulginia inter veres treplanes stant.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Organizatio Talkalotta corpus ikuvinum parat.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Universitas Perusina anno MMXXVI data linguistica probat.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Laetu sum, quia tuta ikuvina salua est."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Tristu sum, quia persklum sero enetu."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Neutru iudicium habeo de veribus treplanibus.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Gaudium magnum sentio pro pace tutaper.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Ira parva surgit, cum dokumentum perit."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Timor crescit, si aves non redeunt."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Spes clara manet in ukri fisiu.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Fastidium sentio de sermone longo et vano.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Gratia magna est kvesturi benigno.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Dubium habeo, sed responsum quaero."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Este persklum aves anzeriates enetu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Persklum hoc per aves anzeriates enetu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Aves anzeriates persklum este portant.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Pernaies pusnaes aves persklum enetu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ukriper fisiu tutaper ikuvina feitu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Feitu tutaper ikuvina ukripe fisiu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Pro ukri fisiu et tuta ikuvina feitu.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tuta ikuvina in ukri fisiu opus feitu.
