Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Mi bin ga down de road yestaday.
Grammar Core (Sentence Structures & Tenses),Shi deh cook soup fu she chile now.
Grammar Core (Sentence Structures & Tenses),Dem gwine play cricket tomorrow afternoon.
Grammar Core (Sentence Structures & Tenses),"If mi did know, mi wudda tell yuh."
Grammar Core (Sentence Structures & Tenses),Mi dohn like when people lie.
Grammar Core (Sentence Structures & Tenses),De mango dem get eat by de dog.
Grammar Core (Sentence Structures & Tenses),Mi always a wash clothes pon Sunday.
Grammar Core (Sentence Structures & Tenses),Mi na eat pork cause mi allergic.
Grammar Core (Sentence Structures & Tenses),Shi wudda come if she did free.
Grammar Core (Sentence Structures & Tenses),We does walk go church every week.
Conversational Data (Real-Life Dialogues & Exchanges),Wha yuh doin dis evenin?
Conversational Data (Real-Life Dialogues & Exchanges),"Mi just reach from work, mi tired bad."
Conversational Data (Real-Life Dialogues & Exchanges),Yuh eat lunch already?
Conversational Data (Real-Life Dialogues & Exchanges),Mi cya believe he say dat to yuh!
Conversational Data (Real-Life Dialogues & Exchanges),Wait me leff mi phone home again.
Conversational Data (Real-Life Dialogues & Exchanges),"We gwan beach latah, yuh comin?"
Conversational Data (Real-Life Dialogues & Exchanges),"Nuh badda worry, everyting gwan be alright."
Conversational Data (Real-Life Dialogues & Exchanges),Yuh see how de rain come down sudden?
Conversational Data (Real-Life Dialogues & Exchanges),Mi tell she mi na inna de mood today.
Conversational Data (Real-Life Dialogues & Exchanges),Yuh need help wid dat bag?
Code-Switching & Multilingualism,"Mi na tink he gwine, but mi hope so though."
Code-Switching & Multilingualism,She wudda say ‘ok’ but she vex now.
Code-Switching & Multilingualism,Dem a mix up English and Creole steady.
Code-Switching & Multilingualism,"Mi seh ‘bye’, and den mi lef quick quick."
Code-Switching & Multilingualism,"We talking 'bout de ting, yuh undastan?"
Code-Switching & Multilingualism,Shi always a switch when she get vex.
Code-Switching & Multilingualism,Mi nuh like when dem talk fancy-fancy.
Code-Switching & Multilingualism,"Mi tell dem, ‘una need fi calm down’."
Code-Switching & Multilingualism,Mi di try explain it de English way.
Code-Switching & Multilingualism,Mi granny seh ‘manners carry yuh far’.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Please submit yuh documents by Friday morning.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mi doctor seh mi need rest fi two week.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","De meeting start sharp 9 o'clock, nuh late."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Dis letter confirm yuh appointment next Tuesday.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",We reviewing yuh application as we speak.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mi client wish fi resolve de matter quiet.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Di technician fix de system dis mornin.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",All visitors must sign in pon arrival.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",De patient complain 'bout chest pain and dizziness.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Dis proposal need board approval before go ahead.
"Idioms, Proverbs & Cultural Expressions",Monkey know which tree fi climb.
"Idioms, Proverbs & Cultural Expressions","When crab get claw, he tink he bad."
