Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Ya jk'opon te jme'tike ta k'inal yu'un ya sk'an jk'ulej.
Grammar Core (Sentence Structures & Tenses),Laj k'ot ta Ocosingo te winike sok la yil te muk'ul ch'ivit.
Grammar Core (Sentence Structures & Tenses),Ya xbaton ta paxial teme ay k'ak'alal lek.
Grammar Core (Sentence Structures & Tenses),Ma xk'anix swe'el te alale yu'un ch'in chamel ya ya'iy.
Grammar Core (Sentence Structures & Tenses),Ta pajel ya jts'ibaj jun ta sk'op Tseltal sok ta kastiya.
Grammar Core (Sentence Structures & Tenses),"Me la ayuk ja'wil, ya jk'an jnop lek te bats'il k'op."
Grammar Core (Sentence Structures & Tenses),Ay la spasel te naetik yu'un te winik-antsetik ta paraje.
Grammar Core (Sentence Structures & Tenses),Ya xnop te kereme teme ya yich' koltayel ta sna.
Grammar Core (Sentence Structures & Tenses),Ma la yich' pasel te a'tele yu'un mu la k'ot te j-abtelile.
Grammar Core (Sentence Structures & Tenses),"Tame sk'an awil, ya jk'eltik te ach' junetik ta ora ini."
Conversational Data (Real-Life Dialogues & Exchanges),"—Banti ya xbatat? —Ya xbaton ta ch'ivit, ya jk'an manel ich."
Conversational Data (Real-Life Dialogues & Exchanges),"—Lek ayat? —Lekon, wokol awot'an; ja' nax ya jk'an ats'amal."
Conversational Data (Real-Life Dialogues & Exchanges),"—Mi ay ya'tel ta pajel? —Ay, pero ya jk'ot ta patil."
Conversational Data (Real-Life Dialogues & Exchanges),—Binti ya awal ta sk'op Tseltal? —Ya kal: lek ya kil awilel.
Conversational Data (Real-Life Dialogues & Exchanges),"—K'usi ora ya xchol te bus? —Ta waxaklajuneb ora, teme ma xk'ex."
Conversational Data (Real-Life Dialogues & Exchanges),"—Ame ay awohlil ta sna? —Ay, jich ya jk'anojtik ya xwe'otik ta junax."
Conversational Data (Real-Life Dialogues & Exchanges),"—Ja' melel te la awal? —Melel, ja' yu'un la jk'el ta jjun."
Conversational Data (Real-Life Dialogues & Exchanges),"—Ya ak'an kape? —Ja', pero ch'in nax, yu'un ya xjul jch'ulel."
Conversational Data (Real-Life Dialogues & Exchanges),"—K'uxi ya xk'ot ta awo'tan te k'in? —Lek, ya jk'an j-il ta stojol jme'tik."
Conversational Data (Real-Life Dialogues & Exchanges),"—Ma me xch'ay awot'an; ya xch'ay ta be. —Wokol, ya jk'ax ta baluneb ora."
Code-Switching & Multilingualism,Ya jmandar te mensaje ta celular teme ya xk'ot ta internet.
Code-Switching & Multilingualism,Te maestroe la yal: suban la tarea ta plataforma ta lunes.
Code-Switching & Multilingualism,Ya jk'an descargar te archivo yu'un ta jts'ibaj ta Tseltal.
Code-Switching & Multilingualism,Mi puedes koltaybon ta configurar te teclado yu'un apostrofo?
Code-Switching & Multilingualism,Te doctorae la yal que ma sk'an juch' biluk ta jun k'ak'al.
Code-Switching & Multilingualism,Ta reunión la jk'opojtik ta Tseltal sok ta kastiya yu'un spisil ya sna'ik.
Code-Switching & Multilingualism,Ya xbaton ta oficina yu'un necesito firmar te contrato.
Code-Switching & Multilingualism,Te app ini ya skolta jnopel k'opetik ta bats'il k'op.
Code-Switching & Multilingualism,Ma la yich' abrir te link yu'un weak la internet.
Code-Switching & Multilingualism,Ya jshare te foto ta grupo teme ya awak' permiso.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Wokol awot'an, ya jk'an jpukujel te solicitud yu'un servicio ta k'inal ini."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Te pacientee ya ya'iy k'ux ta jol, ja' yu'un sk'an yich' ilbil ta ora."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ya yal te contratoe te stojol ya yich' tojol ta oxeb u.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Sk'an ya jts'ibajtik sbi te testigoetik ta jun legal.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Te sistemae ma xk'ot ta server yu'un ay k'exlal ta conexión.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ya jpukujtik te informe ta jefatura sok spisil datos lek ta ilel.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Me ma awu'unuk te permiso, ma xu' xk'axat ta zona restringida."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Te empresae ya sk'an stojol lek sok respeto ta spisil a'teletik.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ya k'anik cita ta hospital yu'un yich' pasel análisis ta sakubel k'inal.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Te manuale ya yal k'uxi ya yich' tsakel te máquina ma xch'ayuk.
"Idioms, Proverbs & Cultural Expressions",Ma xch'ay awot'an; te bijil k'op ya xch'ij ta patil.
"Idioms, Proverbs & Cultural Expressions",Junax ya xkuxlejotik teme junax ya jts'akel te k'abtik.
"Idioms, Proverbs & Cultural Expressions","Te k'op ma xch'ay ta ik', ya xch'ay ta awo'tan teme ma awich'oj ta muk'."
"Idioms, Proverbs & Cultural Expressions","Lekil kuxlejal ma xjul ta jun k'ak'al, ya xch'ij ta muk'ul paciencia."
"Idioms, Proverbs & Cultural Expressions","Tame ya apuk te sit te k'inal, ya awil te be ma'ba ay ta ilel."
"Idioms, Proverbs & Cultural Expressions","Te jme'tik k'inal ya sk'an respeto, yu'un ja' ya smil jkuxlejaltik."
"Idioms, Proverbs & Cultural Expressions",Ma xk'an pasel k'op ta sti' nax; sk'an ya yich' pasel ta k'ab.
"Idioms, Proverbs & Cultural Expressions","Tame ya xch'ay te be, ak'opoj sok te mach'a sna' te lum."
"Idioms, Proverbs & Cultural Expressions",Te ants-winiketik ya xch'ijik lek teme ay ich'el ta muk'.
"Idioms, Proverbs & Cultural Expressions",Ma xk'an muk'ul k'op teme ch'in nax te ya'iyel ta awo'tan.
Question-Answer Pairs (FAQ & Contextual Understanding),¿K'usi yu'un ya jnop Tseltal? Yu'un ya jk'an jk'opon lek sok jme' jtat.
Question-Answer Pairs (FAQ & Contextual Understanding),"¿Banti ay te biblioteca? Ay ta stojol parque, ta yantik lado te iglesia."
Question-Answer Pairs (FAQ & Contextual Understanding),¿Jayeb stojol te boleto? Stojol te boletoe waxaklajun peso ta ida.
Question-Answer Pairs (FAQ & Contextual Understanding),"¿Mi xu' ya jts'ibaj ta computadora? Xu', pero sk'an teclado sok letras Tseltal."
Question-Answer Pairs (FAQ & Contextual Understanding),¿K'usi ora ya xjam te oficina? Ya xjam ta baluneb ora ta sakubel k'inal.
Question-Answer Pairs (FAQ & Contextual Understanding),¿Binti lek ta pasel teme ay chamel? Lek ya xbat ta doctor sok ma xuch' posh.
Question-Answer Pairs (FAQ & Contextual Understanding),¿Mach'a ya skoltabon ta traducción? Te ajnopteswanej ya skolta teme ay tiempo.
Question-Answer Pairs (FAQ & Contextual Understanding),"¿Mi melel te noticia? Ma jna', sk'an ya jk'eltik ta fuente melel."
Question-Answer Pairs (FAQ & Contextual Understanding),"¿K'usi ya sk'an te modelo NLP? Sk'an datos lek, diverso, sok ma stoyoluk repetición."
Question-Answer Pairs (FAQ & Contextual Understanding),¿Banti ya xtal te k'in? Ya xtal ta comunidad teme ya sk'an te mayordomoe.
Commands & Instructions (Imperative Sentences),K'opon ta malel sok ma awak' uts'inel ta mach'a ch'ayem.
Commands & Instructions (Imperative Sentences),Ts'iba te abi ta jun sok ak' ta mesa.
Commands & Instructions (Imperative Sentences),K'el awil te be sok ma xbatat ta k'ixin ja'.
Commands & Instructions (Imperative Sentences),Ak'bon awokol te archivo ta CSV sok ma xch'ay te encabezado.
Commands & Instructions (Imperative Sentences),"Pas te a'tel ta ora ini, pero ich' ta muk' te instrucciones."
Commands & Instructions (Imperative Sentences),Jats' te puerta teme ya x-och te ik' ta na.
Commands & Instructions (Imperative Sentences),Ch'ujbin te medicina jich bit'il la yal te doctora.
Commands & Instructions (Imperative Sentences),Kolta te alal ta xcholel k'opetik ta sneel.
Commands & Instructions (Imperative Sentences),Mulan te datos sok ch'ujbin te privacidad yu'un te winik-antsetik.
Commands & Instructions (Imperative Sentences),K'ases te mensaje ta spisil grupo teme ja' melel.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",María López la k'ot ta Ocosingo ta 20 de mayo de 2026.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Te Universidad Intercultural de Chiapas ya spas taller ta Bachajón.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Pedro Gómez ya x-a'tej ta Hospital General de Yajalón.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Ta lunes 25 de mayo, te cooperativae Lekil Kuxlejal ya xch'ayel jun reunión."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Ana Hernández la sman kape ta Mercado de San Cristóbal de Las Casas.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Te Instituto Nacional de Lenguas Indígenas la spuk jun material ta Tseltal.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Juan Méndez sok Rosa Pérez ya xbatik ta Palenque ta domingo.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Ta comunidad Sibacá, te comitée ya sk'an apoyo ta Protección Civil."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Elena Ruiz la stsak vuelo ta Tuxtla Gutiérrez ta 14 de junio.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Te Ayuntamiento de Ocosingo ya spas registro ta plaza central.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Lek ya ka'iy awo'tan yu'un la akoltaon ta jts'ibajel.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ma lek ya ka'iy yu'un la xch'ay te jarchivo.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ch'in nax ya xkux ta ko'tan teme ya jk'el te k'inal sakub.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Muk'ul k'ux ta ko'tan yu'un ma la yich' ich'el ta muk' te jk'op.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ya jmulanoj te clase yu'un k'unk'un ya yal te ajnopteswanej.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ma jmulan te servicio yu'un jal ya xmalal te respuesta.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ay bayal sbuts' ta ko'tan teme ya xk'opoj te jbankilal.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Ma jna' k'usi ya kal, ja' nax neutral ya jk'el te situación."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ya xiwon ch'in yu'un ay k'opetik ma jna'ik ta stojol.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Muk'ul sk'inal ko'tan yu'un la jpas ta lek te proyecto.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ya jk'an jnop lek te Tseltal yu'un ya jk'opon sok jlumaltik.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Sk'an ta ko'tan ya jch'ij ta bats'il k'op yu'un ya jna' stojol.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ya jts'ibaj jun mensaje ta Tseltal ta stojol te j-amigoe.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ta stojol j-amigo ya kak' jun k'op ts'ibabil ta bats'il k'op.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Te alaletik ya xnopik k'opetik ach' ta sna nopjun.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ta sna nopjun ya yich'ik nopel te ach' k'opetik yu'un alaletik.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Ma xk'ot te internet, ja' yu'un ma xu' yich' awilel te video."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Yu'un ma ay señal, te videoe ma xjam ta celular."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ya sk'an ya jkoltaytik te jme'tik k'inal sok ma jch'aytik te ja'.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Sk'an ya kich'tik ta muk' te lum sok ya kanantaytik te ja'etik.
