Categories,Sentences
Grammar Core (Sentence Structures & Tenses),"Ma laɣ na tɔmɩye pɛyɛ, nɛ kɩlaɣ hɩzɩ yɔ."
Grammar Core (Sentence Structures & Tenses),"Ɛsɔ wɛlɛ mʋ kaɖaa la, kɛ mʋ tɩɣ nɛ pɩyɛ."
Grammar Core (Sentence Structures & Tenses),"Ŋkpɛzɩ tɔm na hɛlɩyɛ, pɩyɔ nɛ hɔlɔɔ yɔ."
Grammar Core (Sentence Structures & Tenses),"Tɔmɩyɔ paɖɩ nɛ kɛlɛzɩ tɔm kaɣ, tɔm pa kɛ nɩ."
Grammar Core (Sentence Structures & Tenses),"Nɛ ma kɔɔ na pɛlɛ la, ma ñaŋ nɛ kɩlɩm tɔ."
Grammar Core (Sentence Structures & Tenses),"Halɩma sɔɔ nɛ kɩyaʋ pɛyɛ, kɛ mʋ wɛlɛ sɩyaa."
Grammar Core (Sentence Structures & Tenses),"Pɩyɔ nɛ paɣɩ na kɛlɛ, kɛ yɔ mɔzɩ hɛlɩyɛ."
Grammar Core (Sentence Structures & Tenses),"Ma tɩyɛ nɛ kɛ kɔɔ, nɛ ma tɩzɩ pɩyɛ sʋm."
Grammar Core (Sentence Structures & Tenses),Kɔɣɔ kɛŋ na hɛlɩyɛ nɛ yɔ kaɖaa pɛyɛ.
Grammar Core (Sentence Structures & Tenses),"Nɛ pɩ tɩɣ na maɣɩzɩ la, hɛzɩ kɩlaɣ lɛ yɔ."
Conversational Data (Real-Life Dialogues & Exchanges),"— Alafia, ɛsɔ tɩyɛ? — Alafia, ma tɩyɛ sʋm, nɛ wɛ?"
Conversational Data (Real-Life Dialogues & Exchanges),"— Kpɛlɩm na ŋgbɛ? — Ma kɔɔ waŋ tɔ, nɛ ma zɩ taa."
Conversational Data (Real-Life Dialogues & Exchanges),"— Ɛyɛ tɔm nɛ? — Ɛyɛ, kɛ tɔm wɛlɛ kaɖaa."
Conversational Data (Real-Life Dialogues & Exchanges),"— Nɛ ñɔɔ kɛŋ yɔ? — Ñɔɔ kɛŋ na pɩyɔ tɔ, sʋm yɔ."
Conversational Data (Real-Life Dialogues & Exchanges),"— Ma nɛɛ wɛlɛ nɛ kɛ yɔ? — Ɛyɛ, tɔmɩyɔ pɩsɩ yɔ."
Conversational Data (Real-Life Dialogues & Exchanges),"— Pa kɛ tɩzɩ? — Ma tɩzɩ hɔlɔɔ, nɛ ma kɩlɩm."
Conversational Data (Real-Life Dialogues & Exchanges),"— Kɔɔ nɛ tɩya? — Kɔɔ na sɔɔ pɩyɛ, kɛ nɛ ma yɛ."
Conversational Data (Real-Life Dialogues & Exchanges),"— Wɛ ñaŋ na pɛlɛ? — Ɛyɛ, ma ñaŋ pɛlɛ sʋm."
Conversational Data (Real-Life Dialogues & Exchanges),"— Tɩyɛ pɩyɛ yɔ! — Aha, nɛ tɩyɛ nɔɔ."
Conversational Data (Real-Life Dialogues & Exchanges),"— Nɛɛ kaɖaa tɔ, yɛ? — Ɛyɛ, ma paɖɩ kɩlaɣ."
Code-Switching & Multilingualism,"Ma laɣ meeting pɛyɛ, nɛ agenda kɛŋ wɛlɛ sʋm."
Code-Switching & Multilingualism,"Ɛsɔ tɩyɛ ok, mais tɔm kɛŋ kaɖaa yɔ."
Code-Switching & Multilingualism,"Nɛ ma sendi message la, wɛ hɛlɩyɛ vite."
Code-Switching & Multilingualism,"Teacher kɛŋ paɖɩ devoir, nɛ pɩyɔ pɩsɩ classe tɔ."
Code-Switching & Multilingualism,Ma kɔɔ marché tɔ pour kɩwɛlɛ sɔɔ.
Code-Switching & Multilingualism,"Phone kɛŋ battery pɔɔ, nɛ ma charge hɩzɩ."
Code-Switching & Multilingualism,"Boss kɛŋ ñaŋ rapport, donc ma tɔmɩye kaɖaa."
Code-Switching & Multilingualism,"Nɛ internet wɛlɛ sʋm la, ma download fichier."
Code-Switching & Multilingualism,"Ma yɛ appointment nɛ docteur, kɛ health tɩyɛ sʋm."
Code-Switching & Multilingualism,"Projet kɛŋ deadline hɩzɩ, alors pɩ tɔm nɛ hɛlɩyɛ."
