Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Mi yustu go da skul wen mi mi lili.
Grammar Core (Sentence Structures & Tenses),Dem wa go fishin tumara ef di wedda klia.
Grammar Core (Sentence Structures & Tenses),"Wi neva didi waan go, bot wi had fi go."
Grammar Core (Sentence Structures & Tenses),Shi kuda du it ef shi mi gat di taim.
Grammar Core (Sentence Structures & Tenses),It wa bin did don alredi wen wi kom.
Grammar Core (Sentence Structures & Tenses),"Di buk de pan di table, noh pan di bed."
Grammar Core (Sentence Structures & Tenses),Ain noh goh if yu noh tell mi.
Grammar Core (Sentence Structures & Tenses),Di wata bin boilin wen wi reach.
Grammar Core (Sentence Structures & Tenses),"Ef yu wok haad, yu wa suksid."
Grammar Core (Sentence Structures & Tenses),Mi wa bin get chansa fi meet di presidén.
Conversational Data (Real-Life Dialogues & Exchanges),"Hey, weh yu de go?"
Conversational Data (Real-Life Dialogues & Exchanges),Mi de go da shop fi buy sohn rice.
Conversational Data (Real-Life Dialogues & Exchanges),Yu si mi key dem? Mi cyaan memba weh mi lef it.
Conversational Data (Real-Life Dialogues & Exchanges),Lemme tell yu wah happen yesideh.
Conversational Data (Real-Life Dialogues & Exchanges),Wi mi di talk bout di movie lasnait.
Conversational Data (Real-Life Dialogues & Exchanges),"Ayo, yu wan someting fi drink?"
Conversational Data (Real-Life Dialogues & Exchanges),"Mi glad yu reach, mi didi wait long."
Conversational Data (Real-Life Dialogues & Exchanges),"Cho, man! Dat wa real bad ting wah happen."
Conversational Data (Real-Life Dialogues & Exchanges),Yu done do yu wok yet?
Conversational Data (Real-Life Dialogues & Exchanges),Mi noh really shua bout dat one.
Code-Switching & Multilingualism,Mi mi di wok pan un proyecto pa di universidad.
Code-Switching & Multilingualism,"Mi se, yu ready fi go work, right?"
Code-Switching & Multilingualism,"Ayo, dis class start at 8 sharp!"
Code-Switching & Multilingualism,"Dem noh wan go da hospital, they seh dem feel okay."
Code-Switching & Multilingualism,"Man, mi gwen tek a nap before mi shift."
Code-Switching & Multilingualism,Yu hear di chune weh di DJ play?
Code-Switching & Multilingualism,Mi no get de ting weh dem wa seh.
Code-Switching & Multilingualism,"Di boss se ‘deadline es mañana’, so hurry."
Code-Switching & Multilingualism,"Dem seh wi wa late, bot wi wa on time."
Code-Switching & Multilingualism,Let’s meet pan di corna after work.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mi glad fi welcome unu to dis meetin dis maanin.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Di patient show sign of fever an persistent cough.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Please note dat all staff must attend di seminar.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mi de ya today fi discuss di legal implications.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",De contract stipulate se payment due monthly.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yu need fi submit di report by Friday.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Any complaint must be filed formally.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Wi wi evaluate di proposal by next week.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mi recommend dat we review di data again.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ensure dat all protocols are followed carefully.
"Idioms, Proverbs & Cultural Expressions",Noh wach di pot if yu noh plan fi eat.
"Idioms, Proverbs & Cultural Expressions","Tek yuh time, noh run goh mash up."
"Idioms, Proverbs & Cultural Expressions","Ef yuh waan honey, yu haffi face di bees."
"Idioms, Proverbs & Cultural Expressions","Wen rain fall, some get wet, some dance."
"Idioms, Proverbs & Cultural Expressions",Yu cyaan blow breeze an swalla smoke same time.
"Idioms, Proverbs & Cultural Expressions",Di crab noh teach di pikni how fi walk straight.
"Idioms, Proverbs & Cultural Expressions",Fire noh bun if no bush deh.
"Idioms, Proverbs & Cultural Expressions","Ef yu noh plan, yu plan fi fail."
"Idioms, Proverbs & Cultural Expressions",One han cyaan clap.
"Idioms, Proverbs & Cultural Expressions",Cow weh no bawl noh get fed.
Question-Answer Pairs (FAQ & Contextual Understanding),Weh yu born?
Question-Answer Pairs (FAQ & Contextual Understanding),How long it tek yu fi learn dis language?
Question-Answer Pairs (FAQ & Contextual Understanding),Who yu tink wa win di election?
Question-Answer Pairs (FAQ & Contextual Understanding),Yu ever been da Corn Island?
Question-Answer Pairs (FAQ & Contextual Understanding),Wen wi wa meet again?
Question-Answer Pairs (FAQ & Contextual Understanding),"Which one yu prefer, fish or pork?"
Question-Answer Pairs (FAQ & Contextual Understanding),How di wehda wa today?
Question-Answer Pairs (FAQ & Contextual Understanding),Weh di mayor seh bout di road?
Question-Answer Pairs (FAQ & Contextual Understanding),Wah yu tink bout di movie?
Question-Answer Pairs (FAQ & Contextual Understanding),Why yu no like dat restaurant?
Commands & Instructions (Imperative Sentences),"Go bring di wata, please."
Commands & Instructions (Imperative Sentences),Noh touch dat wire!
Commands & Instructions (Imperative Sentences),Tek off yu shoes before yu enter.
Commands & Instructions (Imperative Sentences),Tell dem fi wait outside.
Commands & Instructions (Imperative Sentences),Write yu name yah pon di paper.
Commands & Instructions (Imperative Sentences),Answer di phone now!
Commands & Instructions (Imperative Sentences),Finish di report by two o'clock.
Commands & Instructions (Imperative Sentences),Check di gas level inna di tank.
Commands & Instructions (Imperative Sentences),Pass mi di salt.
Commands & Instructions (Imperative Sentences),Close di do when yu lef.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mi fren Juanita live in Pearl Lagoon.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Wi wa go da Bluefields Market Saturday.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mister Brown seh he start work in 2005.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Likitara Clinic deh ya long time now.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Di president seh it inna di speech las week.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",BICU wa offer new class dis semester.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Di hurricane hit on October 10.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mi sista Tasha werk fi Ministry of Health.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Bluefields High School di celebrate anniversary.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Dem open new bridge ova Escondido River.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi happy fi si yu again!
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Dis food taste real good.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi noh like how dem treat di elders.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi heart bruk wen mi hear di news.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi proud a mi pikni achievement.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Dis wa di worst day fi mi.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi surprise dat yu memba mi birthday.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Dat movie mi wa watch wa real boring.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mi feel blessed fi be ya.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),It mek mi laugh out loud!
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi neva hear bout dat befo.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Dat news new to mi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi noh know notn bout dat.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi completely unaware a dat ting.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Dis di fuss time mi a hear dat.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi just hear bout it recently.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Somebody tell mi bout dat yesideh.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi mi jus find out bout dat now.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Mi mi no get di info til now.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Dis ting mi neva expect fi hear.
