Category,Sentence
Grammar Core,ذهبَ الطالبُ إلى المدرسةِ في الصباح.
Grammar Core,تقرأ الفتاةُ الكتابَ كلَّ مساء.
Grammar Core,سوف يسافرُ المعلمُ إلى تونس الأسبوع القادم.
Grammar Core,لو كنتَ مجتهداً، لنجحتَ في الامتحان.
Grammar Core,لم يخرجِ الطفلُ من البيتِ بسبب المطر.
Grammar Core,تمَّ بناءُ المستشفى في عام ٢٠٢٠.
Grammar Core,يشرحُ الأستاذُ الدرسَ بطريقةٍ بسيطةٍ.
Grammar Core,هل درستَ اللغةَ العربيةَ من قبل؟
Grammar Core,لن نذهبَ إلى السوقِ اليومَ.
Grammar Core,كان الطفلُ يضحكُ أثناءَ اللعب.
Conversational Data,مرحباً! كيف كان يومك؟
Conversational Data,بخير، وأنت؟
Conversational Data,هل تريد أن نشاهد فيلماً الليلة؟
Conversational Data,فكرة رائعة! ما رأيك في فيلم وثائقي؟
Conversational Data,أعتذر، لدي عملٌ مهم.
Conversational Data,لا بأس، نؤجلها إلى الغد.
Conversational Data,أين وضعتَ المفاتيح؟
Conversational Data,نسيتها في الحقيبة على الأرجح.
Conversational Data,حسناً، سأتفقد الأمر.
Conversational Data,شكراً لمساعدتك!
Code-Switching & Multilingualism,ذهبتُ إلى المول واشتريت شوز جديد.
Code-Switching & Multilingualism,هل تتابع المسلسل على Netflix؟
Code-Switching & Multilingualism,أمي قالت لي: 'Finish your homework أولاً'.
Code-Switching & Multilingualism,كان اللقاء على Zoom الساعة ٨.
Code-Switching & Multilingualism,سأرسل لك الlocation الآن.
Code-Switching & Multilingualism,نحن نحب السفر كثيراً، especially to Europe.
Code-Switching & Multilingualism,هو دايماً بيقول 'thank you' لكل شي.
Code-Switching & Multilingualism,Let's go to الكافيه ونشرب قهوة.
Code-Switching & Multilingualism,الدرس كان online today بسبب المطر.
Code-Switching & Multilingualism,هي دائماً تستخدم كلمات إنجليزية في حديثها.
Formal & Professional Speech,يرجى التأكد من تسليم التقارير قبل نهاية الأسبوع.
Formal & Professional Speech,تم عقد الاجتماع السنوي للشركة بحضور المدير التنفيذي.
Formal & Professional Speech,نقترح اتخاذ الإجراءات القانونية المناسبة فوراً.
Formal & Professional Speech,يرجى من جميع الموظفين الالتزام بالزي الرسمي.
Formal & Professional Speech,تم تشخيص المريض بارتفاع ضغط الدم المزمن.
Formal & Professional Speech,تشير النتائج إلى تحسن ملحوظ في الأداء الأكاديمي.
Formal & Professional Speech,يُطلب من الطبيب المختص مراجعة الحالة في أقرب وقت.
Formal & Professional Speech,تمت الموافقة على العرض التقني بعد مراجعته بدقة.
Formal & Professional Speech,ينعقد المؤتمر الدولي للتقنيات الطبية في دبي.
Formal & Professional Speech,نُشرت الدراسة في مجلة علمية محكّمة.
"Idioms, Proverbs & Cultural Expressions",الصبر مفتاح الفرج.
"Idioms, Proverbs & Cultural Expressions",اللي ما يعرفك يجهلك.
"Idioms, Proverbs & Cultural Expressions",درهم وقاية خير من قنطار علاج.
"Idioms, Proverbs & Cultural Expressions",على قد لحافك مد رجليك.
"Idioms, Proverbs & Cultural Expressions",رجع بخُفّي حنين.
"Idioms, Proverbs & Cultural Expressions",الجار قبل الدار.
"Idioms, Proverbs & Cultural Expressions",الكتاب يُقرأ من عنوانه.
"Idioms, Proverbs & Cultural Expressions",ليس كل ما يلمع ذهباً.
"Idioms, Proverbs & Cultural Expressions",يد واحدة لا تصفق.
