Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Vawiin zingah ka nu chuan chawhmeh tui tak a siam.
Grammar Core (Sentence Structures & Tenses),Nimin khan kan zirtirtu hnenah kan thil tih dan kan hrilh.
Grammar Core (Sentence Structures & Tenses),Naktukah ruah a sur loh chuan bazarah kan kal ang.
Grammar Core (Sentence Structures & Tenses),Ka zir chhunzawm zel chuan exam-ah ka hlawhtling thei ang.
Grammar Core (Sentence Structures & Tenses),Ka unaunu chu dam lo avangin sikulah a kal thei lo.
Grammar Core (Sentence Structures & Tenses),In thar chu kumina sak zawh a ni tawh.
Grammar Core (Sentence Structures & Tenses),Ka pa'n min ko lai khan ka lehkhabu ka chhiar mek.
Grammar Core (Sentence Structures & Tenses),Chaw ei zawhah chuan kan thian te nen inbiakna kan nei thin.
Grammar Core (Sentence Structures & Tenses),Hetiang hian hna i thawk chuan mi dangte pawh an hlim ang.
Grammar Core (Sentence Structures & Tenses),"Ka kal dawn lo va, mahse ka thil pek tur chu ka thawn ang."
Conversational Data (Real-Life Dialogues & Exchanges),"Engtin nge i awm? Ka dam e, nang chu engtin nge i awm?"
Conversational Data (Real-Life Dialogues & Exchanges),"Zanriah i ei tawh em? La ei lo, ka chhungte ka nghak a ni."
Conversational Data (Real-Life Dialogues & Exchanges),Vawiin chu khaw a nuam hle mai; kawng zawh tur kan nei em?
Conversational Data (Real-Life Dialogues & Exchanges),"I phone kha min pe thei ang em? Aw, minute khat chhung chauh ka mamawh."
Conversational Data (Real-Life Dialogues & Exchanges),"Ka rilru a buai deuh, i hnenah ka sawi duh a ni."
Conversational Data (Real-Life Dialogues & Exchanges),"Kan inkawmna chu darkar rukah tan ang, i lo thleng hma deuh rawh."
Conversational Data (Real-Life Dialogues & Exchanges),"Hei ka thil lei thar a ni, i duh chuan i en thei."
Conversational Data (Real-Life Dialogues & Exchanges),"Ka hming i hre reng em? Hre e, i hming chu Lalrinmawia a ni."
Conversational Data (Real-Life Dialogues & Exchanges),"Vawiin zanah kan thianpa birthday kan lawm dawn, i tel thei ang em?"
Conversational Data (Real-Life Dialogues & Exchanges),Ka lo kal hma chuan kawngah traffic a tam lutuk si.
Code-Switching & Multilingualism,"Meeting chu dar khat sharp-ah tan ang, late lo kal suh."
Code-Switching & Multilingualism,"Ka laptop battery a low lutuk, charger i nei em?"
Code-Switching & Multilingualism,Online class-ah attendance mark turin link kha click rawh.
Code-Switching & Multilingualism,"Doctor appointment ka book tawh, mahse confirmation message a la lo thleng."
Code-Switching & Multilingualism,Project deadline a hnai tawh avangin team kan work overtime ang.
Code-Switching & Multilingualism,"Bus stop-ah wait rawh, taxi rate chu a sang deuh si."
Code-Switching & Multilingualism,Ka email inbox-ah file attachment kha i send tawh em?
Code-Switching & Multilingualism,Restaurant-ah menu kan en hnu chuan chicken curry kan order ang.
Code-Switching & Multilingualism,Internet connection a slow avangin video call a chhe ta.
Code-Switching & Multilingualism,Exam result portal-ah login turin password thar ka reset a ngai.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kan company chuan thil man leh rawngbawlna tha zawk pek a tum.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Hemi thuthlung hi sign hmain a thu pawimawh zawng zawng chhiar chhuak rawh.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Damlo chuan damdawi hi chaw ei zawh hnuah ni tin vawi hnih a ei tur a ni.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Server humhalh nan password chak leh two-factor authentication hman a tha.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Office meeting chuan budget ruahmanna leh hna sem dan a thlir dawn.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Customer complaint chu zahawm taka ngaihthlak a, chinfel dan mumal pek tur a ni."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Legal notice hi ni sarih chhungin chhanna pek a ngai.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Data backup chu ni tin zanah automatic taka kalpui turin system kan siam.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Doctor-in test result a en hnuah damlo hnenah rawtna chiang tak a pe.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Invoice hi finance department hnenah thawn nghal theih nan PDF format-ah siam rawh.
"Idioms, Proverbs & Cultural Expressions",Thingpui no khat pawh hneh takin sem chuan inthenawm khawsak a nuam.
"Idioms, Proverbs & Cultural Expressions",Mihring fel chuan thu a sawi hmain a ngaihtuah phawt thin.
"Idioms, Proverbs & Cultural Expressions",Chaw ei lai pawhin upate zah chu Mizo nunphung pawimawh a ni.
"Idioms, Proverbs & Cultural Expressions","Raltiangah khawvel a awm tih hriaa, kan rilru chu zau takin kan siam tur a ni."
"Idioms, Proverbs & Cultural Expressions",Thil tha tih chu tui a luang angin a chhuak zel thin.
"Idioms, Proverbs & Cultural Expressions",Mi dang harsatna hmuh chuan kut inpharh mai hi tlawmngaihna a ni.
"Idioms, Proverbs & Cultural Expressions",Kan pi leh pute thu chu thlir dan fim tak min zirtir thin.
"Idioms, Proverbs & Cultural Expressions",Riahbuk a boral chuan khualzin chuan kawng a zawng thar leh thin.
"Idioms, Proverbs & Cultural Expressions","Hlimna chu sum tam lamah ni lo, inlungrualna lamah a awm zawk."
"Idioms, Proverbs & Cultural Expressions",Thu dik chu ni eng angin a inthup reng thei lo.
Question-Answer Pairs (FAQ & Contextual Understanding),Engvangin nge Mizo tawng zir a pawimawh? A chhan chu nunphung leh mihring inkar inbiakna a chhawm nung vang a ni.
Question-Answer Pairs (FAQ & Contextual Understanding),Aizawl khawpui chu eng nge a larna? Tlang ram mawina leh khawtlang nun inhnaih vangin a lar.
Question-Answer Pairs (FAQ & Contextual Understanding),Lehkhabu chhiar thin hi engtin nge tawng thiamna a tihpun? Thumal thar leh sentence kalphung min hrilh vangin a pui.
Question-Answer Pairs (FAQ & Contextual Understanding),Ruah sur lai chuan eng nge kan tih tur? Kawng a hleih theih avangin fimkhur taka kal tur a ni.
Question-Answer Pairs (FAQ & Contextual Understanding),"Mi pakhat a lungngai chuan engtin nge kan tanpui ang? Ngaihthlak sak a, thu thlamuan sawi hi a tangkai."
Question-Answer Pairs (FAQ & Contextual Understanding),"Online zirnaah eng thil nge mamawh ber? Internet tha, device fel, leh hun ruahmanna chiang a ngai."
Question-Answer Pairs (FAQ & Contextual Understanding),Chawhmeh tui siam tur chuan eng nge pawimawh? Thil tel tha leh tui taka chhum dan hriat a pawimawh.
Question-Answer Pairs (FAQ & Contextual Understanding),"Exam hma chuan engtin nge inbuatsaih tur? Hun remchang siam a, zirtirna pawimawh te ennawn tur a ni."
Question-Answer Pairs (FAQ & Contextual Understanding),"Hna zawngtu chuan CV-ah eng nge dah tur? Zirna, thiamna, hna tawh, leh contact information dah tur a ni."
Question-Answer Pairs (FAQ & Contextual Understanding),"Thil lei hmain eng zawhna nge zawh tur? Man, quality, guarantee, leh return policy zawh a tha."
Commands & Instructions (Imperative Sentences),Khawngaih takin kawngka kha khar rawh.
Commands & Instructions (Imperative Sentences),Document hi chhiar fel hnuah signature dah rawh.
Commands & Instructions (Imperative Sentences),Naute chu boral lo turin uluk taka en rawh.
Commands & Instructions (Imperative Sentences),Computer restart hmain file zawng zawng save rawh.
Commands & Instructions (Imperative Sentences),Meeting minute kha team zawng zawng hnenah thawn rawh.
Commands & Instructions (Imperative Sentences),Chaw ei hmain kut sil fai rawh.
Commands & Instructions (Imperative Sentences),Question zawh hmain instruction hi ngun takin chhiar rawh.
Commands & Instructions (Imperative Sentences),"Map en la, kawng dik zawh rawh."
Commands & Instructions (Imperative Sentences),Damlo hnenah aw ring takin thu sawi lo rawh.
Commands & Instructions (Imperative Sentences),Thil hlauhawm hmuh chuan police hnenah hriattir nghal rawh.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Pu Lalbiakzuala chuan 19 May 2026 khan Aizawl-ah seminar a kaihruai.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Zoram Medical College chu Falkawn khuaah a awm.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Mizoram University-a Department of Mizo chuan research workshop an buatsaih.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Lalremruati-i chanchinbu article chu Vanglaini-ah ni Thawhlehni khan chhuak.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Champhai atangin Zokhawthar lamah kan zin ni 12 June 2026-ah kan tan ang.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Aizawl Municipal Corporation chuan Bawngkawn area-ah faina campaign a kalpui.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Serchhip District Hospital-ah Dr. Hmingthansanga chuan damlo a en.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Lengpui Airport-ah Kolkata atanga flight chu zan dar ruk leh chanve-ah a thleng.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Synod Conference Centre-ah youth programme chu Pathianni chawhnuah neih a ni.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Lunglei khawpui atanga Lawngtlai pan tur bus chu zing dar pariat-ah a chhuak.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"He restaurant-a chawhmeh chu tui lutuk a, ka lawm hle."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Service a tlai em avangin ka thinrim ta.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Vawiin khaw boruak nuam hian rilru min ti hlim.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Ka order lo thleng mai loh avangin ka beidawng.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"He app hi hman a awlsam a, ka duh khawp mai."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Receipt-a man dik lo hmuh khan ka ngaihnawm lo hle.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Zirtirtu thuhril chu chiang tak a, ka hriatthiam nghal."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Hospital-a queue rei lutuk chu mi a ti hah.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Kan team-in hna tha tak an thawh avangin ka chhuang.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Film tawpna kha ka rin ang lo va, ka rilru a na deuh."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Ka nuin chawhmeh tui tak a siam a, chhungte zawng zawng kan lawm."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Chhungte zawng zawng kan lawm hle, ka nu chawhmeh siam kha a tui si."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Sikul kal hmain ka lehkhabu leh pen ka check vek thin.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ka lehkhabu leh pen ka en fel hnuah chauh sikul lamah ka kal thin.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Ruah a sur nasa avangin kan zin chu kan titawp rih.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kan zin tur chu ruah sur nasat vangin hun dangah kan sawn ta.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Customer-in zawhna a zawh chuan chhanna kim leh zahawm pek tur a ni.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Zawhna rawn zawttu hnenah chhanna kim, chiang, leh zahawm taka pek a ngai."
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Internet a chhe avangin video lecture ka en zo thei lo.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),"Video lecture kha ka en zawh hman lo, internet connection a chhiat vang a ni."
