Categories,Sentences
Grammar Core (Sentence Structures & Tenses),"हम रोज बिहान खेत जाए हिअइ, बाकिर काल्हि बरखा पड़ल त घरहीं रुक गेलिअइ।"
Grammar Core (Sentence Structures & Tenses),"सीमा किताब पढ़ रहल हे, ओकर भाई चुपचाप चित्र बना रहल हे।"
Grammar Core (Sentence Structures & Tenses),तोहरा समय मिलतई त हमनी संझा में परियोजना पर बात करबइ।
Grammar Core (Sentence Structures & Tenses),"गाँव के पुल बन गेलो हल, त बाजार जाए में आधा घंटा कम लगलइ।"
Grammar Core (Sentence Structures & Tenses),ई चिठ्ठी मुखिया जी के द्वारा पंचायत भवन में पढ़ल गेलइ।
Grammar Core (Sentence Structures & Tenses),"हम न दूध पीबइ, न चाय; आज खाली नींबू पानी चाही।"
Grammar Core (Sentence Structures & Tenses),"अगर तू पहिले बतइते, त हम टिकट बुक करा देतिअइ।"
Grammar Core (Sentence Structures & Tenses),"मजदूर लोग धान काट चुकलथिन, अब ओहनी पुआल बाँध रहलथिन।"
Grammar Core (Sentence Structures & Tenses),"कुकुर दरवाजा पर भौंक रहल हल, लेकिन बच्चा लोग डर न लगलइ।"
Grammar Core (Sentence Structures & Tenses),"जे विद्यार्थी मेहनत करै हथिन, ओहनी परीक्षा में अच्छा अंक पावै हथिन।"
Conversational Data (Real-Life Dialogues & Exchanges),"अजय: तोहर दिन कइसन बीतल? रानी: बढ़िया, आज स्कूल में नया पाठ समझ में आ गेल।"
Conversational Data (Real-Life Dialogues & Exchanges),"माँ: बाजार से नमक ले अइहऽ। बेटा: ठीक हे, रास्ता में मोबाइल रिचार्जो करा देबइ।"
Conversational Data (Real-Life Dialogues & Exchanges),दुकानदार: का चाही भइया? ग्राहक: आधा किलो चना आ दू गो साबुन दे दीं।
Conversational Data (Real-Life Dialogues & Exchanges),"रीना: तू कल्हु बैठक में आ रहलऽ हे? पूजा: हँ, लेकिन थोड़ा देर से पहुँचबइ।"
Conversational Data (Real-Life Dialogues & Exchanges),"दादा: रेडियो धीमे करऽ, खबर सुन रहलिअइ। पोता: अच्छा दादा, अब आवाज कम कर देलिअइ।"
Conversational Data (Real-Life Dialogues & Exchanges),"मित्र: चलऽ फल्गु किनारे टहल आवी। दूसरा: चलऽ, संझा के हवा बहुत नीक लगै हे।"
Conversational Data (Real-Life Dialogues & Exchanges),"शिक्षक: उत्तर पूरा लिखलऽ? छात्र: हाँ सर, आखिरी सवाल में उदाहरणो जोड़ देलिअइ।"
Conversational Data (Real-Life Dialogues & Exchanges),"पड़ोसी: घर में सब ठीक हे न? महिला: हाँ, बस छोटका के हल्का बुखार हे।"
Conversational Data (Real-Life Dialogues & Exchanges),"काका: ट्रेन कब पकड़बऽ? भतीजा: रात दस बजे वाली, टिकट पहिले से कटा लेलिअइ।"
Conversational Data (Real-Life Dialogues & Exchanges),"नेहा: ई पकौड़ी गरम हे? विक्रेता: अभी-अभी कढ़ाही से निकसल हे, चख के देखीं।"
Code-Switching & Multilingualism,"आज मीटिंग के बाद हम रिपोर्ट सेव कर देबइ, फेर घर जाएबइ।"
Code-Switching & Multilingualism,"तोहर फोन साइलेंट पर हे, इसलिए मम्मी के कॉल मिस हो गेलइ।"
Code-Switching & Multilingualism,बच्चा लोग होमवर्क पूरा करके क्रिकेट खेले निकल गेलथिन।
Code-Switching & Multilingualism,ऑनलाइन फार्म भरते समय आधार नंबर साफ-साफ टाइप करऽ।
Code-Switching & Multilingualism,"सर, ई फाइल डाउनलोड न हो रहल हे, नेटवर्क स्लो लगै हे।"
Code-Switching & Multilingualism,हमनी लोकल ट्रेन से पटना जाएबइ आ उहां से बस पकड़बइ।
Code-Switching & Multilingualism,"कृपया पासवर्ड शेयर मत करऽ, अकाउंट सेफ रखे के जरूरत हे।"
Code-Switching & Multilingualism,"नया ऐप में मगही कीबोर्ड ठीक से काम कर रहल हे कि न, टेस्ट करऽ।"
Code-Switching & Multilingualism,"आज ऑफिस में डेडलाइन टाइट हे, त लंच छोट कर देबइ।"
Code-Switching & Multilingualism,गया कॉलेज के सेमिनार में रिसर्च पेपर पर अच्छा डिस्कशन भेलइ।
"Formal & Professional Speech (Business, Legal, Medical, Technical)","आदरणीय महोदय, कृपया संलग्न प्रस्ताव पर अपन स्वीकृति प्रदान करऽ।"
"Formal & Professional Speech (Business, Legal, Medical, Technical)","रोगी के रक्तचाप सामान्य हे, लेकिन तीन दिन तक दवा नियमित लेवे के सलाह देल जाए।"
"Formal & Professional Speech (Business, Legal, Medical, Technical)",अनुबंध के धारा पाँच के अनुसार भुगतान पंद्रह दिन के भीतर कइल जायत।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",कंपनी अगिला तिमाही में ग्राहक सहायता सेवा के मगही में विस्तार करतई।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",तकनीकी दल सर्वर के सुरक्षा जाँच पूरा करके रिपोर्ट प्रबंधन के सौंपलक।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",कृपया बैठक के कार्यवृत्त सभे सदस्य के ईमेल से भेज देल जाए।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",न्यायालय में प्रस्तुत दस्तावेज पर आवेदक के हस्ताक्षर स्पष्ट रूप से मौजूद हे।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",डॉक्टर कहलकथिन कि पानी उबाल के पीअऽ आ मसालेदार भोजन से परहेज करऽ।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",बैंक प्रतिनिधि खाता खोलला से पहिले पहचान प्रमाण के सत्यापन करतथिन।
"Formal & Professional Speech (Business, Legal, Medical, Technical)",विद्यालय प्रशासन अभिभावक लोग से समय पर शुल्क जमा करे के विनम्र अनुरोध करै हे।
"Idioms, Proverbs & Cultural Expressions","जब तक लोहार के हथौड़ा न बजै, लोहा आकार न लेवै।"
"Idioms, Proverbs & Cultural Expressions","खाली घड़ा बेसी आवाज करै हे, ज्ञानी आदमी कम बोलै हे।"
"Idioms, Proverbs & Cultural Expressions","जेतना चादर हो, ओतने गोड़ पसारल चाही।"
"Idioms, Proverbs & Cultural Expressions",देर से आयल बरखा भी सुखाइल खेत के जान दे दे हे।
"Idioms, Proverbs & Cultural Expressions",दू नाव पर पैर रखबऽ त नदी पार न हो सकबऽ।
"Idioms, Proverbs & Cultural Expressions",जेकर लाठी ओकर भैंस कहे से न्याय न हो जाए।
"Idioms, Proverbs & Cultural Expressions","बिन मेहनत के भात न पकै, सपना से पेट न भरै।"
"Idioms, Proverbs & Cultural Expressions",घर के बात बाहर जाए त आँगन के धूलो तूफान बन जा हे।
"Idioms, Proverbs & Cultural Expressions","नेकी करऽ आ फल्गु में डालऽ, नाम अपने-आप बचल रहतई।"
"Idioms, Proverbs & Cultural Expressions",साँप निकल गेल तब लाठी पीटला से का फायदा?
Question-Answer Pairs (FAQ & Contextual Understanding),"प्रश्न: गया जंक्शन से विष्णुपद मंदिर कइसे जाइल जा सकै हे? उत्तर: ऑटो, ई-रिक्शा या टैक्सी से आसानी से पहुँचल जा सकै हे।"
Question-Answer Pairs (FAQ & Contextual Understanding),प्रश्न: मगही में धन्यवाद कइसे कहल जा हे? उत्तर: आम तौर पर 'धन्यवाद' या अपनापन से 'बड़ उपकार' कहल जा हे।
Question-Answer Pairs (FAQ & Contextual Understanding),प्रश्न: परीक्षा के तैयारी कब शुरू करे के चाही? उत्तर: रोज थोड़ा-थोड़ा पढ़ला से आखिरी दिन के दबाव कम हो जा हे।
Question-Answer Pairs (FAQ & Contextual Understanding),"प्रश्न: बरखा में खेत जोते के सही समय कब हे? उत्तर: जब माटी न बहुत सूखल रहे न बहुत चिपचिप, तब जोताई नीक होवे हे।"
Question-Answer Pairs (FAQ & Contextual Understanding),"प्रश्न: बच्चा के कहानी सुनावे से का लाभ हे? उत्तर: ओकर शब्द भंडार, ध्यान आ कल्पना शक्ति बढ़ै हे।"
Question-Answer Pairs (FAQ & Contextual Understanding),प्रश्न: पंचायत भवन कहाँ हे? उत्तर: स्कूल के बगल वाली पक्की सड़क से आगे मुड़ला पर बायाँ ओर हे।
Question-Answer Pairs (FAQ & Contextual Understanding),"प्रश्न: ऑनलाइन भुगतान सुरक्षित कइसे रखल जाए? उत्तर: ओटीपी, पासवर्ड आ बैंक विवरण अजनबी से साझा न करऽ।"
Question-Answer Pairs (FAQ & Contextual Understanding),"प्रश्न: ई दवा खाना से पहिले लेवे के हे कि बाद में? उत्तर: पर्ची पर लिखल निर्देश देखऽ, आ संदेह हो त डॉक्टर से पूछऽ।"
Question-Answer Pairs (FAQ & Contextual Understanding),प्रश्न: मगही सीखला में सबसे कठिन बात का लगै हे? उत्तर: क्रिया के रूप आ सम्मानसूचक संबोधन पर ध्यान देवे के पड़ै हे।
Question-Answer Pairs (FAQ & Contextual Understanding),प्रश्न: बैठक में देर हो जाए त का करे के चाही? उत्तर: पहिले सूचना देऽ आ पहुँच के विनम्रता से माफी मांगऽ।
