Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Me kɔɔ sukuu anɔpa no.
Grammar Core (Sentence Structures & Tenses),Ɔrekɔtɔ nsuo wɔ ɔdan no mu.
Grammar Core (Sentence Structures & Tenses),Mɛyɛ adwuma no ɛkyɛre anɔpa.
Grammar Core (Sentence Structures & Tenses),"Sɛ ɛba a, mɛka nokware no."
Grammar Core (Sentence Structures & Tenses),Wɔyɛɛ no adwuma no ansa na ɔkɔe.
Grammar Core (Sentence Structures & Tenses),Merenyɛ no bio da.
Grammar Core (Sentence Structures & Tenses),Ɛyɛɛ dɛn na wopɛ sɛ meyɛ no?
Grammar Core (Sentence Structures & Tenses),Ɔde n'adwene nyinaa sii ho.
Grammar Core (Sentence Structures & Tenses),Wɔde asɛm no yɛɛ mpɔtam hɔ adwene.
Grammar Core (Sentence Structures & Tenses),Me ho yɛ fɛ sɛ meyɛ no yie.
Conversational Data (Real-Life Dialogues & Exchanges),"Akwabaa, wo ho te sɛn anɔpa yi?"
Conversational Data (Real-Life Dialogues & Exchanges),"Me ho yɛ me, na wo nso ɛ?"
Conversational Data (Real-Life Dialogues & Exchanges),Ɛyɛ den paa sɛ yɛnya taxi wɔ ha.
Conversational Data (Real-Life Dialogues & Exchanges),Wopɛ sɛ yɛkɔ dan no anɔpa anaa awia?
Conversational Data (Real-Life Dialogues & Exchanges),Ɛyɛ nokware sɛ ɔbɛba anɔpa?
Conversational Data (Real-Life Dialogues & Exchanges),"Ɛ, na mehunuu no wɔ adidibea no."
Conversational Data (Real-Life Dialogues & Exchanges),Wopɛ sɛ yɛbɛdi banku anaa fufu anɔpa yi?
Conversational Data (Real-Life Dialogues & Exchanges),"Ɛyɛ yie, mede m’ade bɛka ho."
Conversational Data (Real-Life Dialogues & Exchanges),"Yɛbɛhyia bio ɔkyena, anaa?"
Conversational Data (Real-Life Dialogues & Exchanges),"Ɛnneɛ, yɛda ho adi sɛ wɔn nyinaa bɛba."
Code-Switching & Multilingualism,"Me nni problem koraa, everything is okay."
Code-Switching & Multilingualism,"Ɛyɛ weekend nti, yɛbɛ chill small."
Code-Switching & Multilingualism,Ɛnɛ meeting no yɛ formal paa o.
Code-Switching & Multilingualism,Me pɛ sɛ me apply for the job tomorrow.
Code-Switching & Multilingualism,Ɛyɛ normal sɛ yɛde English ka mu small.
Code-Switching & Multilingualism,Mekɔ check results no later.
Code-Switching & Multilingualism,"Ɛbɛyɛ fine, don’t worry."
Code-Switching & Multilingualism,Wopɛ sɛ yɛ plan the trip now anaa?
Code-Switching & Multilingualism,Ɛyɛ good idea paa.
Code-Switching & Multilingualism,Ɔno na ɔmake the decision no.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yɛda mo ase sɛ moaba afahyɛ kɛse yi mu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Sɛ wopɛ nkɔsoɔ a, ɛsɛ sɛ wokɔso na wosua da biara."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Abɔdin no gyina hɔ ma ɔman no din ne ahotoso.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nsɛm a yɛreka yi yɛ nea ɛsɛ sɛ ɛkɔtɔ aboa mu yie.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ɛsɛ sɛ wopɛ ahotoso ansa na wode adwuma no ma.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ɔmanfoɔ no pɛ asomdwoe ne nkwagyeɛ wɔ wɔn man mu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yɛn dɔkita ka kyerɛɛ yɛn sɛ yɛn ho te yie koraa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nkabom yɛ mframa a ɛma nkɔsoɔ hyɛ nkuran.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Sɛ wopɛ sɛ wunya nkɔsoɔ a, yɛ adwuma den."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nokwaredi yɛ ɔsom a ɛsɛ sɛ obiara di so.
"Idioms, Proverbs & Cultural Expressions","Wɔse, sika yɛ aboa a ɔte fie a ɔkyere ne ho."
"Idioms, Proverbs & Cultural Expressions",Ɔbrɛ ne adwuma yɛ ɔdehyeɛ ahyɛase.
"Idioms, Proverbs & Cultural Expressions","Ɔkɔtɔ nwo anomaa, nanso ɔde ne ho bɔ ho ban."
"Idioms, Proverbs & Cultural Expressions",Wɔntena nkɔmɔ da nsu mu nanso wotwe mframa.
"Idioms, Proverbs & Cultural Expressions","Nsuo nni nan, nanso ɛkɔ baabiara."
"Idioms, Proverbs & Cultural Expressions",Abofra bo a ɔnkyerɛ no yɛ ne tirim nanso ɔde to ɔhene ho.
"Idioms, Proverbs & Cultural Expressions","Anoma antu a, ɔbɛda."
"Idioms, Proverbs & Cultural Expressions","Sɛ aboa bi wu a, n’akofoɔ yɛ no da."
"Idioms, Proverbs & Cultural Expressions",Ɛsono sɛnea obi di ne ho dwuma.
"Idioms, Proverbs & Cultural Expressions","Ɔkae sɛ, ‘sɛ wopɛ sɛ wuhu ɔpɔnkɔ no, tie ne kɔkɔ.’"
Question-Answer Pairs (FAQ & Contextual Understanding),Hena na ɔyɛ aboa no wura? — Ɔyɛ Kofi.
Question-Answer Pairs (FAQ & Contextual Understanding),Ɛhe na wotuu kwan no so? — Mefii Kumasi.
Question-Answer Pairs (FAQ & Contextual Understanding),Dɛn nti na wopɛ sɛ wokɔ hɔ? — Sɛnea ɛbɛboa me adwuma.
Question-Answer Pairs (FAQ & Contextual Understanding),Wɔyɛɛ dɛn na wuhu no? — Ɔbaa me fie anɔpa no.
Question-Answer Pairs (FAQ & Contextual Understanding),Ɛhe na wubetumi ahu dɔkita? — Wɔ ɛdan a ɛda abɔnten so no.
Question-Answer Pairs (FAQ & Contextual Understanding),Ɛdɛn na ɛyɛ wo happy? — Sɛ m’adwuma no kɔ yie.
Question-Answer Pairs (FAQ & Contextual Understanding),Ɛhe na yɛbɛyɛ meeting no? — Wɔ ɔmantam fie.
Question-Answer Pairs (FAQ & Contextual Understanding),Wɔde sika no yɛɛ dɛn? — Yɛde tɔɔ nkuto.
Question-Answer Pairs (FAQ & Contextual Understanding),Hena na ɔhyɛɛ wo nkuran? — Me nua panyin.
Question-Answer Pairs (FAQ & Contextual Understanding),Ɛhe na ɛbɛyɛ sɛn anɔpa yi? — Ɛbɛyɛ fine.
Commands & Instructions (Imperative Sentences),Fa adaka no bɛma me.
Commands & Instructions (Imperative Sentences),Kɔtɔ nsuo no ansa na woadi.
