Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Mɛkɛ shika lɛ baa ha noɔ ni afii lɛ ba.
Grammar Core (Sentence Structures & Tenses),Nɔ ni eba nɔŋŋ efee gbɛjianɔ loo kɛji anaa lɛ.
Grammar Core (Sentence Structures & Tenses),Wɔle nii lɛ akɛ awɔɔ mli kɛ okplɔŋ mli yɛ shia lɛ.
Grammar Core (Sentence Structures & Tenses),"Etsɔɔ sane lɛ anɔɔwalɛ mli, koni amɛkɛ nyɛ amli aahu."
Grammar Core (Sentence Structures & Tenses),"Mibi no lɛ noko, shi eŋmɛ hewalɛ ni eha mimli sane ko."
Grammar Core (Sentence Structures & Tenses),"Atsɛ gbɛ lɛ nii nyɛɛ amɛ, ni akɛ amɛba nɔ mli sane lɛ."
Grammar Core (Sentence Structures & Tenses),"Kɛji oba ɔkpɔŋ lɛ, mɛbaatsɔɔ bo gbɛ ni otsɔɔ ji akɛ."
Grammar Core (Sentence Structures & Tenses),"Miŋmɛ afɔɔlɔ lɛ yɛ gbɛ lɛ nɔ, shi mɛbaafee lɛ nyɛɛŋ."
Grammar Core (Sentence Structures & Tenses),Wɔbɛkɛ nɔkwɛmɔ lɛ baa yɛ sane lɛ mli koni amɛhɔ nɔ.
Grammar Core (Sentence Structures & Tenses),"Efee gbɛjianɔ lɛ jogbaŋŋ, ni amɛtsɔɔ lɛ akɛ nɔ lɛ tsɔɔ."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Bo ni? B: Mi ho yɛ fɛɛo, shi lɛɛbi lɛ miŋmɛ hewalɛ pii."
Conversational Data (Real-Life Dialogues & Exchanges),A: Oyaa makɛ? B: Mɛyaa tɛŋ lɛ mli kɛ miyaahe nɔ ko.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Osumɔɔ akɛ wɔhɔɔ kɛ lɛɛ? B: Yoo, shi wɔhɔɔ ntsɔɔ yɛ nɔŋŋ."
Conversational Data (Real-Life Dialogues & Exchanges),A: Mɛni efee akɛ onaa haŋŋ? B: Shia lɛ mli nii pii ba mihe.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Obaa gbɛjianɔ lɛ nɔ yɛ? B: Mɛba, shi mɛbɔɔ bo sane ansa."
Conversational Data (Real-Life Dialogues & Exchanges),A: Nɔ ko hiɔ mi. B: Tsɔɔ mi ni mɛboa bo kɛji miŋmɛ nyɛ.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Wɔmi yɛ taaŋ? B: Wɔmi yɛ taaŋ, shi wɔhia shi yɛ niŋmaa lɛ nɔ."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Mɛkɛ wolo lɛ baa? B: Kɛ lɛ ba, efata ni okane lɛ."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Obu ni amɛtsɔɔ lɛ? B: Mi bu lɛ, shi mihia nilee foforɔ."
