Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Ez dınewım.
Grammar Core (Sentence Structures & Tenses),Tu dınewi.
Grammar Core (Sentence Structures & Tenses),Ew dıne.
Grammar Core (Sentence Structures & Tenses),Ez dınewêra.
Grammar Core (Sentence Structures & Tenses),Ez nedınewım.
Grammar Core (Sentence Structures & Tenses),Ew rê dıne.
Grammar Core (Sentence Structures & Tenses),Ez dınewışê.
Grammar Core (Sentence Structures & Tenses),Ma tu dınewi?
Grammar Core (Sentence Structures & Tenses),Ez dınewım u tu dınewi.
Grammar Core (Sentence Structures & Tenses),Ez hewce dınewım.
Conversational Data (Real-Life Dialogues & Exchanges),"Slav, tu çıkiya?"
Conversational Data (Real-Life Dialogues & Exchanges),"Ez başım, tu çıkiya?"
Conversational Data (Real-Life Dialogues & Exchanges),Ma tu qetêra?
Conversational Data (Real-Life Dialogues & Exchanges),"Ez ro çıke, tu wıra bımine."
Conversational Data (Real-Life Dialogues & Exchanges),Ez yew got bımê.
Conversational Data (Real-Life Dialogues & Exchanges),"Tu rê zanê, ma wexta çêne?"
Conversational Data (Real-Life Dialogues & Exchanges),Ez qeseyê keyefê kena.
Conversational Data (Real-Life Dialogues & Exchanges),Ez wextê mı dest pê keno.
Conversational Data (Real-Life Dialogues & Exchanges),Ez ra hewa bım.
Conversational Data (Real-Life Dialogues & Exchanges),"Tu rê got, ez ma çı bım?"
Code-Switching & Multilingualism,"Ez ra bazar me, sonra marketa gitti."
Code-Switching & Multilingualism,Tu ez zanê 'yes' vıra 'ey' ya?
Code-Switching & Multilingualism,"Ez no telefono, le ew telefon kerd."
Code-Switching & Multilingualism,Ma tu doctor rê 'randevu' gırd?
Code-Switching & Multilingualism,Ew 'meeting' de wasenê.
Code-Switching & Multilingualism,Ma tu bîra 'birthday' de vıra 'rojbûna' vıraşê?
Code-Switching & Multilingualism,Ez 'deadline' rê na zanım.
Code-Switching & Multilingualism,"Ez Türkçe rê 'tamam', Zazakî rê 'ey' kelem."
Code-Switching & Multilingualism,"Ma tu English rê 'hello', Zazakî rê 'slav' zanê?"
Code-Switching & Multilingualism,Tu şıma 'workshop' rê şıma bıbine?
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ez ra doktor rê müraacat kerd.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ez yew rapor binusê.
