Category,Sentence
Grammar Core (Sentence Structures & Tenses),Yo comía en casa cuando él llegó.
Grammar Core (Sentence Structures & Tenses),Mañana viajaré a la capital.
Grammar Core (Sentence Structures & Tenses),"Si tuviera dinero, compraría una casa."
Grammar Core (Sentence Structures & Tenses),El café fue servido por el mesero.
Grammar Core (Sentence Structures & Tenses),Nosotros habíamos terminado el trabajo antes del almuerzo.
Grammar Core (Sentence Structures & Tenses),Ellos estarán jugando fútbol a las tres.
Grammar Core (Sentence Structures & Tenses),Tú no deberías decir esas cosas.
Grammar Core (Sentence Structures & Tenses),¿Has estudiado para el examen de mañana?
Grammar Core (Sentence Structures & Tenses),No creo que ellos vengan hoy.
Grammar Core (Sentence Structures & Tenses),Ayer llovió toda la noche.
Conversational Data (Real-Life Dialogues & Exchanges),¡Hola! ¿Cómo has estado?
Conversational Data (Real-Life Dialogues & Exchanges),"Voy al mercado, ¿quieres que te traiga algo?"
Conversational Data (Real-Life Dialogues & Exchanges),"Disculpa, ¿a qué hora cierra esta tienda?"
Conversational Data (Real-Life Dialogues & Exchanges),¿Puedes ayudarme con esta tarea?
Conversational Data (Real-Life Dialogues & Exchanges),¿Dónde queda la estación de autobuses?
Conversational Data (Real-Life Dialogues & Exchanges),¿Cuánto cuesta este producto?
Conversational Data (Real-Life Dialogues & Exchanges),¡Felicidades por tu nuevo trabajo!
Conversational Data (Real-Life Dialogues & Exchanges),No me siento bien hoy.
Conversational Data (Real-Life Dialogues & Exchanges),¿Vamos al cine esta noche?
Conversational Data (Real-Life Dialogues & Exchanges),¡Qué bonito está el clima hoy!
Code-Switching & Multilingualism,"Mirá, el party empieza a las ocho."
Code-Switching & Multilingualism,Vamos a hacer el homework después.
Code-Switching & Multilingualism,No entiendo por qué estás tan chill hoy.
Code-Switching & Multilingualism,Está en el mall con sus amigos.
Code-Switching & Multilingualism,"La movie estuvo buenísima, tenés que verla."
Code-Switching & Multilingualism,Voy a comprar un ticket para el concierto.
Code-Switching & Multilingualism,¿Ya viste el nuevo update de la app?
Code-Switching & Multilingualism,Mi jefe es full exigente.
Code-Switching & Multilingualism,"Ese restaurante es top, te lo recomiendo."
Code-Switching & Multilingualism,"Después del gym, vamos por un café."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Se requiere documentación completa para el trámite bancario.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",El paciente presenta síntomas de fiebre y dolor de cabeza.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",En la junta discutiremos los objetivos del trimestre.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",El contrato debe ser firmado antes del cierre del mes.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",El diagnóstico indica una leve inflamación en el tobillo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Por favor, envíe el informe antes del viernes."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",La empresa lanzará un nuevo producto este año.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",La ley establece regulaciones claras sobre el tema.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Estimados clientes, les informamos que el servicio se actualizará."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",El médico recomendó descanso absoluto.
"Idioms, Proverbs & Cultural Expressions",Más vale tarde que nunca.
"Idioms, Proverbs & Cultural Expressions",A caballo regalado no se le mira el colmillo.
"Idioms, Proverbs & Cultural Expressions","El que madruga, Dios lo ayuda."
"Idioms, Proverbs & Cultural Expressions",No hay mal que por bien no venga.
"Idioms, Proverbs & Cultural Expressions","A donde fueres, haz lo que vieres."
"Idioms, Proverbs & Cultural Expressions","El que mucho abarca, poco aprieta."
"Idioms, Proverbs & Cultural Expressions",Del dicho al hecho hay mucho trecho.
"Idioms, Proverbs & Cultural Expressions",Perro que ladra no muerde.
"Idioms, Proverbs & Cultural Expressions","Ojos que no ven, corazón que no siente."
"Idioms, Proverbs & Cultural Expressions",Zapatero a su zapato.
Question-Answer Pairs (FAQ & Contextual Understanding),¿Cuál es el horario de atención al cliente?
Question-Answer Pairs (FAQ & Contextual Understanding),¿Dónde puedo encontrar un cajero automático?
Question-Answer Pairs (FAQ & Contextual Understanding),¿Cuántos idiomas hablas?
Question-Answer Pairs (FAQ & Contextual Understanding),¿Podrías explicarme cómo funciona esto?
Question-Answer Pairs (FAQ & Contextual Understanding),¿Cuál es la mejor forma de llegar a la universidad?
Question-Answer Pairs (FAQ & Contextual Understanding),¿Qué opinas sobre la educación en línea?
Question-Answer Pairs (FAQ & Contextual Understanding),¿Dónde nació Simón Bolívar?
Question-Answer Pairs (FAQ & Contextual Understanding),¿Cómo puedo renovar mi pasaporte?
