Categories,Sentences
Grammar Core (Sentence Structures & Tenses),ܐܢܐ ܩܪܐ ܐܢܐ ܟܬܒܐ ܒܟܠ ܨܦܪܐ ܩܕܡ ܕܐܙܠܢ ܠܦܘܠܚܢܐ.
Grammar Core (Sentence Structures & Tenses),ܐܝܡܢ ܕܡܛܐ ܚܒܪܝ، ܐܚܢܢ ܗܘܝܢ ܐܟܠܝ ܛܥܡܬܐ ܒܓܢܬܐ.
Grammar Core (Sentence Structures & Tenses),ܒܚܕ ܝܘܡܐ ܕܐܬܐ، ܝܠܘܦܐ ܒܕ ܦܪܩ ܠܡܦܩܬܗ ܒܙܘܗܪܐ.
Grammar Core (Sentence Structures & Tenses),ܐܠܘ ܗܘܐ ܠܝ ܙܒܢܐ، ܒܕ ܟܬܒܢ ܐܓܪܬܐ ܐܪܝܟܬܐ ܠܐܚܘܢܝ.
Grammar Core (Sentence Structures & Tenses),ܠܐ ܫܬܐ ܠܗ ܡܝܐ ܩܪܝܪܐ ܡܛܠ ܕܗܘܐ ܡܪܝܥܐ.
Grammar Core (Sentence Structures & Tenses),ܦܬܓܡܐ ܐܬܟܬܒ ܥܠ ܠܘܚܐ ܘܐܬܩܪܝ ܩܕܡ ܟܠܗܘܢ ܝܠܘܦܐ.
Grammar Core (Sentence Structures & Tenses),ܐܢܬܝ ܡܬܒܫܠܬܝ ܚܕ ܬܒܫܝܠܐ ܚܕܬܐ ܟܕ ܐܡܟܝ ܡܠܦܐ ܠܟܝ.
Grammar Core (Sentence Structures & Tenses),ܐܚܢܢ ܡܘܕܥܝܢ ܠܗܘܢ ܕܬܪܥܐ ܦܬܝܚܐ ܗܘ ܡܢ ܬܫܥܐ ܠܚܡܫܐ.
Grammar Core (Sentence Structures & Tenses),ܗܢܘܢ ܠܐ ܗܘܘ ܫܡܥܝ ܩܠܐ ܡܛܠ ܕܪܘܚܐ ܗܘܬ ܚܝܠܬܐ.
Grammar Core (Sentence Structures & Tenses),ܟܕ ܦܪܩܬ ܡܢ ܕܘܪܫܐ، ܒܕ ܡܫܕܪܢ ܠܟ ܦܘܢܝܐ ܕܝܠܝ.
Conversational Data (Real-Life Dialogues & Exchanges),ܐܝܟܐ ܝܘܬ ܐܕܝܘܡ؟ ܐܢܐ ܝܘܢ ܒܒܝܬܐ ܘܒܥܐ ܐܢܐ ܠܦܠܚܐ.
Conversational Data (Real-Life Dialogues & Exchanges),ܫܠܡܐ، ܐܝܟ ܝܘܬ؟ ܒܪܝܟܐ ܝܘܢ، ܒܣ ܩܠܝܠ ܠܐܝܐ ܝܘܢ.
Conversational Data (Real-Life Dialogues & Exchanges),ܡܨܝܬ ܐܬܝܬ ܠܒܝܬܝ ܒܪܡܫܐ؟ ܐܢ ܠܐ ܢܦܠ ܡܛܪܐ، ܐܬܐ ܐܢܐ.
Conversational Data (Real-Life Dialogues & Exchanges),ܡܢܝ ܙܒܢܬ ܠܚܡܐ؟ ܡܢ ܕܘܟܢܐ ܙܥܘܪܐ ܕܒܫܘܩܐ.
Conversational Data (Real-Life Dialogues & Exchanges),ܩܪܝܬ ܠܝ ܒܠܝܠܐ؟ ܗܐ، ܒܥܝܬ ܐܢܐ ܠܡܫܐܠܐ ܥܠ ܡܫܘܚܬܐ.
Conversational Data (Real-Life Dialogues & Exchanges),ܡܘܕܝ ܐܟܠܚ ܐܕܝܘܡ؟ ܐܢܐ ܒܥܐ ܐܢܐ ܕܘܠܡܐ ܘܡܪܩܐ ܚܡܝܡܐ.
Conversational Data (Real-Life Dialogues & Exchanges),ܐܚܬܝ، ܠܐ ܬܚܦܛܝ؛ ܥܕܢܐ ܐܝܬ ܠܢ ܘܐܘܪܚܐ ܩܪܝܒܬܐ ܝܠܗ.
Conversational Data (Real-Life Dialogues & Exchanges),ܐܡܪ ܠܝ ܚܕ ܡܠܬܐ ܚܕܬܐ ܒܣܘܪܬ؛ ܒܫܘܝܐ، ܡܠܬܐ ܐܕܝܘܡ ܝܠܗ ܚܘܒܐ.
Conversational Data (Real-Life Dialogues & Exchanges),ܟܡܐ ܣܥܬܐ ܝܠܗ؟ ܝܠܗ ܦܠܓܐ ܕܬܡܢܝܐ، ܘܩܐ ܗܕܐ ܐܚܢܢ ܒܕ ܦܠܛܚ.
Conversational Data (Real-Life Dialogues & Exchanges),ܚܙܝܬ ܠܣܒܐ ܒܥܕܬܐ؟ ܗܐ، ܗܘ ܡܘܩܪ ܠܟܠ ܐܢܫܐ ܒܚܘܒܐ.
Code-Switching & Multilingualism,ܐܕܝܘܡ ܐܝܬ ܠܝ meeting ܥܡ ܓܘܕܐ، ܒܬܪ ܗܕܐ ܒܕ ܐܙܠܢ ܠܒܝܬܐ.
Code-Switching & Multilingualism,ܐܢܐ ܫܕܪܬ ܠܟ email ܒܣ ܠܐ ܩܒܠܬ ܡܢܟ ܦܘܢܝܐ.
Code-Switching & Multilingualism,ܒܟܠ class ܡܠܦܢܐ ܒܥܐ ܕܐܚܢܢ ܡܡܠܠܚ ܣܘܪܬ ܒܠܚܘܕ.
Code-Switching & Multilingualism,ܗܘ ܦܬܚ ܠܗ app ܘܚܙܐ ܕܟܠܗܘܢ ܡܠܝܢ̈ ܐܬܚܕܬܘ.
Code-Switching & Multilingualism,ܒܥܐ ܐܢܐ ܕܥܒܕܚ backup ܩܕܡ ܕܡܫܚܠܦܚ ܠܐܣܟܝܡܐ.
Code-Switching & Multilingualism,ܝܠܘܦܐ ܐܡܪ ܕhomework ܝܠܗ ܩܫܝܐ، ܐܠܐ ܗܘ ܒܕ ܓܪܫ ܠܗ ܒܚܕ ܫܥܬܐ.
Code-Switching & Multilingualism,ܒܫܘܩܐ ܐܢܫܐ ܡܡܠܠܝ ܣܘܪܬ، Arabic، ܘEnglish ܒܚܕ ܡܡܠܠܐ.
Code-Switching & Multilingualism,ܐܚܘܢܝ ܩܪܐ ܠܗ password ܒܩܠܐ ܪܡܐ، ܘܐܡܪܬ ܠܗ ܕܗܕܐ ܠܐ ܛܒܬܐ.
Code-Switching & Multilingualism,ܟܬܘܒ ܠܝ ܚܕ reminder ܩܐ ܡܘܥܕܐ ܕܝܘܡ ܬܪܝܢ.
Code-Switching & Multilingualism,ܡܢ ܓܘ group chat ܚܕ ܐܢܫܐ ܫܕܪ ܚܕ ܩܠܐ ܒܣܘܪܬ ܘܚܕ ܒܐܢܓܠܝܐ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ܡܪܝ، ܒܥܝܢܢ ܕܡܩܪܒܚ ܠܟܘܢ ܚܘܫܒܢܐ ܡܫܠܡܐ ܩܕܡ ܫܘܠܡ ܫܒܬܐ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ܒܝܬ ܐܣܝܘܬܐ ܡܘܕܥ ܕܡܪܥܐ ܒܥܐ ܨܘܚܨܝܐ ܬܘܣܦܬܢܝܐ ܩܕܡ ܕܫܩܠ ܕܘܪܡܢܐ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ܣܢܝܓܪܐ ܒܕ ܩܪܐ ܠܫܘܘܕܝܐ ܩܕܡ ܕܚܬܡܝ ܬܪܝܢ ܓܒܢ̈.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ܡܘܣܕܐ ܒܕ ܡܩܝܡ ܢܛܪܬܐ ܚܕܬܐ ܠܡܛܟܣܬܐ ܕܕܐܬܐ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ܡܬܒܥܐ ܡܢ ܟܠ ܦܠܚܐ ܕܡܠܐ ܠܦܘܪܡܐ ܒܐܝܩܪܐ ܘܒܕܩܝܩܘܬܐ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ܐܣܝܐ ܐܡܪ ܕܠܚܨܐ ܕܕܡܐ ܒܥܐ ܡܕܝܕܬܐ ܟܠ ܬܪܝܢ ܝܘܡܐ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ܫܘܬܐܣܐ ܒܕ ܡܦܩ ܦܣܩܐ ܪܫܡܝܐ ܒܬܪ ܕܫܠܡܐ ܒܘܚܢܐ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ܦܪܢܣܐ ܡܛܠܒ ܡܢ ܓܘܕܐ ܕܡܚܕܬ ܠܬܘܟܢܐ ܕܒܝܬ ܓܙܐ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ܒܟܢܘܫܝܐ ܕܦܘܠܚܢܐ، ܚܕ ܦܠܚܐ ܡܩܪܒ ܪܢܝܐ ܚܕܬܐ ܠܫܘܘܩܐ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ܚܕ ܦܘܩܕܢܐ ܬܟܢܝܩܝܐ ܦܪܝܫܐ ܒܕ ܡܫܕܪ ܠܡܫܬܡܫܢܐ ܒܕܘܐܪܐ ܐܠܩܛܪܘܢܝܐ.
"Idioms, Proverbs & Cultural Expressions",ܐܝܠܢܐ ܕܠܐ ܫܪܫܐ ܠܐ ܩܐܡ ܒܪܘܚܐ ܚܝܠܬܐ.
"Idioms, Proverbs & Cultural Expressions",ܡܢ ܦܘܡܐ ܚܠܝܐ ܢܦܩܝ ܚܒܪܐ ܡܛܝܒܐ.
"Idioms, Proverbs & Cultural Expressions",ܕܠܐ ܥܡܠܐ ܠܐ ܐܬܐ ܚܠܝܘܬܐ.
"Idioms, Proverbs & Cultural Expressions",ܟܠܒܐ ܕܢܒܚ ܗܪ ܠܐ ܢܟܬ ܟܠ ܥܕܢܐ.
"Idioms, Proverbs & Cultural Expressions",ܚܕ ܚܒܪܐ ܛܒܐ ܒܝܘܡܐ ܩܫܝܐ ܡܬܝܕܥ.
"Idioms, Proverbs & Cultural Expressions",ܠܒܐ ܕܐܡܐ ܐܝܟ ܢܘܗܪܐ ܝܠܗ ܒܠܝܠܐ ܥܡܘܩܐ.
"Idioms, Proverbs & Cultural Expressions",ܐܢܫܐ ܕܫܡܥ ܩܕܡ ܕܡܡܠܠ، ܡܒܝܢ ܚܟܝܡܐ.
"Idioms, Proverbs & Cultural Expressions",ܡܝܐ ܫܠܝܐ ܥܡܝܩܐ ܝܠܗ، ܘܡܠܬܐ ܩܠܝܠܬܐ ܡܨܝܐ ܛܥܢܐ ܣܘܟܠܐ ܪܒܐ.
"Idioms, Proverbs & Cultural Expressions",ܒܝܬܐ ܕܐܝܬ ܒܗ ܚܘܒܐ ܠܐ ܡܣܟܢ ܐܦ ܐܢ ܙܘܙܐ ܩܠܝܠܐ.
"Idioms, Proverbs & Cultural Expressions",ܚܛܐ ܙܥܘܪܐ ܕܠܐ ܡܬܬܩܢ ܡܨܐ ܗܘܐ ܦܬܚ ܬܪܥܐ ܠܚܛܐ ܪܒܐ.
Question-Answer Pairs (FAQ & Contextual Understanding),ܡܢܝ ܦܬܚ ܠܒܝܬ ܩܪܝܢܐ؟ ܡܠܦܢܬܐ ܦܬܚܬ ܠܗ ܒܬܫܥܐ ܕܨܦܪܐ.
Question-Answer Pairs (FAQ & Contextual Understanding),ܩܡܘܕܝ ܐܢܬ ܠܐ ܐܬܝܬ ܠܟܢܘܫܝܐ؟ ܡܛܠ ܕܐܘܪܚܐ ܗܘܬ ܚܒܝܫܬܐ.
Question-Answer Pairs (FAQ & Contextual Understanding),ܐܝܟܐ ܡܨܚ ܡܫܟܚܚ ܟܬܒ̈ܐ ܒܣܘܪܬ؟ ܒܥܕܬܐ، ܒܒܝܬ ܩܪܝܢܐ، ܘܒܐܬܪܐ ܐܠܩܛܪܘܢܝܐ.
Question-Answer Pairs (FAQ & Contextual Understanding),ܡܘܕܝ ܝܠܗ ܫܡܐ ܕܡܕܝܢܬܘܟ؟ ܫܡܗ ܕܡܕܝܢܬܝ ܝܠܗ ܢܝܢܘܐ ܒܠܒܝ.
Question-Answer Pairs (FAQ & Contextual Understanding),ܐܝܡܢ ܒܕ ܦܪܩ ܕܘܪܫܐ؟ ܒܕ ܦܪܩ ܒܝܘܡ ܚܡܫܒܫܒܐ ܒܪܡܫܐ.
Question-Answer Pairs (FAQ & Contextual Understanding),ܡܢܝ ܒܥܐ ܠܚܘܫܒܢܐ ܚܕܬܐ؟ ܦܪܢܣܐ ܘܓܘܕܐ ܕܡܚܫܒܢܘܬܐ.
Question-Answer Pairs (FAQ & Contextual Understanding),ܐܝܟ ܡܨܚ ܢܛܪܚ ܠܫܢܐ؟ ܒܡܡܠܠܐ، ܒܩܪܝܢܐ، ܘܒܟܬܒܬܐ ܟܠ ܝܘܡܐ.
Question-Answer Pairs (FAQ & Contextual Understanding),ܡܘܕܝ ܥܒܕܬ ܟܕ ܢܦܠ ܡܚܫܒܢܐ؟ ܢܛܪܬ ܠܕܐܬܐ ܘܡܫܪܝܬ ܠܗ ܡܢ ܪܫܐ.
Question-Answer Pairs (FAQ & Contextual Understanding),ܠܡܢܝ ܝܗܒܬ ܠܡܦܬܚܐ؟ ܝܗܒܬ ܠܗ ܠܐܚܬܝ ܡܛܠ ܕܗܝ ܡܛܝܐ ܩܕܡܝ.
Question-Answer Pairs (FAQ & Contextual Understanding),ܟܡܐ ܥܕܢܐ ܒܥܐ ܛܘܦܣܐ ܕܩܒܠܬܐ؟ ܒܥܐ ܬܠܬܐ ܝܘܡܐ ܕܦܘܠܚܢܐ.
Commands & Instructions (Imperative Sentences),ܦܬܚ ܠܬܪܥܐ ܒܫܠܝܐ ܘܠܐ ܬܡܚܐ ܠܩܠܐ ܪܡܐ.
Commands & Instructions (Imperative Sentences),ܩܪܝ ܠܦܬܓܡܐ ܬܪܝܢ ܙܒܢ̈ ܘܒܬܪ ܗܕܐ ܟܬܘܒ ܦܘܫܩܗ.
Commands & Instructions (Imperative Sentences),ܫܕܪ ܠܝ ܠܦܐܬܐ ܕܡܕܥܐ ܩܕܡ ܕܫܠܡ ܝܘܡܐ.
Commands & Instructions (Imperative Sentences),ܠܐ ܡܢܫܝܬ ܠܡܚܕܘܬܐ ܕܣܝܡܬܐ ܩܕܡ ܕܣܓܪܬ ܠܡܚܫܒܢܐ.
Commands & Instructions (Imperative Sentences),ܣܝܡ ܠܟܬܒ̈ܐ ܥܠ ܦܬܘܪܐ ܘܢܛܪ ܠܚܕܪܐ ܢܩܝܐ.
Commands & Instructions (Imperative Sentences),ܫܡܥ ܠܣܒܐ ܟܕ ܗܘ ܡܫܬܥܐ ܥܠ ܙܒܢܐ ܕܩܕܡܐ.
Commands & Instructions (Imperative Sentences),ܒܕܘܩ ܠܫܘܪܪܐ ܕܫܡܐ ܩܕܡ ܕܡܥܠܬ ܠܗ ܠܛܒܠܐ.
Commands & Instructions (Imperative Sentences),ܦܪܘܫ ܠܡܠܝ̈ ܚܕܬ̈ܐ ܘܥܒܕ ܡܢܝܗܝ ܚܕ ܡܡܠܠܐ ܙܥܘܪܐ.
Commands & Instructions (Imperative Sentences),ܐܡܘܪ ܠܝ ܒܫܠܝܐ ܡܘܕܝ ܒܥܝܬ ܠܡܫܚܠܘܦܐ.
