Category,Sentence
Grammar Core (Sentence Structures & Tenses),Tca ǃhū ǁʼae tzī.
Grammar Core (Sentence Structures & Tenses),Nǃang ǂ’ã ǁxōa.
Grammar Core (Sentence Structures & Tenses),Ka ǀxoa ǀx’ammi ǀxoaga.
Grammar Core (Sentence Structures & Tenses),Nǂan nǃaoh ǃhao ke ǁũi.
Grammar Core (Sentence Structures & Tenses),ǀXa ǃna ǀ’ae ha ǁkx’ao.
Grammar Core (Sentence Structures & Tenses),Ta ǀxoa nǁi ǃkerri tca.
Grammar Core (Sentence Structures & Tenses),ǁXoma ǀgae ǀxoammi xae.
Grammar Core (Sentence Structures & Tenses),Ke ǀnao ǂ’ã tca ǁ’an.
Grammar Core (Sentence Structures & Tenses),Nǃang ǃhara ǁhūi ǁxui.
Grammar Core (Sentence Structures & Tenses),ǁNani ǁkx’ao ǃnona ta ha.
Conversational Data (Real-Life Dialogues & Exchanges),— Nǃang ǁ’ae? — Tca ǀxa.
Conversational Data (Real-Life Dialogues & Exchanges),— ǃHūi ǀgae. — ǁ’ae ǀxoaga?
Conversational Data (Real-Life Dialogues & Exchanges),— Nǂan ke ǁ’ama. — Xae nǁang?
Conversational Data (Real-Life Dialogues & Exchanges),— Tzī tca ǃkerri. — ǀXoa ǁnani.
Conversational Data (Real-Life Dialogues & Exchanges),— ǁNani ǀxoa? — ǃKerri ǀgae ha.
Conversational Data (Real-Life Dialogues & Exchanges),— ǀXoa ǃna. — ǁXommi ǃhara.
Conversational Data (Real-Life Dialogues & Exchanges),— ǀ’ae ha ǀxae? — ǃNona ke ǂ’ã.
Conversational Data (Real-Life Dialogues & Exchanges),— ǁKx’ao ǀgao. — Ke tca.
Conversational Data (Real-Life Dialogues & Exchanges),— ǁXoma ǀxoa tca? — Xae.
Conversational Data (Real-Life Dialogues & Exchanges),— Nǁang ǀxoa. — ǃNa ǂ’ã?
Code-Switching & Multilingualism,ǁXoma bring the pot now.
Code-Switching & Multilingualism,Tca ke ǀxoa tomorrow early.
Code-Switching & Multilingualism,ǀXoa ha me ke ǃhara good.
Code-Switching & Multilingualism,Go to the ǁnani and fetch ǁkx’ao.
Code-Switching & Multilingualism,"Nǂan already went, but ǃna coming."
Code-Switching & Multilingualism,ǃKerri is nice. Ha ǁxui ke.
Code-Switching & Multilingualism,We must ǀgae learn ǁkx’ao language.
Code-Switching & Multilingualism,The teacher says: 'ǁxoma study hard.'
Code-Switching & Multilingualism,Nǁang called the ǁxui chief.
Code-Switching & Multilingualism,Don't forget to bring ǃhara after school.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ǀGae ǁkx’ao kx’a nǃang ǃhara report.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",The council met to discuss ǁkx’ao ǀxoa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ǁXui ǁkx’ao ǀ’ae ǃnona nǂan.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",He was appointed as ǀxoa ǁ’ama officer.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ǁNani ǃhara ǃkx’a health issues today.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ǀ’ae ǀxoa ǁkx’ao nǃang document.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",The verdict: ǁ’an ǀ’ae guilty.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",The doctor prescribed ǃhara ǁkx’ao medicine.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Legal terms must use ǁxoma ǀxoa.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",We revised the ǁkx’ao technical plans.
"Idioms, Proverbs & Cultural Expressions","ǁNani ǀxoa, ǁxui ǁkxʼao."
"Idioms, Proverbs & Cultural Expressions",ǃHūi ǁxoma ǃxo ǀxae.
"Idioms, Proverbs & Cultural Expressions",ǀNa ǁkxʼao ǃnani ka ǁxui.
"Idioms, Proverbs & Cultural Expressions",ǁXoma ǀxoa ǃhara nǃang tca.
"Idioms, Proverbs & Cultural Expressions",Tca ǁkxʼao ǀgae ǁhūi.
"Idioms, Proverbs & Cultural Expressions",ǁXoma tzī ke ǁ’an ǀxae.
"Idioms, Proverbs & Cultural Expressions",ǃNa ǀxae nǃang ha ǁnani.
"Idioms, Proverbs & Cultural Expressions",ǀNa ǃhara ǁxoma ke ǀxa.
"Idioms, Proverbs & Cultural Expressions",Ke ǁxui ǁkxʼa ǀxoa tca.
"Idioms, Proverbs & Cultural Expressions",ǁKxʼa ǁnani ǀxae nǁang.
Question-Answer Pairs (FAQ & Contextual Understanding),— What is your name? — Nǃang ke ǁkx’a.
Question-Answer Pairs (FAQ & Contextual Understanding),— Where do you live? — ǁNani ke tca.
Question-Answer Pairs (FAQ & Contextual Understanding),— What do you eat? — ǁXoma ke ǃhara.
Question-Answer Pairs (FAQ & Contextual Understanding),— How old are you? — ǁxui ke ǃnona 12.
Question-Answer Pairs (FAQ & Contextual Understanding),— Why go there? — For ǀxoa ǁkx’ao.
Question-Answer Pairs (FAQ & Contextual Understanding),— Who teaches you? — ǁxoma teacher.
Question-Answer Pairs (FAQ & Contextual Understanding),— Nǃang ke? — Tca ke ǃnona.
Question-Answer Pairs (FAQ & Contextual Understanding),— ǁNani ǀxoa? — Ke ǁnani tca.
Question-Answer Pairs (FAQ & Contextual Understanding),— ǀXoa ke ǁkxʼao? — ǁXoma tzī.
Question-Answer Pairs (FAQ & Contextual Understanding),"— Do you understand? — Yes, ǁkx’a."
Commands & Instructions (Imperative Sentences),ǁXoma tzī now!
Commands & Instructions (Imperative Sentences),Bring the ǃhara quickly.
Commands & Instructions (Imperative Sentences),Go to the ǁxui chief.
Commands & Instructions (Imperative Sentences),ǁNani ǃhara bring!
Commands & Instructions (Imperative Sentences),Fetch water from the ǁnani.
Commands & Instructions (Imperative Sentences),Wash your ǁkx’a hands.
Commands & Instructions (Imperative Sentences),Wash your ǁkxʼao.
Commands & Instructions (Imperative Sentences),Go to the ǁxui.
Commands & Instructions (Imperative Sentences),Open the ǀxoa slowly.
Commands & Instructions (Imperative Sentences),ǁXoma ǀxoa ǃhara ǁnani ke!
