Categories,Sentences
Grammar Core (Sentence Structures & Tenses),U kal school gayaa rahaa.
Grammar Core (Sentence Structures & Tenses),Ham log aaj bazaar jaat hai.
Grammar Core (Sentence Structures & Tenses),Wo chhutti mil jaayi to ghoom ke aayega.
Grammar Core (Sentence Structures & Tenses),Tohar bhai padhai karela baa?
Grammar Core (Sentence Structures & Tenses),Main ek naya kitaab kharid ke padh rahaa hoon.
Grammar Core (Sentence Structures & Tenses),Kaam kal tak puraa kar diya jaayega.
Grammar Core (Sentence Structures & Tenses),Aapan ghar saf kaila jaa rahal baa.
Grammar Core (Sentence Structures & Tenses),Tohar dost kauno kaam kare la chahat rahaa.
Grammar Core (Sentence Structures & Tenses),Hum kaam na kareeni jab tak baarish ruk naa jaawe.
Grammar Core (Sentence Structures & Tenses),Khaana banaye ke rahaa chhi ka kal raat ke party la.
Conversational Data (Real-Life Dialogues & Exchanges),"– Kaise baa? – Sab thik baa, tohar?"
Conversational Data (Real-Life Dialogues & Exchanges),"– Bhai, e naya phone dekhal baa? – Haan, bilkul damdaar lagat baa."
Conversational Data (Real-Life Dialogues & Exchanges),"– Aaj ka kaam puraa bhail? – Naahi, thoda aur baaki baa."
Conversational Data (Real-Life Dialogues & Exchanges),"– Chalo chai pi ke aayi. – Accha, milat bani five baje."
Conversational Data (Real-Life Dialogues & Exchanges),– Tohaar ghar ke raasta kahan se jaat baa? – Railway station ke bagal se.
Conversational Data (Real-Life Dialogues & Exchanges),– Tohar exam kab baa? – Aagle somwaar se shuru hoat baa.
Conversational Data (Real-Life Dialogues & Exchanges),"– Mummy ghar mein baa? – Naahi, bazaar gayil baa."
Conversational Data (Real-Life Dialogues & Exchanges),"– Humra thoda paisa udhaar mil sakat baa? – Haan, jarur."
Conversational Data (Real-Life Dialogues & Exchanges),– Tu kahaan rahal kal? – Kaam se bahar rahal.
Conversational Data (Real-Life Dialogues & Exchanges),"– Hum kahaan baithein? – E kursi khaali baa, yahin baith jaa."
Code-Switching & Multilingualism,Aaj tu office gail ya work from home karela?
Code-Switching & Multilingualism,Kal ke party me music bahut loud rahaa na!
Code-Switching & Multilingualism,Hum soch rahe hain ki ek trip Fiji jaake karein.
Code-Switching & Multilingualism,"Wo bola, ‘tum smart lag rahe ho today’."
