Categories,Sentences
Grammar Core (Sentence Structures & Tenses),हम रोज सबेरे गंगा किनारे टहलै छी।
Grammar Core (Sentence Structures & Tenses),ओ काल्हि बजार गेल छल।
Grammar Core (Sentence Structures & Tenses),हमरा लागै छै जे तू सफल होएब।
Grammar Core (Sentence Structures & Tenses),अगर तू मेहनत करतें त परीक्षा पास कर लेतें।
Grammar Core (Sentence Structures & Tenses),हम किताब नहि पढ़ै छी।
Grammar Core (Sentence Structures & Tenses),काम समय पर पूरा कएल गेल।
Grammar Core (Sentence Structures & Tenses),हमनी काल्हि यात्रा पर जाएब।
Grammar Core (Sentence Structures & Tenses),ओ कहलक जे ओ बाद में अएत।
Grammar Core (Sentence Structures & Tenses),बच्चा खेलैत-खेलैत गिर पड़ल।
Grammar Core (Sentence Structures & Tenses),घर बनल जा रहल छै।
Conversational Data (Real-Life Dialogues & Exchanges),तू कतए जा रहल छह?
Conversational Data (Real-Life Dialogues & Exchanges),"हम डॉक्टर लग जा रहल छी, तू चलब?"
Conversational Data (Real-Life Dialogues & Exchanges),"नहि, हमरा काज छै, बाद में बात करब।"
Conversational Data (Real-Life Dialogues & Exchanges),तोहर घर में सब कुशल-मंगल छै?
Conversational Data (Real-Life Dialogues & Exchanges),"हाँ, सब ठीक छै, तोहर समाचार की छै?"
Conversational Data (Real-Life Dialogues & Exchanges),आज मौसम खूब सुहावन लगै छै।
Conversational Data (Real-Life Dialogues & Exchanges),चल चाय पीअय चल।
Conversational Data (Real-Life Dialogues & Exchanges),तोरा ई बात सही लगै छै?
Conversational Data (Real-Life Dialogues & Exchanges),हमरा त ई विचार बढ़िया लगै छै।
Conversational Data (Real-Life Dialogues & Exchanges),"ठीक छै, त काल्हि फेर मिलब।"
Code-Switching & Multilingualism,आज meeting में सब लोग punctual रहल।
Code-Switching & Multilingualism,हम project के deadline मिस नहि करब।
Code-Switching & Multilingualism,ओ presentation बहुत impressive रहल।
Code-Switching & Multilingualism,तू file upload कर देलें?
Code-Switching & Multilingualism,हम online class attend करैत छी।
Code-Switching & Multilingualism,ई system थोड़ा slow चलै छै।
Code-Switching & Multilingualism,client के feedback सकारात्मक रहल।
Code-Switching & Multilingualism,report final करके send कर द।
Code-Switching & Multilingualism,server down हो गेल रहल।
Code-Switching & Multilingualism,team के coordination बढ़िया छै।
Formal & Professional Speech,कृपया आवेदन पत्र निर्धारित समय में जमा करु।
Formal & Professional Speech,रोगी के नियमित जाँच आवश्यक छै।
Formal & Professional Speech,बैठक दस बजे आरंभ होएत।
Formal & Professional Speech,ई समझौता कानूनी रूप से मान्य छै।
Formal & Professional Speech,कंपनी के नीति पारदर्शी छै।
Formal & Professional Speech,तकनीकी समस्या के समाधान शीघ्र कएल जाएत।
Formal & Professional Speech,आपन दस्तावेज सत्यापित करा लिय।
Formal & Professional Speech,अस्पताल में स्वच्छता पर विशेष ध्यान देल जाए छै।
Formal & Professional Speech,वित्तीय रिपोर्ट आज प्रस्तुत कएल जाएत।
Formal & Professional Speech,अनुसंधान दल नयका परियोजना शुरू कएलक।
"Idioms, Proverbs & Cultural Expressions",ओकर नाक कट गेल।
"Idioms, Proverbs & Cultural Expressions","धैर्य रख, फल मीठ होए छै।"
"Idioms, Proverbs & Cultural Expressions",दू नाव पर पैर नहि राखै के चाही।
"Idioms, Proverbs & Cultural Expressions",जइसन करब तइसन भरब।
"Idioms, Proverbs & Cultural Expressions",अंधा में काना राजा।
"Idioms, Proverbs & Cultural Expressions",घर के भेदिया लंका ढाहे।
"Idioms, Proverbs & Cultural Expressions",आग बिना धुँआ नहि उठै छै।
"Idioms, Proverbs & Cultural Expressions","जतए चाह, ततए राह।"
"Idioms, Proverbs & Cultural Expressions",समय से पहिले आ भाग्य से अधिक किछु नहि मिलै छै।
"Idioms, Proverbs & Cultural Expressions",बूँद-बूँद से घड़ा भरै छै।
Question-Answer Pairs (FAQ & Contextual Understanding),अंगिका कतए बोलल जाए छै?
Question-Answer Pairs (FAQ & Contextual Understanding),अंगिका मुख्य रूप से बिहार में बोलल जाए छै।
Question-Answer Pairs (FAQ & Contextual Understanding),तोहर नाम की छै?
Question-Answer Pairs (FAQ & Contextual Understanding),हमर नाम विकास छै।
Question-Answer Pairs (FAQ & Contextual Understanding),आज तारीख की छै?
Question-Answer Pairs (FAQ & Contextual Understanding),आज रविवार छै।
Question-Answer Pairs (FAQ & Contextual Understanding),गंगा नदी कतए बहै छै?
Question-Answer Pairs (FAQ & Contextual Understanding),गंगा उत्तर भारत में बहै छै।
Question-Answer Pairs (FAQ & Contextual Understanding),पढ़ाई किएक जरूरी छै?
Question-Answer Pairs (FAQ & Contextual Understanding),पढ़ाई ज्ञान बढ़ाबै छै।
Commands & Instructions (Imperative Sentences),दरवाजा बंद कर द।
Commands & Instructions (Imperative Sentences),कृपया ध्यान से सुनु।
Commands & Instructions (Imperative Sentences),ई फॉर्म भर द।
Commands & Instructions (Imperative Sentences),समय पर पहुँची जा।
Commands & Instructions (Imperative Sentences),मोबाइल बंद करु।
Commands & Instructions (Imperative Sentences),किताब खोलु आ पाठ पढ़ु।
Commands & Instructions (Imperative Sentences),जल्दी जवाब द।
Commands & Instructions (Imperative Sentences),लाइन में खड़ा हो जा।
Commands & Instructions (Imperative Sentences),साफ-सफाई बनाए रखु।
Commands & Instructions (Imperative Sentences),ई संदेश आगे भेज द।
Named Entity Recognition (NER) Data,भागलपुर बिहार के प्रमुख शहर छै।
Named Entity Recognition (NER) Data,गंगा नदी भागलपुर से बहै छै।
Named Entity Recognition (NER) Data,डॉ. राजेंद्र प्रसाद भारत के राष्ट्रपति रहल।
Named Entity Recognition (NER) Data,तिलकामांझी विश्वविद्यालय भागलपुर में छै।
Named Entity Recognition (NER) Data,भारत 15 अगस्त 1947 के स्वतंत्र भऽल।
Named Entity Recognition (NER) Data,पटना बिहार के राजधानी छै।
