Categories,Sentences
Grammar Core,مەن بۈگۈن مەكتەپكە بارىمەن.
Grammar Core,ئۇ تۈنۈگۈن كىتابنى تاماملاپ ئوقۇدى.
Grammar Core,بىز ئەتە يېڭى تۈرنى باشلايمىز.
Grammar Core,ئۇلار بۇ ئىشنى ۋاقتىدا تاماملىيالايدۇ.
Grammar Core,مەن بۇ يەردە ئۇزۇن ۋاقىت تۇرىمەن.
Grammar Core,ئۇ بۈگۈن ئىشخانىغا كەلمىدى.
Grammar Core,كىتابلار ئۈستەلگە قويۇلدى.
Grammar Core,ئەگەر ۋاقتىم بولسا، سىزگە ياردەم قىلىمەن.
Grammar Core,ئۇلار بىز بىلەن بىللە سەپەرگە چىقىدۇ.
Grammar Core,بۇ مەسىلە تېزدىن ھەل قىلىنىشى كېرەك.
Conversational Data,سالام، بۈگۈن قانداقسىز؟
Conversational Data,ياخشىمەن، سىزچۇ؟
Conversational Data,بۈگۈن ھاۋا بەك چىرايلىقكەن.
Conversational Data,بىرگە قەھۋە ئىچكەندەك بولامدۇ؟
Conversational Data,مەن سىزنى كۈن بويى ئىزدەپ يۈردۈم.
Conversational Data,كېچە قانداق ۋاقىت ئۆتكۈزدىڭىز؟
Conversational Data,مەن بۈگۈن ناھايىتى ئالدىراش بولدۇم.
Conversational Data,بۇ يەرگە قانداق كېلىپ قالدىڭىز؟
Conversational Data,سىز بىلەن پاراڭلىشىش ھەمىشە قىزىقارلىق.
Conversational Data,كېلەر ھەپتە قايتا كۆرۈشەيلى.
Code-Switching,بۈگۈن meeting بەك ئۇزۇن داۋاملاشتى.
Code-Switching,مەن project نى ئەتە تاماملايمەن.
Code-Switching,ئۇ email ئارقىلىق خەۋەر يوللىدى.
Code-Switching,بىز online يىغىنغا قاتنىشتۇق.
Code-Switching,بۇ plan ناھايىتى ياخشى كۆرۈنىدۇ.
Code-Switching,مەن file نى سىزگە ئەۋەتىپ قويدۇم.
Code-Switching,بۇ idea بەك قىزىقارلىق.
Code-Switching,ئۇ report نى ۋاقتىدا تاپشۇردى.
Code-Switching,بىز team بىلەن مۇزاكىرە قىلدۇق.
Code-Switching,مەن schedule نى قايتا تەكشۈرۈپ چىقتىم.
Formal & Professional Speech,شىركىتىمىز يېڭى تېخنىكا تەتقىقاتىنى باشلىدى.
