Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Nehuatl ninemi ipan altepetl Huejutla mojmostla.
Grammar Core (Sentence Structures & Tenses),Mostla niyas ipan tianguis para nicohuas tlaxcalli.
Grammar Core (Sentence Structures & Tenses),Yalhua onimitzitta ipan ohtli tlen altepetl.
Grammar Core (Sentence Structures & Tenses),Amo nikneki nicchihuas tlen amo cuali.
Grammar Core (Sentence Structures & Tenses),"Tla nimitztlajtlanis, tinechpalehuis."
Grammar Core (Sentence Structures & Tenses),Se yancuic kal mochihuas ipan tochan.
Grammar Core (Sentence Structures & Tenses),Amo onicmati tla hualas tlamantli mostla.
Grammar Core (Sentence Structures & Tenses),Axan ticchihua cualli tequitl ipan calli.
Grammar Core (Sentence Structures & Tenses),"Tla nicpias cahuitl, niyas nimomachtis."
Grammar Core (Sentence Structures & Tenses),Mostla timonequi ticchihuaseh se cualli tlamachtiliztli.
Conversational Data (Real-Life Dialogues & Exchanges),"—Cualli tonalli. Quen tiitztoc? —Cualli, tlazohcamati."
Conversational Data (Real-Life Dialogues & Exchanges),—Canin tiyaz axan? —Niyaz tianguis ipan altepetl.
Conversational Data (Real-Life Dialogues & Exchanges),"—Ticnequi atl? —Quema, xinechmaca se quentzi."
Conversational Data (Real-Life Dialogues & Exchanges),—Quen timomachilia? —Nimoyolpachoa axan.
Conversational Data (Real-Life Dialogues & Exchanges),"—Cuix timomachtia nahuatl? —Quema, mojmostla."
Conversational Data (Real-Life Dialogues & Exchanges),"—Tinechpalehuis ipan tequitl? —Quema, niyas mohuan."
Conversational Data (Real-Life Dialogues & Exchanges),—Canin onca notlatquitl? —Amo nicmati.
Conversational Data (Real-Life Dialogues & Exchanges),—Quen timoneki nicpalehuis? —Xinechmaca amatl.
Conversational Data (Real-Life Dialogues & Exchanges),"—Ticpia cahuitl para tlahtoa? —Quema, se quentzi."
Conversational Data (Real-Life Dialogues & Exchanges),"—Cuix tiyaz mostla? —Quema, tla cualli tonalli."
Code-Switching & Multilingualism,Axan niyas al mercado para nicohuas tlamantli.
Code-Switching & Multilingualism,Teacher quinequi timomachtiseh nahuatl cuali.
Code-Switching & Multilingualism,Niyaz office pampa onca se meeting.
Code-Switching & Multilingualism,Phone notlatquitl nicmati campa onca.
Code-Switching & Multilingualism,Doctor quimati notlaneltokilis ipan hospital.
Code-Switching & Multilingualism,Nimitztitlanis message mostla.
Code-Switching & Multilingualism,Client quinequi cualli servicio.
Code-Switching & Multilingualism,Niyaz escuela para nimomachtis.
Code-Switching & Multilingualism,Computer techpalehuia ticchihuaseh tequitl.
Code-Switching & Multilingualism,Boss quinequi niman ticchihuas proyecto.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nimitztlajtlania xitechmaca tlamachtilistli ipan tequitl.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tepalehuiliztli ipan hospital monequi niman.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Cualli tlatlepanitalistli monequi para tequipanohqueh.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tlamantli legal monequi tlahcuilolli cuali.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Se doctor quipalehuia tlakatl ipan cocollistli.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Empresa quinequi cualli tequitl mojmostla.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tlamachtiloyan quinequi momachtianih yolmelahualiztli.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Cualli tlahtolli ipan tequiti quipalehuia tlapalehuiliztli.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Se ingeniero quichihua yancuic tlamantli tech.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Oficina ipan altepetl quipia miec tequitl.
"Idioms, Proverbs & Cultural Expressions",Yolotl cueponi quema cualli tonalli.
"Idioms, Proverbs & Cultural Expressions",Cualli tlahtolli patlani ipan altepetl.
"Idioms, Proverbs & Cultural Expressions",Yolotl tlachia amo ixtli.
"Idioms, Proverbs & Cultural Expressions",Amo xicmati san tlen tichitta.
"Idioms, Proverbs & Cultural Expressions",Cualli ohtli quipia tlakatl cuali.
