Category,Sentence
Grammar Core,Yo estudio español todos los días.
Grammar Core,"Si hubiera sabido antes, habría tomado otra decisión."
Grammar Core,Mañana iremos a la playa si el clima está bueno.
Grammar Core,Se venden carros usados en este concesionario.
Grammar Core,No quiero que salgas sin abrigo.
Grammar Core,"Si tuviera más tiempo, aprendería otro idioma."
Grammar Core,El libro fue escrito por un autor puertorriqueño.
Grammar Core,Ojalá pudiera viajar a Puerto Rico pronto.
Grammar Core,Anoche llovió mucho en San Juan.
Grammar Core,Estamos estudiando para el examen de mañana.
Conversational Data,"Hola, ¿cómo estás? – Estoy bien, gracias. ¿Y tú?"
Conversational Data,¿Me puedes ayudar con este proyecto? – ¡Claro! ¿Qué necesitas?
Conversational Data,"Perdón, ¿a qué hora abre la panadería? – A las siete de la mañana."
Conversational Data,"¿Te gustaría ir al cine esta noche? – Sí, me encantaría."
Conversational Data,"¿Puedo pagar con tarjeta? – Sí, aceptamos todas las tarjetas."
Conversational Data,"Tengo que irme, nos vemos luego. – ¡Dale, cuídate!"
Conversational Data,¿Dónde está el baño? – Al fondo a la derecha.
Conversational Data,"Mami, tengo hambre. – Hay arroz con habichuelas en la nevera."
Conversational Data,¿Qué hiciste el fin de semana? – Fui a la playa con mis amigos.
Conversational Data,"¿Me traes un café? – Sí, con o sin azúcar?"
Code-Switching & Multilingualism,Voy a parquear el carro aquí.
Code-Switching & Multilingualism,Ese concierto estuvo súper cool.
Code-Switching & Multilingualism,Ella siempre dice 'whatever' cuando no le importa.
Code-Switching & Multilingualism,Tengo que hacer un report para la clase de inglés.
Code-Switching & Multilingualism,El weekend pasado fui a un road trip por la isla.
Code-Switching & Multilingualism,"No te preocupes, everything is fine."
Code-Switching & Multilingualism,Vamos a hacer un meeting a las tres.
Code-Switching & Multilingualism,¿Viste el email que te mandé?
Code-Switching & Multilingualism,Mi jefe siempre dice ‘touch base’ cuando quiere una actualización.
Code-Switching & Multilingualism,Estoy ready para la fiesta de esta noche.
Formal & Professional Speech,"Estimado cliente, su pedido ha sido enviado con éxito."
Formal & Professional Speech,"Por favor, envíe los documentos requeridos antes del viernes."
Formal & Professional Speech,Agradecemos su paciencia mientras procesamos su solicitud.
Formal & Professional Speech,El paciente debe seguir las instrucciones médicas al pie de la letra.
Formal & Professional Speech,"Para obtener un reembolso, complete el formulario adjunto."
Formal & Professional Speech,El contrato especifica las condiciones del acuerdo entre ambas partes.
Formal & Professional Speech,El informe financiero estará disponible el próximo lunes.
Formal & Professional Speech,Le recordamos que su cita es el 10 de abril a las 3:00 p.m.
Formal & Professional Speech,Se recomienda el uso de mascarillas en espacios cerrados.
Formal & Professional Speech,El servicio de atención al cliente opera de lunes a viernes.
"Idioms, Proverbs & Cultural Expressions",A caballo regalado no se le mira el colmillo.
"Idioms, Proverbs & Cultural Expressions",Más vale tarde que nunca.
"Idioms, Proverbs & Cultural Expressions","En casa de herrero, cuchillo de palo."
"Idioms, Proverbs & Cultural Expressions",No todo lo que brilla es oro.
"Idioms, Proverbs & Cultural Expressions","El que madruga, Dios lo ayuda."
"Idioms, Proverbs & Cultural Expressions",Está lloviendo a cántaros.
"Idioms, Proverbs & Cultural Expressions",Me salió el tiro por la culata.
