Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Mi bin a cook when di rain start fall.
Grammar Core (Sentence Structures & Tenses),Dem guh a town tomorrow fo buy grocery.
Grammar Core (Sentence Structures & Tenses),She deh wuk hard fo save up money.
Grammar Core (Sentence Structures & Tenses),"If mi did know, mi wouldn'ta go."
Grammar Core (Sentence Structures & Tenses),Mi na guh tek da kinda talk fram nobody.
Grammar Core (Sentence Structures & Tenses),He always a talk like he know everything.
Grammar Core (Sentence Structures & Tenses),De cake been done eat up before mi come.
Grammar Core (Sentence Structures & Tenses),Mi woulda call yuh if mi had credit.
Grammar Core (Sentence Structures & Tenses),She deh prepare fo go abroad next week.
Grammar Core (Sentence Structures & Tenses),Dem house get paint last week by Uncle Joe.
Conversational Data (Real-Life Dialogues & Exchanges),"Wha yuh seh, bai? Long time mi na see yuh!"
Conversational Data (Real-Life Dialogues & Exchanges),"Mi hungry bad, leh we guh buy somethin."
Conversational Data (Real-Life Dialogues & Exchanges),Yuh see de match last night? Pure fire!
Conversational Data (Real-Life Dialogues & Exchanges),Mi cya believe she really lef he.
Conversational Data (Real-Life Dialogues & Exchanges),Yuh deh good though? Mi hear yuh bin sick.
Conversational Data (Real-Life Dialogues & Exchanges),"Man, de rain na easy today!"
Conversational Data (Real-Life Dialogues & Exchanges),Mi cya wait fo di holiday come.
Conversational Data (Real-Life Dialogues & Exchanges),"Leh mi tell yuh, dat market real pack today."
Conversational Data (Real-Life Dialogues & Exchanges),Wha kinda soup yuh a cook deh?
Conversational Data (Real-Life Dialogues & Exchanges),"Mi glad yuh pass yuh exam, congrats!"
Code-Switching & Multilingualism,Mi guh deh but mi cya find de document pon di table.
Code-Switching & Multilingualism,Yuh know mi tek a taxi from Sheriff Street straight home.
Code-Switching & Multilingualism,"Mi deh a wuk when boss man seh, 'You're late again!'"
Code-Switching & Multilingualism,Dem seh she na show up cause she deh sick since Saturday.
Code-Switching & Multilingualism,"Mi bring di rice and beans, but mi forget di chicken."
Code-Switching & Multilingualism,"De teacher talk half Creole, half English de whole class."
Code-Switching & Multilingualism,Yuh hear di news? Blackout again til 10pm.
Code-Switching & Multilingualism,"Mi seh 'OK, lemme try' and then mi guh ahead."
Code-Switching & Multilingualism,Mi pick up di child from school an then go straight home.
Code-Switching & Multilingualism,"Leh mi call yuh back, mi inna meeting now."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Please ensure yuh submit di report before 5 o'clock today.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Di prescription must be taken twice daily afta meal.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",We recommend yuh sign di contract by next week.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","In di meeting, mi outline di new proposal to di team."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yuh need valid ID and proof of address fo open di account.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",De consultant advise dat surgery is necessary.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Mi lawyer seh we could settle it outta court.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Customer service is available Monday to Friday.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Dis policy cover fire, flood, and theft damage."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yuh appointment confirm fuh Tuesday at 10 a.m.
"Idioms, Proverbs & Cultural Expressions",Trouble na set like rain.
"Idioms, Proverbs & Cultural Expressions",Cockroach na get right in fowl party.
"Idioms, Proverbs & Cultural Expressions","De higher monkey climb, de more he expose he self."
"Idioms, Proverbs & Cultural Expressions","Tek yuh eye pass goat, yuh go lose cow."
"Idioms, Proverbs & Cultural Expressions",Monkey know which limb fo jump pon.
"Idioms, Proverbs & Cultural Expressions",Every bush is not di same height.
"Idioms, Proverbs & Cultural Expressions",What sweet in goat mouth does sour in he bamzee.
"Idioms, Proverbs & Cultural Expressions","If yuh na hear, yuh go feel."
"Idioms, Proverbs & Cultural Expressions",Mi na deh pon yuh page today.
"Idioms, Proverbs & Cultural Expressions",Yuh cya play soldier an fraid bullet.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Weh time yuh guh reach? A: Round 7 o’clock.
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Who cook dis food? A: Aunty Lila mek it.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: Yuh like how di place paint? A: Yeah, it real fresh."
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Yuh see mi key? A: Check pon di table.
Question-Answer Pairs (FAQ & Contextual Understanding),"Q: How yuh feeling? A: Better now, thanks."
Question-Answer Pairs (FAQ & Contextual Understanding),Q: Who win di cricket? A: Berbice mash up Demerara.
