Category,Sentence (Malayalam)
Code-Switching & Multilingualism,Coffee shop-ൽ നിനക്ക് എന്ത് വേണം?
Code-Switching & Multilingualism,"Hey, നീ fine ആണോ?"
Code-Switching & Multilingualism,Movie അത്ര interesting അല്ല.
Code-Switching & Multilingualism,Next week ഞാൻ project submit ചെയ്യണം.
Code-Switching & Multilingualism,Tomorrow ഞാൻ school പോകും.
Code-Switching & Multilingualism,അവൻ guitar ക്ലാസിൽ join ചെയ്തു.
Code-Switching & Multilingualism,ഇതൊരു real problem ആണ്.
Code-Switching & Multilingualism,ഇത് അക്ഷരാർത്ഥത്തിൽ perfect ആണ്.
Code-Switching & Multilingualism,ഇത് ഒരു super idea ആണ്.
Code-Switching & Multilingualism,നിങ്ങൾ ലണ്ടനിൽ പോയാൽ shopping എങ്ങനെയായിരിക്കും?
Commands & Instructions,ഇത് വായിക്കുക.
Commands & Instructions,ഇവിടെ ഒപ്പിടുക.
Commands & Instructions,ഈ പ്രോഗ്രാം റൺ ചെയ്യുക.
Commands & Instructions,ഈ ഫോം പൂരിപ്പിക്കുക.
Commands & Instructions,കഴിഞ്ഞ പ്രവർത്തനങ്ങൾ പരിശോധിക്കുക.
Commands & Instructions,കൂട്ടുകാരെ വിളിക്കുക.
Commands & Instructions,ഞങ്ങൾക്ക് ഈ ഫയൽ അയയ്ക്കുക.
Commands & Instructions,ദയവായി വാതിൽ അടയ്‌ക്കുക.
Commands & Instructions,ഫോൺ ചാർജ് ചെയ്യുക.
Commands & Instructions,സാങ്കേതിക സഹായം ലഭ്യമാക്കുക.
Conversational Data,അവൻ എവിടെയായിരിക്കുന്നു?
Conversational Data,ഇവിടെ ഭക്ഷണം രുചികരമാണ്.
Conversational Data,ഞങ്ങൾ സിനിമയ്ക്ക് പോകാമോ?
Conversational Data,ഞാൻ നല്ല പുസ്തകങ്ങൾ ഇഷ്ടപ്പെടുന്നു.
Conversational Data,നമ്മൾ എപ്പോഴാണ് കണ്ടുമുട്ടുന്നത്?
Conversational Data,നാളെ ചൊവ്വാഴ്ചയാണ്.
Conversational Data,ഇന്ന് വൈകുന്നേരം എവിടെ പോകാനാണ് വിചാരിക്കുന്നത്?
Conversational Data,നിന്റെ പേര് എന്താണ്?
Conversational Data,വെളുപ്പിന് ഉണർന്ന് ഞാൻ ചായ കുടിക്കും.
Conversational Data,ഹലോ! ഇന്ന് എങ്ങനെ ഉണ്ട്?
Formal & Professional Speech,ഈ കാര്യം ചർച്ച ചെയ്യാൻ നമുക്ക് സമയം വേണം.
Formal & Professional Speech,ഈ കോഴ്സ് ഇലക്ട്രിക്കൽ എഞ്ചിനീയറിംഗിന് പ്രയോജനപ്രദമാണ്.
Formal & Professional Speech,ഈ വിദഗ്ധൻ ഗണിതത്തിൽ നല്ല പരിജ്ഞാനമുള്ള ആളാണ്.
Formal & Professional Speech,ഈ റിപ്പോർട്ട് ശാസ്ത്രീയമായ രീതിയിൽ തയ്യാറാക്കിയതാണ്.
Formal & Professional Speech,ചില നിയമപരമായ പ്രശ്നങ്ങൾ ഉണ്ട്.
Formal & Professional Speech,ഞങ്ങൾക്ക് കൂടുതൽ വിവരങ്ങൾ ആവശ്യമുണ്ട്.
Formal & Professional Speech,ദയവായി ഈ പ്രോജക്റ്റിന്റെ വിശദാംശങ്ങൾ അയയ്ക്കുക.
Formal & Professional Speech,നമുക്ക് ഓഡിറ്റ് റിപ്പോർട്ട് പരിശോധിക്കാം.
Formal & Professional Speech,നിങ്ങളുടെ അപേക്ഷ പരിഗണിച്ചിരിക്കുന്നു.
Formal & Professional Speech,നിങ്ങളുടെ മാർക്കുകൾ വിലയിരുത്തിയിരിക്കുന്നു.
Grammar Core,അവൻ ക്ലാസിൽ കയറുന്നുണ്ട്.
Grammar Core,അവൻ ബസ് സ്റ്റോപ്പിൽ കാത്തുനിൽക്കുന്നു.
Grammar Core,അവളുടെ കൈവശം പഴയ ക്യാമറ ഉണ്ടായിരുന്നു.
Grammar Core,അവൾ പുസ്തകം വായിച്ചു.
Grammar Core,കാറ്റ് വളരെ ശക്തമായിരുന്നു.
Grammar Core,ഞങ്ങൾ ഒരു വണ്ടി വാങ്ങും.
Grammar Core,ഞാൻ നാളെ പോകും.
Grammar Core,നിങ്ങൾ എത്രമാത്രം ഉത്സാഹിക്കുന്നു!
Grammar Core,നിനക്ക് അതറിയാമോ?
Grammar Core,പേര് പറഞ്ഞ് അറിയിക്കുക.
Idioms & Proverbs,അമ്മയില്ലെങ്കിൽ അകത്തളത്തിൽ പുഴുവുണ്ട്.
Idioms & Proverbs,അരികെ പോയാലേ അരി തിന്നാവൂ.
Idioms & Proverbs,ഒരു പക്ഷിയെ പറന്നുനോക്കാം.
Idioms & Proverbs,കണ്ണ് തുറന്നവനെ കാട്ടില്ല.
Idioms & Proverbs,കിളിവാതിൽ തുറന്നാൽ പിന്നെ അത് അടക്കാൻ പറ്റില്ല.
Idioms & Proverbs,കുതിര കുളത്തിൽ കയറുന്നില്ല.
Idioms & Proverbs,കുരിശേനെ! ഇത് എന്റെ ജീവിതം!
Idioms & Proverbs,ചോറില്ലാതെ പായ്ക്ക് ആവില്ല.
Idioms & Proverbs,പച്ചക്കുട്ടി പോലെ വിശ്വസിക്കുന്നു.
Idioms & Proverbs,മീനും മീനും ചേരുന്നില്ല.
NER Data,ആമസോൺ ഒരു വലിയ ഇ-കൊമേഴ്സ് കമ്പനിയാണ്.
NER Data,കേരളം ഇന്ത്യയിലെ ഒരു സംസ്ഥാനമാണ്.
NER Data,കോവിഡ്-19 മഹാമാരി 2019ൽ ആരംഭിച്ചു.
NER Data,ഗാന്ധിജി 1869-ൽ ജനിച്ചു.
NER Data,ടെസ്ല ഇലക്ട്രിക് വാഹന കമ്പനിയാണ്.
NER Data,നരേന്ദ്ര മോഡി ഇന്ത്യയുടെ പ്രധാനമന്ത്രി ആണ്.
NER Data,ന്യൂയോർക്കിലെ ടൈംസ് സ്ക്വയർ പ്രശസ്തമാണ്.
NER Data,വിജയ് മലയാള സിനിമയിൽ പ്രശസ്തനായ നടനാണ്.
NER Data,സിനിമ 'ദൃശ്യം' മലയാളത്തിൽ വലിയ വിജയം നേടി.
NER Data,ഹിമാലയം ലോകത്തിലെ ഉയർന്ന പർവതനിരയാണ്.
Paraphrased & Augmented,അവൻ വളരെ ആനന്ദിതനാണ്.
Paraphrased & Augmented,അവൻ വളരെ സന്തോഷവാനാണ്.
Paraphrased & Augmented,ഇന്നത്തെ കാലാവസ്ഥ വളരെ തണുപ്പാണ്.
Paraphrased & Augmented,ഞാൻ അവനെ ഇന്ന് കാണുമോ?
Paraphrased & Augmented,ഞാൻ ഇന്ന് സ്കൂളിൽ പോകില്ല.
Paraphrased & Augmented,ഞാൻ ഇപ്പോൾ വായന ചെയ്യുന്നു.
Paraphrased & Augmented,ഞാൻ പുസ്തകം വായിക്കുന്നു.
Paraphrased & Augmented,നാളെ സ്കൂളിൽ പോകാനില്ല.
Paraphrased & Augmented,പുസ്തക വായന എന്റെ പ്രിയപ്പെട്ട ശീലമാണ്.
Paraphrased & Augmented,മഞ്ഞു വീഴുന്നു.
Question-Answer Pairs,അവൻ എവിടെയാണ്?
Question-Answer Pairs,ഇത് എങ്ങനെ ഉപയോഗിക്കാം?
Question-Answer Pairs,ഇവിടെ എങ്ങനെ എത്താം?
Question-Answer Pairs,നമുക്ക് എന്ത് ചെയ്യാം?
Question-Answer Pairs,നിനക്ക് ഇത് എവിടെ നിന്ന് കിട്ടി?
Question-Answer Pairs,നിനക്ക് ഈ പുസ്തകം ഇഷ്ടമാണോ?
Question-Answer Pairs,നിനക്ക് എന്താണ് വേണ്ടത്?
Question-Answer Pairs,നിന്റെ ഉപദേശങ്ങൾ എന്തൊക്കെ?
Question-Answer Pairs,നിന്റെ ജന്മദിനം എപ്പോൾ?
Question-Answer Pairs,വായന നല്ല ശീലമാണോ?
Sentiment Analysis,അവൻ വളരെ അഹങ്കാരിയായ വ്യക്തിയാണ്.
Sentiment Analysis,ഇത് മനോഹരമായ അനുഭവമായിരുന്നു.
Sentiment Analysis,ഇന്നത്തെ കാലാവസ്ഥ അതിമനോഹരമാണ്.
Sentiment Analysis,ഈ കഫേയിൽ ഭക്ഷണം അതിമനോഹരമായിരുന്നു.
Sentiment Analysis,ഈ സിനിമ മോശമായിരുന്നു.
Sentiment Analysis,എനിക്ക് ഈ ഗാനം ഇഷ്ടമാണ്.
Sentiment Analysis,ഞാൻ ഇന്ന് അതിയായ സന്തോഷത്തിലാണ്!
Sentiment Analysis,ഞാൻ നന്നായി മുന്നോട്ട് പോകുന്നു.
Sentiment Analysis,നിന്റെ വാക്കുകൾ എന്റെ മനസ്സിനെ തകർത്തു.
Sentiment Analysis,മനസ്സിലാകാത്ത അതിക്രൂരത കാണുന്നു.
