Category,Marshallese Sentence
Grammar Core (Sentence Structures & Tenses),Ejjab melim an jeḷā.
Grammar Core (Sentence Structures & Tenses),Jān ṃōttan bwe in kōnaan lali.
Grammar Core (Sentence Structures & Tenses),Ron̄̄oul kein rej bwebwenato ilo pād.
Grammar Core (Sentence Structures & Tenses),Enaaj kommane ekatak iumin kein.
Grammar Core (Sentence Structures & Tenses),Kōjparok eo ej jab kwōn maron̄.
Grammar Core (Sentence Structures & Tenses),Roñ in kōṇaan waḷọk wōt.
Grammar Core (Sentence Structures & Tenses),Eṃṃan wōt ṃōttan eḷap aer jipan.
Grammar Core (Sentence Structures & Tenses),Ij aikuj in jabdewōt letok.
Grammar Core (Sentence Structures & Tenses),Kōrā eo ej kōmmane bok eddo.
Grammar Core (Sentence Structures & Tenses),Ekkar ñan naan kein rej bed ilo pepa in.
Conversational Data (Real-Life Dialogues & Exchanges),"""Ij jab jeḷā."" ""Bar kajjitok!"""
Conversational Data (Real-Life Dialogues & Exchanges),"""Kwōj itok jen jekdoon?"" ""Ewi, ij itok jen mā."""
Conversational Data (Real-Life Dialogues & Exchanges),"""Ewi, kom̧m̧ool."" ""Ejjeḷọk wōr problem."""
Conversational Data (Real-Life Dialogues & Exchanges),"""Kwōj maron̄ kōjeḷā tok ilo bwil eo."" ""Ejjeḷọk, kōkkure!"""
Conversational Data (Real-Life Dialogues & Exchanges),"""Eban bwil in?"" ""Eban wōt. Kōḷeļā!"""
Conversational Data (Real-Life Dialogues & Exchanges),"""Kwōj jeḷā an jipan jān?"" ""Jeḷā wōt! Ej jipan wōt!"""
Conversational Data (Real-Life Dialogues & Exchanges),"""Ta eo kwō kōnono?"" ""About project in an jikin jerbal."""
Conversational Data (Real-Life Dialogues & Exchanges),"""Ejṃaar!"" ""Ewi, em̧ṃan wōt kwoj itok."""
Conversational Data (Real-Life Dialogues & Exchanges),"""Eṃṃan am jipan."" ""Kom̧m̧ool!"" ""Ejjeḷọk, eṃṃan wōt."""
Conversational Data (Real-Life Dialogues & Exchanges),"""Kwaar ṃōttan?"" ""Ij ṃōttan wōt. Kom̧m̧ool."""
Code-Switching & Multilingualism,Ij ba ‘good night’ to aolep.
Code-Switching & Multilingualism,Ej ṃōttan important bwe kwōj learn English ekōmmane.
