Categories,Sentences
Grammar Core,Naglakad ako kahapon paing eskwelahan.
Grammar Core,Nagluluto hiya ha kusina yana.
Grammar Core,Magbaya kami buwas paing Jolo.
Grammar Core,"Bang aku magkaon, aku maghuwat ha iyo."
Grammar Core,Indi aku makaadto sabab may sakit aku.
Grammar Core,Sinurat in surat sin bata.
Grammar Core,Nag-inum kami sin kape kaina.
Grammar Core,Magtrabaho siya ha opisina sunod bulan.
Grammar Core,Indi hiya nagbaya paing merkado.
Grammar Core,"Pag-abot ko, tapos na in miting."
Conversational Data,Way in kaw? Maayo ba in adlaw mo?
Conversational Data,"Maayo aku, salamat. Ikaw, kumusta kaw?"
Conversational Data,Hain kaw paing yana?
Conversational Data,Paing aku ha tindahan magpalit sin sud-an.
Conversational Data,Ayaw kaw kalimot magdala sin kwarta.
Conversational Data,"Na, mag-upod kaw ba kan aku?"
Conversational Data,"Pwede, pero sandali la aku mag-andam."
Conversational Data,Unu in plano ta buwas?
Conversational Data,Maglakat kita paing baybay magpahangin.
Conversational Data,"Sige, magkita kita alas sais."
Code-Switching & Multilingualism,Mag-start na kita sin meeting yana.
Code-Switching & Multilingualism,Please ayaw kaw kalimot sin assignment mo.
Code-Switching & Multilingualism,Busy aku today kaya indi aku makaadto.
Code-Switching & Multilingualism,Mag-submit kaw sin report before Friday.
Code-Switching & Multilingualism,Nag-order aku sin food online kagina.
Code-Switching & Multilingualism,Mag-check kita sin schedule later.
Code-Switching & Multilingualism,Deadline na yana so kinahanglan tapuson.
Code-Switching & Multilingualism,Mag-update kaw kan aku pinaagi sin email.
Code-Switching & Multilingualism,Mag-join kaw ha Zoom meeting buwas.
Code-Switching & Multilingualism,Nag-practice kami sin presentation yesterday.
Formal & Professional Speech,Bangin mahimo nindo isumite in dokumento ha opisina.
Formal & Professional Speech,In pasyente kinahanglan hatagan sin tambal adlaw-adlaw.
Formal & Professional Speech,Ini nga kasabutan ginpirmahan ha duha nga partido.
Formal & Professional Speech,In kompanya naghatag sin bag-o nga patakaran.
Formal & Professional Speech,Kinahanglan sundon in protocol ha laboratoryo.
Formal & Professional Speech,In empleyado gin-awardahan tungod sin iya maayong performance.
