Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Minä kirjutan kirjan joka ilta.
Grammar Core (Sentence Structures & Tenses),Eilen myö kävelimmö pitkän matkan järven rannal.
Grammar Core (Sentence Structures & Tenses),Huondes häi lähtöy Petroskoih varahin.
Grammar Core (Sentence Structures & Tenses),"Miun kodiš olis lämmin, ku uuni palais."
Grammar Core (Sentence Structures & Tenses),Työ ette nähnyh sidä vanhua sildua.
Grammar Core (Sentence Structures & Tenses),Uuzi koulu rakennettih kylän keskelle.
Grammar Core (Sentence Structures & Tenses),"Kun olin pieni, kuuntelin mielelläni buabon sanelduo."
Grammar Core (Sentence Structures & Tenses),"Jos tulou vihmu, myö jiämmö kodih."
Grammar Core (Sentence Structures & Tenses),Lapset ollah jo syönyh päivällizen.
Grammar Core (Sentence Structures & Tenses),Ennen talven tulduo kalastajat nostetah venehet rannale.
Conversational Data (Real-Life Dialogues & Exchanges),"— Terveh, kui sinun dielot ollah? — Hyvin, passibo, a sinun?"
Conversational Data (Real-Life Dialogues & Exchanges),— Konzubo linja-auto tulou? — Se tulou kymmenen minutin piästy.
Conversational Data (Real-Life Dialogues & Exchanges),"— Voinko istuo tähän? — Tietysti voit, paikka on vaba."
Conversational Data (Real-Life Dialogues & Exchanges),"— Mitä myö ostammo toraspäi? — Ostammo leibiä, maituo da omenoita."
Conversational Data (Real-Life Dialogues & Exchanges),"— Kuulitgo, gu huomenna pidäh juhlu? — Kuulin, da aijon tulla."
Conversational Data (Real-Life Dialogues & Exchanges),— Missä minun avaimet ollah? — Kačo pöyvän piäl.
Conversational Data (Real-Life Dialogues & Exchanges),"— Lähtemmägo illal kävelylle? — Lähtemmä, ku vihmu ei ala."
Conversational Data (Real-Life Dialogues & Exchanges),— Tämä keitto on hyvä! — Ota viel vähäzen.
Conversational Data (Real-Life Dialogues & Exchanges),"— Anteeksi, en kuulluh sinuu. — Sanon sen uuvestah."
Conversational Data (Real-Life Dialogues & Exchanges),"— Muga oli sinun matku? — Pitkä, ga hyvin mielenkiindoni."
Code-Switching & Multilingualism,Miun kolleega sanoi: «Давай встретимся huomenna aamulla».
Code-Switching & Multilingualism,Konferenssissa myö pagizimmo livvikse da prezentacii oli englanniksi.
Code-Switching & Multilingualism,"Buabo kysyi: «Ты поел?» da minä vastazin livvikse, gu olen jo syönyh."
