Category,Quechua_Sentence
Grammar Core,Ñuqaqa mikuni
Grammar Core,Ñuqaqa mikuqmi kani
Grammar Core,Ñuqaqa mikurqani
Grammar Core,Ñuqaqa mikunqa
Grammar Core,Ñuqaqa mikusqani
Grammar Core,Mana ñuqaqa mikunichu
Grammar Core,Mikuchkaqmi kani
Grammar Core,Mikunayuqmi kani
Grammar Core,Mikukusqayki
Grammar Core,Mikupasqaymi
Conversational Data,Imaynalla kachkanki?
Conversational Data,"Allinmi kachkani, qanrí?"
Conversational Data,Maypita tiyanki?
Conversational Data,"Arí, tiyashani Cuscomanta"
Conversational Data,Imaynan hukta riqchariyki?
Conversational Data,Ñuqa Luchuta tariqkani
Conversational Data,Kawsaykiman allin punchaw!
Conversational Data,Qayna p’unchawman tupusun!
Conversational Data,Hayk’api qam llank’anki?
Conversational Data,Llank’ani wasipi
Code-Switching & Multilingualism,Ñuqaqa Internetpi trabajo ruwani
Code-Switching & Multilingualism,Musquyñay Google searchpi riqsikuni
Code-Switching & Multilingualism,Mana wifi kanchu chaypi
Code-Switching & Multilingualism,Laptopni huk punkuta wañurqun
Code-Switching & Multilingualism,Kashani meetingpi
Code-Switching & Multilingualism,"Arí, emailta chaskikuy!"
Code-Switching & Multilingualism,Amazonmanta libros rantikun
Code-Switching & Multilingualism,Android smartphonepi
Code-Switching & Multilingualism,Plaza marketpi p’anqarita rantikuni
Code-Switching & Multilingualism,Facebookmi cheqakuna llikachkan
Formal & Professional Speech,Kay kawsaypim sumaq tarinakuna kasqan
Formal & Professional Speech,Ñawinchik nisqayuq qillqa sumaqta qawariy
Formal & Professional Speech,Huk ayllu sumaq rimanapaq
Formal & Professional Speech,Yachay wasipi yachakusunchis
Formal & Professional Speech,Sumaqpi qhaway sumaq tukuy
Formal & Professional Speech,Kaypi huk musuq t’inkuyqa kasqa
Formal & Professional Speech,Ñuqayku munananchik qillqasqan
Formal & Professional Speech,"Arí, qhawasunchis, yuyaykuy!"
Formal & Professional Speech,Sumayta rimanakuymi
Formal & Professional Speech,Ayllunkunap qillqasqanpas
"Idioms, Proverbs & Cultural Expressions",Yuraq runa sapa punchaw ñak’ari
"Idioms, Proverbs & Cultural Expressions",Maymanpi sach’a wañuykuna
"Idioms, Proverbs & Cultural Expressions","Ñuqa ima rikuptin, q’aylla sonqoywan"
"Idioms, Proverbs & Cultural Expressions",Wakcha runaqa pacha munapanchik
"Idioms, Proverbs & Cultural Expressions",Manam imaymana atipanakuchu
"Idioms, Proverbs & Cultural Expressions",T’ikariy sumaq sunquwan
"Idioms, Proverbs & Cultural Expressions",Wakcha kaspayqa manam allinchu
"Idioms, Proverbs & Cultural Expressions",Munay qillqachkanmi
"Idioms, Proverbs & Cultural Expressions",Pachamamaqa tukuyta munaylla
"Idioms, Proverbs & Cultural Expressions",Allin punchay kaqmi
Question-Answer Pairs,Maymantam qan kanki?
Question-Answer Pairs,Ñuqaqa Ayacuchomanta kani
Question-Answer Pairs,Hayk’a punchawta tiyanki?
Question-Answer Pairs,Kunanqa llank’ani
Question-Answer Pairs,Imaynata qawaywaqa?
Question-Answer Pairs,"Sumaqta, allin qhawaku"
Question-Answer Pairs,Imata ruwashanki?
Question-Answer Pairs,Llaqta pacha allinta p’achachkanki
Question-Answer Pairs,"Ari, qillqasqayki"
Question-Answer Pairs,"Qamri, yachakusqaykim"
Commands & Instructions,Hamuy kayman!
Commands & Instructions,Mikuy!
Commands & Instructions,Qhaway!
Commands & Instructions,Yanapay runakunata!
Commands & Instructions,P’itiy runa kachariy
Commands & Instructions,Llank’ay!
Commands & Instructions,Uyarikuy sumaq rimanapaq!
Commands & Instructions,Manam qillqaychu!
Commands & Instructions,T’ikarichiy!
Commands & Instructions,Waqaychay!
Named Entity Recognition (NER) Data,Cusco llaqtam ayllunkuna aswan sumaqtaña tarinakun
Named Entity Recognition (NER) Data,Pedro ruwaykuna sumaq yuyayniyuqmi
Named Entity Recognition (NER) Data,Amazonas mayuqa aswan hatun
Named Entity Recognition (NER) Data,Machu Picchu urqumi
Named Entity Recognition (NER) Data,Kancharani Ayacucho raymi
Named Entity Recognition (NER) Data,Inka wasi sumaqta kasqan
Named Entity Recognition (NER) Data,Titicacaqucha hatunpi
Named Entity Recognition (NER) Data,Huk runa José rimanakuchkan
Named Entity Recognition (NER) Data,Kunanqa Llaqtaykuman chayachkan
Named Entity Recognition (NER) Data,Qhapaq Ñan sumaq puriqkuna
Sentiment Analysis Data,Allin kachkani!
Sentiment Analysis Data,Manam allinchu kawsay!
Sentiment Analysis Data,"Qanri, sumaqtaña"
Sentiment Analysis Data,Wañuy kay pachapi
Sentiment Analysis Data,Munaycha!
Sentiment Analysis Data,Manam muspaychu
Sentiment Analysis Data,Qhawakusun alli
Sentiment Analysis Data,Sumaq sonqo!
Sentiment Analysis Data,Qhari warmi sumaq
Sentiment Analysis Data,Mana yachakuq q’ari
Paraphrased & Augmented Sentences,Ñuqaqa Cuscomanta kani
Paraphrased & Augmented Sentences,Ñuqaqa Cuscopi tiyani
Paraphrased & Augmented Sentences,Ñuqaqa llaqtapi kawsani
Paraphrased & Augmented Sentences,Cusco llaqtapi kachkani
Paraphrased & Augmented Sentences,Llaqtaypi kawsani
Paraphrased & Augmented Sentences,Ñuqaqa sutin Josémi
Paraphrased & Augmented Sentences,Pedroqa chaypi tiyani
Paraphrased & Augmented Sentences,Huk sumaq llaqtapi kachkani
Paraphrased & Augmented Sentences,Machu Picchu rimayninmi
Paraphrased & Augmented Sentences,Titicaca llapanchikpi
