Category,Sentence_Dhivehi
Grammar Core (Tenses & Sentence Structures),އެއީ މަތިވެރި އަލުންތަކެއް ދައްކާ އެއްޗެއް ނޫން.
Grammar Core (Tenses & Sentence Structures),އަލުން ކޮޕީ ކުރައްވާލައްވާ ސަލާމްކުރައްވާ.
Grammar Core (Tenses & Sentence Structures),އެކަމަށް އަހަރެން ނެތް ކަމަށް ހުރި ދުވަސް ކޮންމެ ނެތް.
Grammar Core (Tenses & Sentence Structures),ހައްދަ މިހާރުގެ މަހު ހެދުމަށް ދިޔަ ވަކި.
Grammar Core (Tenses & Sentence Structures),މީގެ ކާމު ނުބައިފިން އެކަން ނުދޭނެ.
Grammar Core (Tenses & Sentence Structures),ދެއްވި އަހަރެއްގައި މިސަދީރު ނެތް ހެއްޔެވެ.
Grammar Core (Tenses & Sentence Structures),އެއީ ނަންބަރު ބަދަލުވެއްޖެ.
Grammar Core (Tenses & Sentence Structures),މިހާރު މީހަކަށް ރައްޔިތު ދިޔަ އެއްޗެއް ނުކުރެވެ.
Grammar Core (Tenses & Sentence Structures),އަށް ބަޔާންކުރުމަށް ތިރީ މުސްލާހުތަކެއް ވެސް ހިމެނޭ.
Grammar Core (Tenses & Sentence Structures),އާ ނެތްކަމުގެ މަނާއި ކާމު ނުބައި ހުއްޓެއްވެ.
Conversational Data,މިހާރު ގަސައި ބޭރަކަށް ހިޔާ ލައިފައި؟
Conversational Data,އަދިވެސް، ވަރަށް ދިޔަ ބަލާށެވެ!
Conversational Data,މި ކޮންމެ ދިމާވަނީ؟ އެކަމެއް ނުހެދުމަށް ބަލާނީ.
Conversational Data,ހަނގިވާ އާއި، މީހެއް އެއީ އަށް ލާނެކޮށްފައި.
Conversational Data,ހަނދާ ގިނަ އަކަށް ބަލާލައިފި.
Conversational Data,އާދައި ކުޑަކުރަން ހިމެނެއްޖެއެވެ.
Conversational Data,އަންނަން ވަކިވެރި ކަނޑައެޅެން؟
Conversational Data,އެވެ، އަދި އެކަމަށް ނުބައިފި.
Conversational Data,ނަމަ، ކިޔަން ނުދޭ މަގޭ ގިނައި.
Conversational Data,މިނިމުން ހުރިހާ ބަލާށެވެ.
Code-Switching & Multilingualism,އަންހެންވެސް hey bro، މިހާރު class ކުރެއްވިއްޖެ؟
Code-Switching & Multilingualism,Let's go ފެށުން beach ގެން، it’s lit!
Code-Switching & Multilingualism,މާލޭ ހެދި ފަށަން، too much traffic today.
Code-Switching & Multilingualism,މަސައްކަތް ބޮޑު stressful ދެއްވައިފި.
Code-Switching & Multilingualism,My phone ރަނގަޅަށް ދެއްވައި.
Code-Switching & Multilingualism,He ނުބައިފި، but she came.
Code-Switching & Multilingualism,އެއީ really confusing މެންބަރު!
Code-Switching & Multilingualism,I’ll ފައިނަލް ކޮށް ގިނަ.
Code-Switching & Multilingualism,Don’t worry، އަލަންވީ.
Code-Switching & Multilingualism,މީހަކަށް thank you ބަލާލައިފި!
Formal & Professional Speech,ސިޔާސީ މަޢުލޫމާތް އަދި ކޯޕަރެޓްއެލްގެ ގޮތް ދައްކާލައްވާ.
Formal & Professional Speech,މީހަކު ޑޮކްޓަރުގެ މަޖިލީހު ޕްރިސްކްރިޕްޝަން ލިޔެއްވުމަ.
Formal & Professional Speech,ބިޒްނަސް މެޓިންގް ކޮށް، ކޮންމެ ސިޔާސަތު މިނިސްޓްރީގެ މާލައިފި.
Formal & Professional Speech,ހަރަކާތްތަކީ މި ހައްދަ ފަހުން ސިޔާސީ ބަޔާންކުރެވޭ ގޮތް.
Formal & Professional Speech,މި ފަހުގެ ފޯމްތަކަށް ވަރަށް ބަލާލައިފި.
Formal & Professional Speech,އެ ސަރވިސްގެ އިންޓާނެޓް ސައިޓު ފަށާ ކަލާށެވެ.
Formal & Professional Speech,ސަބްމިޓް ކޮށްލައްވާލައްވާ އެކަމަށް ގާތް ހެދުމަށް.
Formal & Professional Speech,ދެވަނައިގެ ބަލައިވެރި ޕްރިސެންޓޭޝަން ހުށަހަޅުކޮށް.
Formal & Professional Speech,މެޑިކަލް އިންފޯމޭޝަން ނުވަތަ ބަލައި އަދި ސާބަތް ދިޔައްވާ.
Formal & Professional Speech,ކޮޕީލައި ނުކުރެވި އެންޑޯސްމެންޓް ފަށައި ދައްކާ.
"Idioms, Proverbs & Cultural Expressions",ހަމަ ހިންގި އައުޅަންތައް އަޅާފައި ކަމުދާންތެރި.
"Idioms, Proverbs & Cultural Expressions",ކޯމަލާ ހިޔާ ގަނޑުވެސް، ގަނޑުން ކަމުދާން ނުވަތަ.
"Idioms, Proverbs & Cultural Expressions",ގޮތް އެއީ ނުވަތައްސައިފި، ބަޔާން ކުރެވޭ.
"Idioms, Proverbs & Cultural Expressions",ބޭއްވި ވާހަކަ ނުވަތަ ހުރި ގަނޑުކުރެވޭ.
"Idioms, Proverbs & Cultural Expressions",ބޭރަށް ނުދޭ އައުޅާނެކީ ހުރިހާ.
"Idioms, Proverbs & Cultural Expressions",ނުކުރަން ހުންނައި ކާމު އައިރުގައި ފަށައި.
"Idioms, Proverbs & Cultural Expressions",ކޮންމެ ބަހަށް ދަތުރުކޮށް ހުޅުވާ.
"Idioms, Proverbs & Cultural Expressions",ކޯން މި ބޮޑު ގަނޑުގައި އެއް ބައްދަލުވެއްޖެ.
"Idioms, Proverbs & Cultural Expressions",އެކަމަށް އިންސާން ނަމަ ގިނައި.
"Idioms, Proverbs & Cultural Expressions",އާއި އަދި މިކަމުން އަޅާ ކާމުގެ ބަދަލުވެއްޖެ.
Question-Answer Pairs,މި ކަމުގެ ގަނޑު ކޮބައި؟
Question-Answer Pairs,އަލީ ދައްކާށެވެ މި މަހުގެ ދުވަސް؟
Question-Answer Pairs,އެހެން ފެށިއްޖެ ހިނގަން؟
Question-Answer Pairs,އެކަމަށް ހާލަތް ހިމެނޭނެ؟
Question-Answer Pairs,އަދިވެސް މިއަދު ހަދާނެއް؟
Question-Answer Pairs,އެ ދަންނަވާ އަށް ކަމުދާން ބަހައްޓާ؟
Question-Answer Pairs,އެ ގުޅުން ބެލެއްޖެ؟
Question-Answer Pairs,އަށް އިންތިޒާރުކުރުމަށް ކޮންމެ ބޭއްވި؟
Question-Answer Pairs,އެންމެ ކުރަންވީ؟
Question-Answer Pairs,އާދައި އެ ވެސް މަގޭ ފެށުންނާނެ؟
Commands & Instructions,އިތުރު ދެއްވާ!
Commands & Instructions,މި މެމްބަރު ސައިން ކޯލް ކޮށް.
Commands & Instructions,ދެވެއްޖެ ގަނޑު ނުބެލޭ.
Commands & Instructions,ބެލުންތެރި ފަރުވަތް ލިޔާ.
Commands & Instructions,އެދެއްވާލައްވާ!
Commands & Instructions,ބައި ހިނގައިދާ.
Commands & Instructions,ފެށިއްޖެ އިތުރަށް ހުއްޓާ.
Commands & Instructions,ނުވަތަ ހުޅުވާ.
Commands & Instructions,އެއީ ނޫން، ނުބެލޭ!
Commands & Instructions,ކޮށް ގެން ބޭއްވާ.
Named Entity Recognition (NER),މަސްދޫން: އައްސަލާމު މުޙައްމަދު
Named Entity Recognition (NER),ދާއިރާ: މާލޭ
Named Entity Recognition (NER),ރަސްމު: އޮފީސް އެއް
Named Entity Recognition (NER),އޯގަނައިތުރަށް: އާދައިރަށް
Named Entity Recognition (NER),ރަށް ދައްކާ ޑޭޓް: 2024-03-24
Named Entity Recognition (NER),އައްސަލާމު: މުޙައްމަދު މަޢުލޫމާތް
Named Entity Recognition (NER),ދުވަސް: ބޮޑު ހަމަޖެހި
Named Entity Recognition (NER),ބިޒްނަސް: އެވެ ސަބަބަކީ އެހެން
Named Entity Recognition (NER),މެމްބަރު ނަމު: އިބްރާހީމް މުޙައްމަދު
Named Entity Recognition (NER),ކޯސް ނަމު: ސިސްޓަމް އެންޖިނިއަރިން
Sentiment Analysis,އެއީ އާއިރާތް އެއްޗެއް އަންނަން ބެލެއްޖެ.
Sentiment Analysis,މި ކަމު ބޮޑު ބަހައްޓެއް ނެތް.
Sentiment Analysis,އެއީ ހަމަޖެހި މަރުހަބަރުގައި.
Sentiment Analysis,އެއީ ނުވަތަ އަސްވެރި ކަމަށް.
Sentiment Analysis,ނުބައި، އަލަންވީ.
Sentiment Analysis,އެހެން ދެއްވާލައްވާ!
Sentiment Analysis,އެއީ ބައްލަވާ.
Sentiment Analysis,އަށް ބޭއްވާ ކަމުގެ މަނާއި ވެރިން.
Sentiment Analysis,އާ ވަކިވެރި.
Sentiment Analysis,އެއީ ދެވިފައި ގޮތް.
Paraphrased & Augmented Sentences,އެއީ ހަދާ ވެސް ކަމަށް އަދި މަތީގެ އިތުރަށް.
Paraphrased & Augmented Sentences,އެހެން ދެއްވާލައްވާ، އެއީ ބައްލަވާ.
Paraphrased & Augmented Sentences,އެއީ ކުރިއަށް ބަޔާންކުރަންތެރި.
Paraphrased & Augmented Sentences,މި ކަމަށް އެކަމަށް މަގޭ ކާމުތަކެއް.
Paraphrased & Augmented Sentences,އާ ނުވަތަ، ހުޅުވާ!
Paraphrased & Augmented Sentences,ބެލުންތެރި ގޮތް އަޅާފައި!
Paraphrased & Augmented Sentences,ހަމަ ނުކުރައްވާލައްވާ.
Paraphrased & Augmented Sentences,ބަޔާންކުރެވޭ ދެއްވި އެކަމަށް.
Paraphrased & Augmented Sentences,އެއީ ނުވަތަ ކަމުގެ ކާމު.
Paraphrased & Augmented Sentences,އަލަންވީ، އެހެން އިތުރުކުރެވޭ.
