Category,Sentence (Tswana)
Grammar Core (Sentence Structures & Tenses),Ke ja dijo letsatsi le letsatsi.
Grammar Core (Sentence Structures & Tenses),O ne a tsamaya kwa marung.
Grammar Core (Sentence Structures & Tenses),Re tla bona kgosi kamoso.
Grammar Core (Sentence Structures & Tenses),Ba ka se bule lebati.
Grammar Core (Sentence Structures & Tenses),Ngwana o a opiwa ke sebete.
Grammar Core (Sentence Structures & Tenses),Basadi ba ne ba ntse ba bua.
Grammar Core (Sentence Structures & Tenses),Ke tla bo ke kwala lengolo.
Grammar Core (Sentence Structures & Tenses),Ga ke rate kofi mo mosong.
Grammar Core (Sentence Structures & Tenses),Mogolwane o tlaa neelwa mpho.
Grammar Core (Sentence Structures & Tenses),Re ne re sa itse gore go tla nna jaang.
Conversational Data (Real-Life Dialogues & Exchanges),"Dumêlang, o tsogile jang?"
Conversational Data (Real-Life Dialogues & Exchanges),"Ke tsogile sentle, wena o kae?"
Conversational Data (Real-Life Dialogues & Exchanges),Re ka kopana jang gompieno?
Conversational Data (Real-Life Dialogues & Exchanges),O batla go ja eng kajeno?
Conversational Data (Real-Life Dialogues & Exchanges),Ke tlaa tsena mo tirong ka borobabobedi.
Conversational Data (Real-Life Dialogues & Exchanges),A o kile wa bona Keba gompieno?
Conversational Data (Real-Life Dialogues & Exchanges),"Ee, o ne a tsamaya mo marakeng."
Conversational Data (Real-Life Dialogues & Exchanges),"Re tlaa buisana kamoso, ntsha mongwe."
Conversational Data (Real-Life Dialogues & Exchanges),Ke lebetse mogopo mo ntlong.
Conversational Data (Real-Life Dialogues & Exchanges),"Tshwarelela, ke ne ke sa reetsa sentle."
Code-Switching & Multilingualism,Ke ya shop go buy di-pants.
Code-Switching & Multilingualism,Re tlaa meet Friday after school.
Code-Switching & Multilingualism,O kae phone ya me?
Code-Switching & Multilingualism,That homework e ne e le hard!
Code-Switching & Multilingualism,A o bona gore teacher o strict?
Code-Switching & Multilingualism,Let’s go to class re se ka ra diega.
Code-Switching & Multilingualism,Ke kgonne distinction mo subject ya science.
Code-Switching & Multilingualism,"Yo ke friend ya me, Thabo."
Code-Switching & Multilingualism,We’ll talk later fa ke boa.
Code-Switching & Multilingualism,Tsala yame o driving a white car.
Formal & Professional Speech,Re lebogela tirisanyo-tsa-bosiamisi le kompone ya rona.
Formal & Professional Speech,Ngaka o tlhokometse balwetsi sentle.
Formal & Professional Speech,Molaotheo o tlhalosa melawana ya puso.
Formal & Professional Speech,Batsamaisi ba kopane go buisana ka ikonomi.
Formal & Professional Speech,Barutabana ba tshwanetse go ikamahanya le melao.
Formal & Professional Speech,Puso e abile dikhumo go tokafatsa matshelo.
Formal & Professional Speech,Kopano e simologile ka nako.
Formal & Professional Speech,Motlatsi wa motsamaisi o tlaa tsamaisa kgang.
Formal & Professional Speech,Go tlhokega dipampiri tse di feletseng.
Formal & Professional Speech,Go tshwanetse ga tlhokomelwa polokego ya data.
"Idioms, Proverbs & Cultural Expressions",Motho ke motho ka batho.
"Idioms, Proverbs & Cultural Expressions",Metsi ga a na mmala.
"Idioms, Proverbs & Cultural Expressions",Pelo e botlhoko ga e na mogatsa.
"Idioms, Proverbs & Cultural Expressions",Ngwana yo o sa leleng o swela tharing.
"Idioms, Proverbs & Cultural Expressions",Tau e tšhaba e le tlhako.
"Idioms, Proverbs & Cultural Expressions",Lerato ga le kgotlelwe ka letsogo.
"Idioms, Proverbs & Cultural Expressions",Loso ga lo kake lwa latediwa.
"Idioms, Proverbs & Cultural Expressions",Mogotsi ke mogotsi ka metsi.
"Idioms, Proverbs & Cultural Expressions",Mmoloki ga a tlholelwa.
"Idioms, Proverbs & Cultural Expressions",Tlhogo ga e latlhe se se e rwelang.
Question-Answer Pairs,O tsaya jang letsatsi la gago? - Ke simolola ka borobabobedi.
Question-Answer Pairs,O dula kae? - Ke dula Gaborone.
Question-Answer Pairs,Ke eng se o se ratang thata? - Ke rata go opela.
Question-Answer Pairs,O batla thuso ka eng? - Ke batla go tlhaloganya kgang.
Question-Answer Pairs,Nna ke mang mo setšhabeng? - Ke motseta.
Question-Answer Pairs,O ya kae? - Ke ya marakeng.
Question-Answer Pairs,"O itse Tumi? - Ee, ke tsala yame."
Question-Answer Pairs,Ke eng se se botlhokwa gompieno? - Go phepafatsa bokamoso.
Question-Answer Pairs,Leina la gago ke mang? - Leina lame ke Neo.
Question-Answer Pairs,O godile kae? - Ke godile mo Serowe.
Commands & Instructions,Tswela pele ka go bala.
Commands & Instructions,Bulela lebati.
Commands & Instructions,Tlhatswa diatla pele ga dijo.
Commands & Instructions,Tsamaya ka bonya.
Commands & Instructions,Emisa fa go botlhokwa.
Commands & Instructions,Botsa fa o sa tlhaloganye.
Commands & Instructions,Tlogela go dira jalo.
Commands & Instructions,Abela bangwe dijo.
Commands & Instructions,Kwetsa sefatlhego sa gago.
Commands & Instructions,Tlisa dipampiri fa.
Named Entity Recognition (NER) Data,Thato o ne a etela Francistown.
Named Entity Recognition (NER) Data,Puso e ne ya buisana le WHO.
Named Entity Recognition (NER) Data,Dipontsho di tlaa tshwarwa ka Seetebosigo.
Named Entity Recognition (NER) Data,Kgosi Mosadi o ne a bua mo phuthegong.
Named Entity Recognition (NER) Data,Kompone ya Debswana e tlotlomaditswe.
Named Entity Recognition (NER) Data,Bana ba ruta mo sekolong sa Legae.
Named Entity Recognition (NER) Data,Ofisi ya UN e kwa Gaborone.
Named Entity Recognition (NER) Data,President Masisi o buile mo palamenteng.
Named Entity Recognition (NER) Data,Botswana e mo borwa jwa Aforika.
Named Entity Recognition (NER) Data,Tlou ya diatla e tlhokomelwa ke BDF.
Sentiment Analysis Data,Ke ikutlwa ke le monate gompieno.
Sentiment Analysis Data,O nkutlwisa botlhoko.
Sentiment Analysis Data,Re ne re itumetse thata mo lenyalong.
Sentiment Analysis Data,Go botlhoko go bona se se diragalang.
Sentiment Analysis Data,Ke sa kgone go ema ka ntlha ya boitumelo.
Sentiment Analysis Data,A o sa itse gore ke galefile?
Sentiment Analysis Data,Lenyalo le le ne le le monate.
Sentiment Analysis Data,Ga ke kgotsofale ka ditshwanelo tsa me.
Sentiment Analysis Data,Ba ne ba galefile thata ka tshwetso eo.
Sentiment Analysis Data,Ke utlwa kutlobotlhoko mo pelong ya me.
Paraphrased & Augmented Sentences,Ke ya mmaraka go reka dijo.
Paraphrased & Augmented Sentences,Ke tlaa reka dijo mo mmarakeng.
Paraphrased & Augmented Sentences,"Go reka dijo, ke tshwanetse go ya mmarakeng."
Paraphrased & Augmented Sentences,Dijo ke tlaa di bona mo mmarakeng.
Paraphrased & Augmented Sentences,Ke etela mmaraka letsatsi le letsatsi go reka dijo.
Paraphrased & Augmented Sentences,Gompieno ke tshwanetse go ya mmarakeng ka ntlha ya dijo.
Paraphrased & Augmented Sentences,Ke tlaa tsena mo mmarakeng go reka dijo.
Paraphrased & Augmented Sentences,Ruri dijo di teng mo mmarakeng.
Paraphrased & Augmented Sentences,Ke batla dijo tse di rekiswang mo mmarakeng.
Paraphrased & Augmented Sentences,"Mo mmarakeng, ke tlaa fitlhela dijo tse ke di batlang."
