Categories,Sentences
Grammar Core,Nĩngũrĩa irio rĩu.
Grammar Core,Nĩndaarĩire thĩinĩ wa mũciĩ ũcio mũthenya ũcio.
Grammar Core,Nĩngũkũona rũciũ rwake.
Grammar Core,"Angĩkũrĩa irio, angĩkũgĩa wega."
Grammar Core,Ndĩrĩa nyama rĩu.
Grammar Core,Nyũmba ĩyo yathondekĩtwo na mũthuri ũcio.
Grammar Core,Tũkũheana mĩhĩrĩga mũthenya ũyũ.
Grammar Core,Aarĩ mũrutani mbere ya kũgũcokia wĩra.
Grammar Core,Mwana ũcio arĩ kũgĩa na atumia.
Grammar Core,Ngũthiĩ kũrĩa nginya ndĩ mũno.
Conversational Data,Wĩ mwega rĩu?
Conversational Data,"Ndĩ mwega, na we wĩ atĩa?"
Conversational Data,Nĩ atĩa ũtiga gũũka mũthenya ũcio?
Conversational Data,Ndaarĩ na wĩra mũingĩ sana.
Conversational Data,Tũgũthiĩ gũcokeria indo ciitũ rũciũ?
Conversational Data,"Ee, tũgũthiĩ hamwe na andũ angĩ."
Conversational Data,Ũhoro wa mũciĩ ũrĩ atĩa?
Conversational Data,"Ũhoro nĩ mwega, andũ othe marĩ mwega."
Conversational Data,Reke twarie thutha wa kũrĩa irio.
Conversational Data,"Nĩ sawa, ndĩhota kũgũkũrũmĩra."
Code-Switching & Multilingualism,Nĩngũthiĩ meeting rũciũ.
Code-Switching & Multilingualism,Twahurire na manager wa kampuni.
Code-Switching & Multilingualism,Ndĩ na assignment ya university.
Code-Switching & Multilingualism,Akaana marĩ online rĩu.
Code-Switching & Multilingualism,Tũgũplan project mbere ya Friday.
Code-Switching & Multilingualism,Nĩndacookire office mũthenya ũcio.
Code-Switching & Multilingualism,Nĩngũdownload report rĩu.
Code-Switching & Multilingualism,Tũrĩ na deadline mũthenya wa Thursday.
Code-Switching & Multilingualism,Aarĩ na interview ya job ĩyo.
Code-Switching & Multilingualism,Ngũsubmit form mbere ya lunch.
Formal & Professional Speech,Twĩhũgũte kũheana ũhoro wa kĩrĩra gĩa kampani.
Formal & Professional Speech,Gũtũmaga andũ maheane maoni ma kĩhoti.
Formal & Professional Speech,Ndũrĩ na burũri wa kũhoya ithomo rĩa ũgima.
Formal & Professional Speech,Mũndũ ũcio nĩ mũganga wa thibitari ĩyo.
Formal & Professional Speech,Tũkũhoya ũndũ ũcio ũrĩ na mũhianano mwega.
Formal & Professional Speech,Andũ marĩ kũrora ũhoro wa watho wa itũũra.
Formal & Professional Speech,Tũrĩ na mũhango wa kũrũgama thutha wa gũthondeka.
Formal & Professional Speech,Gĩkundi gĩa arutani gĩtwaragĩra ithomo rĩa sayansi.
Formal & Professional Speech,Mũhianano wa kĩhoti nĩ wa mũhĩrĩga othe.
Formal & Professional Speech,Ũhoro ũcio wathondekĩtwo na athamaki a kĩrĩra.
"Idioms, Proverbs & Cultural Expressions",Mũndũ ndarĩ mũthũngũ wa njamba.
"Idioms, Proverbs & Cultural Expressions",Gũtirĩ mũciĩ ũtakĩa thĩna.
"Idioms, Proverbs & Cultural Expressions",Mũhĩrĩga ndũgĩrĩrwo nĩ mũndũ ũmwe.
"Idioms, Proverbs & Cultural Expressions",Ngoma ĩrĩa ĩtarĩ mũndũ ĩgũcokerio nĩ ũrĩa ũrĩ ho.
"Idioms, Proverbs & Cultural Expressions",Maji ma rũĩ ndĩmageragio hamwe.
"Idioms, Proverbs & Cultural Expressions",Mũndũ mũnene ndagĩrĩra mwana.
"Idioms, Proverbs & Cultural Expressions",Kĩrĩa gĩkũrũ kĩrĩ na mĩtĩ mĩingĩ.
"Idioms, Proverbs & Cultural Expressions",Mũciĩ ndũgĩrĩrwo nĩ mũndũ ũmwe.
"Idioms, Proverbs & Cultural Expressions",Ũrĩa ũtarĩ ũhoro ndagĩa ndeto.
"Idioms, Proverbs & Cultural Expressions",Kĩrĩa kĩa mũhĩrĩga nĩ kĩa othe.
Question-Answer Pairs,Nĩ rũciũ rũgĩkũ?
Question-Answer Pairs,Rũciũ nĩ rwa Mũgwanja.
Question-Answer Pairs,Nĩ ũrĩa wathemere kũrĩa irio?
Question-Answer Pairs,Nĩ mũrutani ũcio wathemere.
Question-Answer Pairs,Nĩ kũrĩa kũrĩa gĩthomo gĩkũ?
Question-Answer Pairs,Gĩthomo gĩrĩ thĩinĩ wa mũciĩ wa Thika.
Question-Answer Pairs,Nĩ atĩa twangĩhota gũkũra?
Question-Answer Pairs,Twangĩhota gũkũra na kũheana ũrata.
Question-Answer Pairs,Nĩ ũndũ ũrĩa ũgũtũmaga tũkenye?
Question-Answer Pairs,Ũhoro mwega nĩguo ũgũtũmaga tũkenye.
Commands & Instructions,Thiĩ ũkarehe irio.
Commands & Instructions,Hoya ũhoro mbere ya gũthiĩ.
Commands & Instructions,Andĩka rĩĩtwa rĩaku haha.
Commands & Instructions,Reke twambĩre wĩra rĩu.
Commands & Instructions,Coka mbere ya gũtukũ.
Commands & Instructions,Ruta indo ciaku thĩinĩ wa nyũmba.
Commands & Instructions,Menya ũhoro mbere ya gũcookia.
Commands & Instructions,Thomera akaana ibuku rĩu.
Commands & Instructions,Hekera mũgeni kĩrĩra.
Commands & Instructions,Hũthĩra mũciĩ mbere ya gũthiĩ.
Named Entity Recognition (NER),Ngũthiĩ Thika rũciũ.
Named Entity Recognition (NER),Uhuru Kenyatta aarĩ mũthamaki wa Kenya.
Named Entity Recognition (NER),Mũciĩ wa Nairobi nĩ mũnene mũno.
Named Entity Recognition (NER),Rwĩmbo rwa Mount Kenya nĩ rũnene.
Named Entity Recognition (NER),Tũgũcokera gũkũ Mũrang'a mũthenya wa Mũgwanja.
Named Entity Recognition (NER),Kikuyu nĩ rũgano rũrĩa rwĩrĩtie andũ a Gĩkũyũ.
Named Entity Recognition (NER),Gĩthomo gĩrĩ Kenyatta University nĩ kĩnene.
Named Entity Recognition (NER),Rũĩ rwa Tana rũgĩthĩrĩra thĩ yothe.
Named Entity Recognition (NER),Tũgũthiĩ gũcokia ithomo rĩa Alliance High School.
Named Entity Recognition (NER),Mũthenya wa Madaraka ũhũthagwo Kenya.
Sentiment Analysis,Ndĩ na gĩkeno kĩingĩ mũthenya ũyũ.
Sentiment Analysis,Ngwĩhoka mũno na ũhoro ũcio.
Sentiment Analysis,Ndĩ na thĩna mũnene rĩu.
Sentiment Analysis,Ũhoro ũcio wanjũrĩtie ngoro.
Sentiment Analysis,Ndĩrĩ na wĩtĩkio na ũhoro ũcio.
Sentiment Analysis,Ngoro yakwa ĩrĩ na thayũ.
Sentiment Analysis,Ndĩ na mũrimũ mũingĩ mũno.
Sentiment Analysis,Ũhoro ũcio nĩ wa gũkenia.
Sentiment Analysis,Ndĩrĩ na kĩeha rĩu.
Sentiment Analysis,Nĩngũigua ũhoro ũcio na ũrĩa mwega.
Paraphrased & Augmented Sentences,Nĩngũthiĩ gũthoma rũciũ.
Paraphrased & Augmented Sentences,Rũciũ nĩngũthiĩ gũthoma.
Paraphrased & Augmented Sentences,Ngũthiĩ gũthoma mũthenya ũcio.
