Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Ma chin b'eet tuj b'e tu'n nxi' inwil twitz q'ij.
Grammar Core (Sentence Structures & Tenses),Nchin tz'ib'an jun u'j ti'j qyol Mam tuj ja xnaq'tzb'il.
Grammar Core (Sentence Structures & Tenses),Ok chin xnaq'tzan kab'e q'ij tu'n t-xi' b'a'n inq'ij.
Grammar Core (Sentence Structures & Tenses),Mi n-ok tze'n nten witz q'ij tu'n nti' q'ij.
Grammar Core (Sentence Structures & Tenses),Ma tzaj tzyet jun chenaq' tu'n tal nim kyaqil.
Grammar Core (Sentence Structures & Tenses),"Qa b'a'n q'ij, ok qo b'eet kyuk'a qxjalil."
Grammar Core (Sentence Structures & Tenses),Ma tzaj b'ixb'il jun b'ix tu'n qtxu kyuk'a tal.
Grammar Core (Sentence Structures & Tenses),N-ok inq'o'n wa'j tuj mexa noq tu'n t-xi' ch'in q'ij.
Grammar Core (Sentence Structures & Tenses),"Mi ma tzaj inna'n ti'j u'j, pero ok chin siky'in ja'lin."
Grammar Core (Sentence Structures & Tenses),"Ta' tze'n nb'ant, matij qo ok ten tuj tnam."
Conversational Data (Real-Life Dialogues & Exchanges),"B'a'n q'ij, tza'n tb'anil? — B'a'n, matij nten."
Conversational Data (Real-Life Dialogues & Exchanges),¿Ja'lin ma tzaj awil? — Ma tzaj wil tuj k'ayb'il.
Conversational Data (Real-Life Dialogues & Exchanges),"Chjonte, ¿at jun q'ij tu'n qo yolb'in? — At, chqaj q'ij."
Conversational Data (Real-Life Dialogues & Exchanges),"Nchin ok tuj ja; ¿la kub' tzaqpi'n te jaq'? — B'a'n, kub' tzaqpi'n."
Conversational Data (Real-Life Dialogues & Exchanges),¿Tiqu'n mi xjaw tzaj awu'n? — Ma tzaj q'ij kyib' tuj b'e.
Conversational Data (Real-Life Dialogues & Exchanges),"Qo b'eet nimxix; ¿la at aawa'? — At, chq'o'n ch'in wa'j."
Conversational Data (Real-Life Dialogues & Exchanges),"Qajaw qyol Mam tuj ja, pero qajaw kaxlan qyol tuj k'ayb'il."
Conversational Data (Real-Life Dialogues & Exchanges),"¿Tza'n nb'ant t-xnaq'tzb'il? — Tb'anil, nim n-ok inna'n."
Conversational Data (Real-Life Dialogues & Exchanges),"Ma tzaj nna'n ti'j atz? — Ja', b'a'n ta' twitz inna'b'l."
Conversational Data (Real-Life Dialogues & Exchanges),Chjonte kyuk'a; ok chin meltz'oj te chqaj.
Code-Switching & Multilingualism,"Tuj ja qyolb'in Mam, ex tuj k'ayb'il qyolb'in kaxlan qyol."
Code-Switching & Multilingualism,"Ma tzaj jun mensaje tuj in teléfono, pero inna'n ti'j tuj Mam."
Code-Switching & Multilingualism,"Aj tx'otx' Ixtahuacán, qxjal qyolb'in Mam kyuk'a ch'in kaxlan qyol."
Code-Switching & Multilingualism,"Tzaj q'o'n jun cita médica, ex qajaw t-xi' tniky' ti'j tuj qyol Mam."
