Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Au e olo ki te fale apogā i aso katoa.
Grammar Core (Sentence Structures & Tenses),Ne alu au ki te māsaki ananafi.
Grammar Core (Sentence Structures & Tenses),Ka olo au ki te fale ā taeao.
Grammar Core (Sentence Structures & Tenses),"Kae ko au, e se fia o atu ki te taone."
Grammar Core (Sentence Structures & Tenses),E fakamolemole te galuega māfaufau.
Grammar Core (Sentence Structures & Tenses),E fakaaoga ne ia te tusi mō te sukesu.
Grammar Core (Sentence Structures & Tenses),Kua fakamalosi ne latou a ia ke galue malosi.
Grammar Core (Sentence Structures & Tenses),E se iloa ne au me e a te tagata tenei e nofo i Funafuti.
Grammar Core (Sentence Structures & Tenses),Kua fakamoe ne te fafine te pepe i luga i te moega.
Grammar Core (Sentence Structures & Tenses),E mafai ne au o tausi i aku taina pe a oti te galuega.
Conversational Data (Real-Life Dialogues & Exchanges),Talofa! E ā koe nei?
Conversational Data (Real-Life Dialogues & Exchanges),"E lelei au, kae koe?"
Conversational Data (Real-Life Dialogues & Exchanges),E fia inu koe i te vai?
Conversational Data (Real-Life Dialogues & Exchanges),"Io, fakamolemole tuku mai se ipu vai māfanafana."
Conversational Data (Real-Life Dialogues & Exchanges),Ne koe i te fale ānafi?
Conversational Data (Real-Life Dialogues & Exchanges),"Ikai, ne nofo au i te koga faigaluega."
Conversational Data (Real-Life Dialogues & Exchanges),E fia o tatou ki te maneapa ā te pō nei?
Conversational Data (Real-Life Dialogues & Exchanges),"Io, e fiafia au o olo faeloa."
Conversational Data (Real-Life Dialogues & Exchanges),Ko ai te tagata tenei i te auala?
Conversational Data (Real-Life Dialogues & Exchanges),E foliga mai ko te tino fou mai i te motu.
Code-Switching & Multilingualism,E fiafia au i te fiafia i te fale kae sometimes I want to go out.
Code-Switching & Multilingualism,Ko taku mātua e masani o saying 'hard work pays off'.
Code-Switching & Multilingualism,E cool a koe ki te galue i te office fou.
Code-Switching & Multilingualism,"Io, that’s true, e lelei te mea tenei."
Code-Switching & Multilingualism,Ne fano au ki te store kae e open only i te afiafi.
Code-Switching & Multilingualism,"E se bad te mea tenei, e fakafou mai te loto."
Code-Switching & Multilingualism,Ko taku fanau e fiafia i te TV shows mai i Apelēkia.
Code-Switching & Multilingualism,Sometimes e galo ne au te taimi ona ko te galuega.
Code-Switching & Multilingualism,"E great te aso nei, e mālū loa te matagi."
Code-Switching & Multilingualism,"Kae honestly, e fakamā ne au te talanoa atu i tino kātoa."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Fakamolemole, fakamautinoa ne koe a fakamaoniga o te lipoti."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E fakamaoni ne matou a te tusi fakaalofa mō te koga faigaluega.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E manaʻomia ke maua ne koe te faipisinisi license mō te kamupani.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ko te fomaʻi ne fakamalosi ke inu te maʻi i ana fakamalolo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E tau ke fakamae mua ne te ofisa te pepa fakamatalaga.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ko te pule o te galuega e fia feiloaki i te Aso Lua.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E fai ne tatou te fono mō te fakalavelave i te vai.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",E aofia i te lipoti a te fuafuaga fakatekinolosi mō te tausaga fou.
