Categories,Sentences
Grammar Core,Mi vegni a Milan ogni setemana per visità i mè amis.
Grammar Core,Lù l'aveva già finì el liber quand son rivaa.
Grammar Core,Domàn andarèm a Berghem se el temp el sarà bel.
Grammar Core,"Se podess, compreressi ona cà in riva al laagh."
Grammar Core,No gh'è nissun che capissa perché la porta la sia seràda.
Grammar Core,La lettera la sarà mandada domàn de matin.
Grammar Core,I fioeu hinn staa insegnaa a rispettà i anzian.
Grammar Core,"Quand eri piscinin, giugavi semper in cortil."
Grammar Core,"Se te me ciamet, vegnirò subit sensa esitazion."
Grammar Core,La riunion la vegn annullada per via del maltemp.
Conversational Data,"Ciau, te set già rivaa o te seet ancamò in treno?"
Conversational Data,A che ura se tróven domàn davanti al domm?
Conversational Data,"No me senti tant ben incoeu, preferissi restà a cà."
Conversational Data,Te gh'heet vist quel film nov che parlen tücc?
Conversational Data,"Va ben, allora ghe senti pü tard dopo cena."
Conversational Data,"Scüsa, te podet indicam la strada per la stazion?"
Conversational Data,"L'è ona vita che no se vedom, cume te stet?"
Conversational Data,Dumanega andemm a fà ona girada sui muntagn.
Conversational Data,"No t'inquietà, penserò mì a prenotà i bigliett."
Conversational Data,"Se voeuret, podom ciaciarà davanti a on cafè."
Code-Switching & Multilingualism,In uffici tücc fann smart working al venardì.
Code-Switching & Multilingualism,El meeting de stamattina l'è staa propi produttiv.
Code-Switching & Multilingualism,Ghe mandi un messaggio su WhatsApp pussee tard.
Code-Switching & Multilingualism,La customer experience la dev vess migliorada.
Code-Switching & Multilingualism,Domàn gh'avemm una call con i client frances.
Code-Switching & Multilingualism,El project manager el vusa semper quand gh'è stress.
Code-Switching & Multilingualism,Sto weekend andemm a fare shopping in centro.
Code-Switching & Multilingualism,I ragazz usen spesso mixà l'ingles con el lombard.
Code-Switching & Multilingualism,Ho uploadaa i document sul server de l'aziènda.
Code-Switching & Multilingualism,La startup la cerca sviluppador con esperienza AI.
Formal & Professional Speech,"Gentil signor, la ringraziom per la sò collaborazion."
Formal & Professional Speech,El pazient el dovrà seguì la terapia prescritta dal dutur.
Formal & Professional Speech,La società la presenterà el bilanci annual entro fin mes.
Formal & Professional Speech,"Second el contrat, el pagament el va effettuà entro trenta dì."
Formal & Professional Speech,L'intervent tecnic el sarà completà senza interromp el servizzi.
Formal & Professional Speech,I ricercador hinn impegnà nel svilup de novi vaccini.
Formal & Professional Speech,La pratica legala la necessità ulteriur documentazion ufficial.
Formal & Professional Speech,El software el gestiss automàticament i dat finanziari.
Formal & Professional Speech,La direzion la richied ona comunicazion ciara e professionala.
Formal & Professional Speech,El rapport medical el conferma on migliorament gradual.
"Idioms, Proverbs & Cultural Expressions","Quand el gat el manca, i ratt i balen."
"Idioms, Proverbs & Cultural Expressions",L'è mej on œuf incoeu che ona galina domàn.
"Idioms, Proverbs & Cultural Expressions","Chi va pian, va lontan."
"Idioms, Proverbs & Cultural Expressions",Tirà tròpp la cuerda la se spezza.
"Idioms, Proverbs & Cultural Expressions",Ogni scarrafon l'è bel a sò mama.
"Idioms, Proverbs & Cultural Expressions",A parlà tropp se finiss per sbaglià.
"Idioms, Proverbs & Cultural Expressions",El temp l'è on gran maester de vita.
"Idioms, Proverbs & Cultural Expressions","Quell che no te coppa, te fortifica."
"Idioms, Proverbs & Cultural Expressions",L'acqua passada no la macina pü.
