Categories,Sentences
Grammar Core,Nagbasa ako han libro kagab-i antes matulog.
Grammar Core,Nagbabasá hiya hin nobela kada hapon.
Grammar Core,Mabasa kami han kontrata buwas.
Grammar Core,Magbabasá ako kun may oras pa ako.
Grammar Core,Wara ako magbasa han mensahe.
Grammar Core,Ginbasa an surat han direktor han kompanya.
Grammar Core,Nagkadto kami ha Baybay City han nagligad nga semana.
Grammar Core,Makadto hira ha kumperensya kon maaprubahan an pondo.
Grammar Core,Nag-aaral pa hiya han medisina bisan makuri an kurso.
Grammar Core,Natapos na namon an proyekto antes an deadline.
Conversational Data,Kumusta ka? Dugay na kita waray magkita.
Conversational Data,"Maopay man ako, busy la ha trabaho hini nga mga adlaw."
Conversational Data,Adi ka ba ha plaza yana? Magkita kita didto.
Conversational Data,"Diri ako makadto yana, may pamilya ako nga gin-aasikaso."
Conversational Data,Ano an plano naton para han piyesta ha Baybay?
Conversational Data,Basin makakaon kita ha gawas kun may oras ka.
Conversational Data,"Sige, text la ako kon andam ka na."
Conversational Data,"Salamat gud ha pagbulig kahapon, dako an naitabang mo."
Conversational Data,"Wara problema, nalipay ako nga nakabulig."
Conversational Data,"Kitakits buwas ha eskwelahan, ayaw pagpalate."
Code-Switching & Multilingualism,May meeting kami buwas pero tentative pa an schedule.
Code-Switching & Multilingualism,Nag-submit ako han report pero may kulang pa nga attachment.
Code-Switching & Multilingualism,Magda-drive ako pakadto ha office antes mag-lunch.
Code-Switching & Multilingualism,Pwede ba nimo i-forward an email ha akon?
Code-Switching & Multilingualism,Nag-review ako para han final exam next week.
Code-Switching & Multilingualism,May deadline kami yana nga quarter para han project.
Code-Switching & Multilingualism,Mag-update ako ha team chat kun may changes.
Code-Switching & Multilingualism,Nag-apply hiya hin online job samtang naga-eskwela.
Code-Switching & Multilingualism,Please i-confirm kun available ka ha Friday.
Code-Switching & Multilingualism,Nag-budget kami para han upcoming event ha city hall.
Formal & Professional Speech,"Sumala han opisyal nga memorandum, kinahanglan isumite an dokumento antes Marso 5."
Formal & Professional Speech,An pasyente gin-admit ha ospital tungod han komplikasyon ha baga.
Formal & Professional Speech,Ini nga kontrata nagpapahayag han legal nga obligasyon han duha nga partido.
Formal & Professional Speech,Ginrekomenda han inhenyero an teknikal nga pag-usisa han estruktura.
Formal & Professional Speech,An kompanya nagpatuman hin bag-o nga polisiya ha seguridad.
Formal & Professional Speech,"Sumala han datos han Department of Health, nagtaas an kaso han dengue."
Formal & Professional Speech,Kinahanglan sundon an standard operating procedure ha laboratoryo.
Formal & Professional Speech,An abogado nagpresentar hin ebidensya ha korte.
Formal & Professional Speech,Gin-aprubahan han konseho an resolusyon mahitungod han badyet.
