Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Ta Bonga gabiyoo biye.
Grammar Core (Sentence Structures & Tenses),Ta Bonga gabiyoo biitane.
Grammar Core (Sentence Structures & Tenses),Ta wonni Bonga gabiyoo biitane.
Grammar Core (Sentence Structures & Tenses),Ta maacoo bekkibeenone.
Grammar Core (Sentence Structures & Tenses),Ta maacoo bekkibeenna.
Grammar Core (Sentence Structures & Tenses),"Ne yiite, nuuni qocoo oochchitane."
Grammar Core (Sentence Structures & Tenses),Arijoo qoodi oochchame.
Grammar Core (Sentence Structures & Tenses),Gaashoo kaashoon goyame.
Grammar Core (Sentence Structures & Tenses),"Ta biyaane, neen tishini."
Grammar Core (Sentence Structures & Tenses),"Ínni yiibeenoon, nuuni kuttoo qoppibeenone."
Conversational Data (Real-Life Dialogues & Exchanges),Ne shunoo aabee? Ta shunoo Kabbadaa.
Conversational Data (Real-Life Dialogues & Exchanges),Ne hambaa biitane? Ta gabiyoo biitane.
Conversational Data (Real-Life Dialogues & Exchanges),"Maacoo qoppe? Ee, maacoo qoppe."
Conversational Data (Real-Life Dialogues & Exchanges),Ne qawoon yiite? Ta qawoon yiitane.
Conversational Data (Real-Life Dialogues & Exchanges),"Ínni: Neen biyaane? Ishi: Ee, ta biitane."
Conversational Data (Real-Life Dialogues & Exchanges),"Amoo: Kuttoo shunete? Naatoo: Ee, kuttoo shunete."
Conversational Data (Real-Life Dialogues & Exchanges),Neen woyee qitiyo; nuuni hachchi oochchitane.
Conversational Data (Real-Life Dialogues & Exchanges),"Maacoo, taani neen qaaloo qoodde bekkibeenone."
Conversational Data (Real-Life Dialogues & Exchanges),"Gabiyoon aabee gatishe? Bunoone, shaawoone gatishe."
Conversational Data (Real-Life Dialogues & Exchanges),Qawoon woyiteenna; nuuni shoochchi shoochchi biitane.
Code-Switching & Multilingualism,Ta email-oo hachchi eribeenone.
Code-Switching & Multilingualism,Meeting-ii qawoon saatee lamaa oochchame.
Code-Switching & Multilingualism,"Ne phone-oo silent gooshi, maacoo."
Code-Switching & Multilingualism,Internet-ii qoodde shunkkoon ta file-oo eribeenna.
Code-Switching & Multilingualism,Nuuni project-oo Bonga office-on qoppitane.
Code-Switching & Multilingualism,Doctor-ii appointment-oo wonni qawoon wone.
Code-Switching & Multilingualism,Ta teacher-ii homework-oo hachchi eriyo wone.
Code-Switching & Multilingualism,Gabiyoon mobile payment-ii qoodde fayyishe.
Code-Switching & Multilingualism,Ne password-oo ashoon qaalibeenna.
Code-Switching & Multilingualism,Bus-ii late wone; nuuni taxi-oon biitane.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ne kashoo qoodde galatomi; qaaloo qawoon eriyobe.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Qocoo woraqati qoodde seerroon qoppame.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Shaggee qaaloo qoodde galmee keessa erame.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Doktoorii ne gichoo qoodde qorate.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Fayyimii qaaloo qoodde naaton qoodame.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tekinikaa rakkoo qoodde qoruun furame.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Waajjirii qawoon saatee saddeetoon baname.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Bitii fi gurgurii qaaloo woraqattoon qoppame.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Seerii ashoon qoodde wal-qixxummaa eegishe.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Qocoo xumuroo qoodde gabaasii erame.
"Idioms, Proverbs & Cultural Expressions",Gutta yeexaroo gaashoo gogahe wone.
"Idioms, Proverbs & Cultural Expressions",Ashi gattoo gibanaaye ne kootaroo battaaye.
"Idioms, Proverbs & Cultural Expressions","Qawoon woyiteenna, kootaroo battaaye."
"Idioms, Proverbs & Cultural Expressions",Yeexaroo shoochchi shoochchi beete.
"Idioms, Proverbs & Cultural Expressions",Gaashoo gogaheesin kashoo qoodde.
"Idioms, Proverbs & Cultural Expressions","Ashii qaaloo qoodde, qawoon oochchiyo."
"Idioms, Proverbs & Cultural Expressions","Maacoo gichoon qoodde, qaaloo afeen qoodde."
"Idioms, Proverbs & Cultural Expressions",Bunoo shunkkoon qaaloo dheerate.
"Idioms, Proverbs & Cultural Expressions","Naatoo qalbi qoodde, kaashii gaashoo qoodde."
"Idioms, Proverbs & Cultural Expressions","Bonga qawoon qoppii, ashoon qaaloo qoppii."
Question-Answer Pairs (FAQ & Contextual Understanding),Kafí noonoo hambaa qaalame? Kafa zoonoon qaalame.
Question-Answer Pairs (FAQ & Contextual Understanding),Bonga hambaa beete? Kafa zoonoon beete.
Question-Answer Pairs (FAQ & Contextual Understanding),Bunoo aabee? Bunoo shunkkoo giidiyo wone.
Question-Answer Pairs (FAQ & Contextual Understanding),Qawoon aabee baname? Saatee saddeetoon baname.
Question-Answer Pairs (FAQ & Contextual Understanding),Neen hambaa biitane? Ta waajjirii biitane.
