Category,Sentence
Grammar Core (Sentence Structures & Tenses),میں نے کل ایک کتاب پڑھی۔
Grammar Core (Sentence Structures & Tenses),وہ ہر روز سکول جاتا ہے۔
Grammar Core (Sentence Structures & Tenses),ہم کل لاہور جائیں گے۔
Grammar Core (Sentence Structures & Tenses),اگر بارش ہوئی تو ہم باہر نہیں جائیں گے۔
Grammar Core (Sentence Structures & Tenses),یہ خط انگریزی میں لکھا گیا تھا۔
Grammar Core (Sentence Structures & Tenses),کیا تم نے اپنا کام مکمل کر لیا؟
Grammar Core (Sentence Structures & Tenses),اگر تم محنت کرو گے تو کامیاب ہو جاؤ گے۔
Grammar Core (Sentence Structures & Tenses),یہ کام پانچ بجے تک مکمل ہونا چاہیے۔
Grammar Core (Sentence Structures & Tenses),مجھے امید ہے کہ تم وقت پر پہنچو گے۔
Grammar Core (Sentence Structures & Tenses),وہ کبھی جھوٹ نہیں بولتا۔
Conversational Data (Real-Life Dialogues & Exchanges),السلام علیکم! آپ کیسے ہیں؟
Conversational Data (Real-Life Dialogues & Exchanges),میں ٹھیک ہوں، شکریہ! اور آپ؟
Conversational Data (Real-Life Dialogues & Exchanges),کیا آپ مجھے راستہ بتا سکتے ہیں؟
Conversational Data (Real-Life Dialogues & Exchanges),ہاں، سیدھے جائیں اور بائیں مڑیں۔
Conversational Data (Real-Life Dialogues & Exchanges),یہ کتاب کتنے کی ہے؟
Conversational Data (Real-Life Dialogues & Exchanges),یہ پانچ سو روپے کی ہے۔
Conversational Data (Real-Life Dialogues & Exchanges),کیا آپ کے پاس چاکلیٹ کیک ہے؟
Conversational Data (Real-Life Dialogues & Exchanges),جی ہاں، ہمارے پاس مختلف اقسام کے کیک موجود ہیں۔
Conversational Data (Real-Life Dialogues & Exchanges),کیا آپ کل میرے گھر آ سکتے ہیں؟
Conversational Data (Real-Life Dialogues & Exchanges),معذرت، کل میری مصروفیت ہے۔
Code-Switching & Multilingualism,یہ کافی place بہت خوبصورت ہے۔
Code-Switching & Multilingualism,کیا تمہیں weekend پر جانا ہے؟
Code-Switching & Multilingualism,میرے laptop کی battery ختم ہو گئی ہے۔
Code-Switching & Multilingualism,Let's meet at the mall after lunch.
Code-Switching & Multilingualism,آج کے دن کا plan کیا ہے؟
Code-Switching & Multilingualism,یہ چیز بہت expensive ہے۔
Code-Switching & Multilingualism,تم نے latest movie دیکھی؟
Code-Switching & Multilingualism,یہ software میرے system میں install نہیں ہو رہا۔
Code-Switching & Multilingualism,کیا تمہیں WiFi کا password معلوم ہے؟
Code-Switching & Multilingualism,یہ experience بہت amazing تھا!
"Formal & Professional Speech (Business, Legal, Medical, Technical)",یہ معاہدہ قانونی طور پر درست ہے۔
"Formal & Professional Speech (Business, Legal, Medical, Technical)",براہ کرم اپنی معلومات یہاں درج کریں۔
"Formal & Professional Speech (Business, Legal, Medical, Technical)",آپ کی طبیعت کیسی ہے؟
"Formal & Professional Speech (Business, Legal, Medical, Technical)",یہ دوا دن میں دو بار لینی ہے۔
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ہماری کمپنی بہترین سروس فراہم کرتی ہے۔
"Formal & Professional Speech (Business, Legal, Medical, Technical)",براہ کرم اپنے دستاویزات جمع کروا دیں۔
"Formal & Professional Speech (Business, Legal, Medical, Technical)",آج کی میٹنگ کا ایجنڈا کیا ہے؟
"Formal & Professional Speech (Business, Legal, Medical, Technical)",براہ کرم اپنی رائے پیش کریں۔
"Formal & Professional Speech (Business, Legal, Medical, Technical)",یہ پروجیکٹ اگلے ہفتے مکمل ہونا چاہیے۔
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ہم آپ کی رائے کی قدر کرتے ہیں۔
"Idioms, Proverbs & Cultural Expressions",نیکی کر دریا میں ڈال۔
"Idioms, Proverbs & Cultural Expressions",اونٹ کے منہ میں زیرا۔
"Idioms, Proverbs & Cultural Expressions",جلدی کا کام شیطان کا۔
"Idioms, Proverbs & Cultural Expressions",وقت کسی کا انتظار نہیں کرتا۔
"Idioms, Proverbs & Cultural Expressions",دودھ کا جلا چھاچھ بھی پھونک کر پیتا ہے۔
"Idioms, Proverbs & Cultural Expressions",اندھا کیا چاہے، دو آنکھیں۔
"Idioms, Proverbs & Cultural Expressions",پہلے تولو پھر بولو۔
"Idioms, Proverbs & Cultural Expressions",دو اور دو چار ہوتے ہیں۔
"Idioms, Proverbs & Cultural Expressions",اپنے پاؤں پر کلہاڑی مارنا۔
"Idioms, Proverbs & Cultural Expressions",ہر کام کا وقت ہوتا ہے۔
Question-Answer Pairs (FAQ & Contextual Understanding),آپ کا نام کیا ہے؟ - میرا نام احمد ہے۔
Question-Answer Pairs (FAQ & Contextual Understanding),یہ کتاب کہاں سے خریدی جا سکتی ہے؟ - کسی بھی بک اسٹور سے۔
Question-Answer Pairs (FAQ & Contextual Understanding),کیا آپ کو اردو آتی ہے؟ - جی ہاں، آتی ہے۔
Question-Answer Pairs (FAQ & Contextual Understanding),سب سے بڑا دریا کون سا ہے؟ - دریائے سندھ۔
Question-Answer Pairs (FAQ & Contextual Understanding),پاکستان کا دارالحکومت کیا ہے؟ - اسلام آباد۔
Question-Answer Pairs (FAQ & Contextual Understanding),آپ کہاں رہتے ہیں؟ - میں کراچی میں رہتا ہوں۔
Question-Answer Pairs (FAQ & Contextual Understanding),کیا آپ کو کافی پسند ہے؟ - جی ہاں، بہت۔
Question-Answer Pairs (FAQ & Contextual Understanding),یہ کتنا مہنگا ہے؟ - تقریباً پانچ ہزار روپے۔
Question-Answer Pairs (FAQ & Contextual Understanding),کیا آپ مجھے وقت بتا سکتے ہیں؟ - ہاں، ساڑھے تین بجے ہیں۔
Question-Answer Pairs (FAQ & Contextual Understanding),آج کا موسم کیسا ہے؟ - بہت خوشگوار ہے۔
Commands & Instructions (Imperative Sentences),براہ کرم دروازہ بند کریں۔
Commands & Instructions (Imperative Sentences),اپنا کام جلدی مکمل کرو۔
Commands & Instructions (Imperative Sentences),یہاں آ کر بیٹھو۔
Commands & Instructions (Imperative Sentences),کتاب واپس رکھ دو۔
Commands & Instructions (Imperative Sentences),یہاں سگریٹ نوشی منع ہے۔
Commands & Instructions (Imperative Sentences),براہ کرم خاموش رہیں۔
Commands & Instructions (Imperative Sentences),اپنا فون چارج کرو۔
Commands & Instructions (Imperative Sentences),گاڑی آہستہ چلائیں۔
Commands & Instructions (Imperative Sentences),مجھے پانی دو۔
