Category,Sentence (Vietnamese)
Grammar Core (Sentence Structures & Tenses),Tôi đã đi đến chợ sáng nay.
Grammar Core (Sentence Structures & Tenses),Anh ấy sẽ học bài vào tối nay.
Grammar Core (Sentence Structures & Tenses),"Nếu trời mưa, chúng ta sẽ không đi chơi."
Grammar Core (Sentence Structures & Tenses),Bức thư này đã được gửi vào tuần trước.
Grammar Core (Sentence Structures & Tenses),Họ đang ăn tối khi tôi đến.
Grammar Core (Sentence Structures & Tenses),Cô ấy không thể làm việc vì bị ốm.
Grammar Core (Sentence Structures & Tenses),Bài hát này được viết bởi một nhạc sĩ nổi tiếng.
Grammar Core (Sentence Structures & Tenses),Tôi sẽ không rời khỏi nhà trừ khi có việc gấp.
Grammar Core (Sentence Structures & Tenses),Họ đã từng sống ở Hà Nội trước đây.
Grammar Core (Sentence Structures & Tenses),Có lẽ tôi sẽ mua một chiếc điện thoại mới.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Chào bạn! Bạn khỏe không? B: Mình khỏe, cảm ơn!"
Conversational Data (Real-Life Dialogues & Exchanges),"A: Bạn có rảnh vào cuối tuần này không? B: Có, chúng ta đi xem phim nhé!"
Conversational Data (Real-Life Dialogues & Exchanges),A: Bạn đang làm gì vậy? B: Mình đang học bài.
Conversational Data (Real-Life Dialogues & Exchanges),A: Giá của chiếc áo này là bao nhiêu? B: Nó có giá 500 nghìn đồng.
Conversational Data (Real-Life Dialogues & Exchanges),"A: Bạn có thể giúp tôi với bài tập này không? B: Được chứ, để mình xem nào."
Conversational Data (Real-Life Dialogues & Exchanges),"A: Xin lỗi, tôi có thể hỏi đường đến bưu điện không? B: Đương nhiên! Đi thẳng và rẽ phải."
Conversational Data (Real-Life Dialogues & Exchanges),A: Chúng ta đặt món gì đây? B: Bạn thích ăn gì nào?
Conversational Data (Real-Life Dialogues & Exchanges),"A: Bạn có nghe bài hát mới chưa? B: Rồi, rất hay!"
Conversational Data (Real-Life Dialogues & Exchanges),A: Mai có tiết học lúc mấy giờ? B: 8 giờ sáng nhé.
Conversational Data (Real-Life Dialogues & Exchanges),A: Bạn có thể chờ một chút không? B: Không vấn đề gì.
Code-Switching & Multilingualism,Hôm nay mình sẽ đi meeting với team.
Code-Switching & Multilingualism,Anh có thể check giúp em email đó không?
Code-Switching & Multilingualism,Tối nay mình sẽ đi ăn BBQ với bạn.
Code-Switching & Multilingualism,Tôi đã submit bài báo cáo vào sáng nay.
Code-Switching & Multilingualism,Bạn có thể suggest một quán cà phê ngon không?
Code-Switching & Multilingualism,Mẹ mình rất thích shopping ở trung tâm thương mại.
Code-Switching & Multilingualism,Anh ấy đã download tài liệu từ trang web.
Code-Switching & Multilingualism,Chúng ta sẽ brainstorm ý tưởng vào ngày mai.
Code-Switching & Multilingualism,Tôi đang install một phần mềm mới.
Code-Switching & Multilingualism,Họ prefer ăn đồ Hàn hơn đồ Nhật.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Kính gửi ông/bà, tôi muốn đặt lịch hẹn vào ngày mai."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Hợp đồng này sẽ có hiệu lực từ ngày 1 tháng 4.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Vui lòng cung cấp đầy đủ thông tin trong đơn đăng ký.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Bệnh nhân cần được kiểm tra sức khỏe định kỳ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Đây là bản báo cáo tài chính của quý trước.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Chúng tôi cam kết đảm bảo chất lượng dịch vụ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Xin vui lòng liên hệ bộ phận chăm sóc khách hàng.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Buổi họp sẽ diễn ra vào lúc 9 giờ sáng mai.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nhân viên phải tuân thủ các quy định của công ty.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Vui lòng đọc kỹ điều khoản trước khi ký hợp đồng.
"Idioms, Proverbs & Cultural Expressions","Có công mài sắt, có ngày nên kim."
"Idioms, Proverbs & Cultural Expressions",Đừng trông mặt mà bắt hình dong.
"Idioms, Proverbs & Cultural Expressions",Gió chiều nào theo chiều đó.
"Idioms, Proverbs & Cultural Expressions","Học ăn, học nói, học gói, học mở."
"Idioms, Proverbs & Cultural Expressions",Tiền không mua được hạnh phúc.
"Idioms, Proverbs & Cultural Expressions",Ai ăn thì nấy trả.
"Idioms, Proverbs & Cultural Expressions","Một cây làm chẳng nên non, ba cây chụm lại nên hòn núi cao."
"Idioms, Proverbs & Cultural Expressions",Thất bại là mẹ thành công.
"Idioms, Proverbs & Cultural Expressions",Nước đến chân mới nhảy.
"Idioms, Proverbs & Cultural Expressions",Ăn quả nhớ kẻ trồng cây.
