Category,Sentence
Grammar Core (Sentence Structures & Tenses),Ng diak a chebuul a kall.
Grammar Core (Sentence Structures & Tenses),A Droteo a milsa a ngerel a klok.
Grammar Core (Sentence Structures & Tenses),Ng merous el mo er a skuul er kemiu.
Grammar Core (Sentence Structures & Tenses),Ng soal a chad el kirel a llemolt.
Grammar Core (Sentence Structures & Tenses),A ungil el kirel a Droteo a mla el delengchokl.
Grammar Core (Sentence Structures & Tenses),Ng mo mesisiich er ngak me a Droteo.
Grammar Core (Sentence Structures & Tenses),Ng diak el mo er kau el mo er a ocheraol.
Grammar Core (Sentence Structures & Tenses),A ngiklel el milechub eng kmal mla mesisiich.
Grammar Core (Sentence Structures & Tenses),Ng mla melemolem a blai er ngii.
Grammar Core (Sentence Structures & Tenses),A Toki a mla mo er a Hawaii er kau el chull.
Conversational Data (Real-Life Dialogues & Exchanges),"Alii, ng kmal mesaul?"
Conversational Data (Real-Life Dialogues & Exchanges),"Ngak a John, ng ngarngii a Droteo."
Conversational Data (Real-Life Dialogues & Exchanges),"Ke kmal mla mesisiich, e kau?"
Conversational Data (Real-Life Dialogues & Exchanges),"Ng mo er ker, e meng mo ngar?"
Conversational Data (Real-Life Dialogues & Exchanges),A sebechir a mo mengakl er a lechub eng?
Conversational Data (Real-Life Dialogues & Exchanges),Ng soak el mla mo er a udoud er tia el rak.
Conversational Data (Real-Life Dialogues & Exchanges),"Alii, kirel a ralm el mo chad?"
Conversational Data (Real-Life Dialogues & Exchanges),Ng ngii a rengul el mo mesisiich.
Conversational Data (Real-Life Dialogues & Exchanges),E ke mo kirel a skuul el diak el chebuul?
Conversational Data (Real-Life Dialogues & Exchanges),"Ng ungil el sebechel, diak a mla sesemiu."
Code-Switching & Multilingualism,Ng mla deliver a report er ngii today.
Code-Switching & Multilingualism,"Ngak a meluches, and I need to go now."
Code-Switching & Multilingualism,"Alii, where's a omekedong el ngii?"
Code-Switching & Multilingualism,"E lechub eng, please bring me a chesols."
Code-Switching & Multilingualism,A mo me a appointment el 3pm sharp.
Code-Switching & Multilingualism,Ng mla confirm a schedule er ngii yesterday.
Code-Switching & Multilingualism,Tomorrow ng diak el mla diak el kirel.
Code-Switching & Multilingualism,Can we chull tomorrow er a ked?Ng mla arrange er ngii with the teacher.
Code-Switching & Multilingualism,"Yes, ng kmal chesols e ngak a ngii."
Code-Switching & Multilingualism,"Alii, do you want to mengai a mad er a party tomorrow?"
"Formal & Professional Speech (Business, Legal, Medical, Technical)",A sers er a kirel a skuul a sebechel el diak el kirel.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ng mla blengur a chad er a klengareng.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",A bilung el rokui el mo mlik er a ngikel.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",A rokui el mo mengeremang el bisech.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ng mla mekngit el mo ngmai a authorization form.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",A chad el mo ungil el mo kemeldiil er a llemolt.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ng soak el delengchokl a cheldecheduch.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",A blai er a eungel el mla delengchokl el chad.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Ng diak el kirel a tial klengareng er a rengud.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",A ungil el mlo tang el olengcheklel a budget.
"Idioms, Proverbs & Cultural Expressions",A chad el diak el mlo chull a ngikel a diak el ngar.
"Idioms, Proverbs & Cultural Expressions","A bilas el ngii a ralm, diak el melai."
