Categories,Sentences
Grammar Core (Sentence Structures & Tenses),I’ guaglione jette a scola ieri.
Grammar Core (Sentence Structures & Tenses),Stammatina stongo studianno pe’ l’esame.
Grammar Core (Sentence Structures & Tenses),Dummeneca avimmo fernuto ‘o lavoro.
Grammar Core (Sentence Structures & Tenses),"Si avesse cchiù tiempo, leggesse cchiù libbre."
Grammar Core (Sentence Structures & Tenses),Nun so’ state capace ‘e rispunner’.
Grammar Core (Sentence Structures & Tenses),S’arricorde quanno venette a Napule?
Grammar Core (Sentence Structures & Tenses),Domane jammo ‘ncoppa Vesuvio.
Grammar Core (Sentence Structures & Tenses),"Si me chiamma, vene subbito."
Grammar Core (Sentence Structures & Tenses),Fusse stato meglie parlà primma.
Grammar Core (Sentence Structures & Tenses),Sta casa è stata custruita d’’o nonno mio.
Conversational Data (Real-Life Dialogues & Exchanges),"—Comme staje? —Bbuono, e tu?"
Conversational Data (Real-Life Dialogues & Exchanges),—Addò vai? —Vaco a piglià ‘o treno.
Conversational Data (Real-Life Dialogues & Exchanges),"—Tien’acca’? —Sì, ven’a ccà!"
Conversational Data (Real-Life Dialogues & Exchanges),"—Chiammame quanno arriv’, va bene? —Certo."
Conversational Data (Real-Life Dialogues & Exchanges),"—Nun tengo sorde. —Te preoccupà, offro io."
Conversational Data (Real-Life Dialogues & Exchanges),—E che facimmo stasera? —Jammo a cinema.
Conversational Data (Real-Life Dialogues & Exchanges),—T’aggia dicere ‘na cosa. —Dicce.
Conversational Data (Real-Life Dialogues & Exchanges),"—Ué, fratè! —Ué, tutt’appost’."
Conversational Data (Real-Life Dialogues & Exchanges),—Ma chill’è overo? —E comm’ ‘o saccio?
Conversational Data (Real-Life Dialogues & Exchanges),—Sta piovenn’. —Allora restammo ccà.
Code-Switching & Multilingualism,Jammo a mangià ‘na pizza tonight.
Code-Switching & Multilingualism,"Chest’è troppo cool, fraté."
Code-Switching & Multilingualism,"Nun tengo money, me presti qualcosa?"
Code-Switching & Multilingualism,Facimme ‘na call domani matina.
Code-Switching & Multilingualism,Stu film è veramente amazing.
Code-Switching & Multilingualism,"Jamme a chillà, bro."
Code-Switching & Multilingualism,Aggio comprato ‘nu ticket online.
Code-Switching & Multilingualism,"Nun è fair, staje baranno."
Code-Switching & Multilingualism,Facimme shopping ‘a sabbato.
Code-Switching & Multilingualism,Sta musica è very beautiful.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Signuri clienti, vi ringraziammo pe’ la fiducia."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",L’avvocato ha presentato ‘a richiesta ufficiale.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Secondo l’analisi, ‘o mercato sta crescenno."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",‘O dottore ha consigliato riposo assoluto.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",‘A riunione se terrà lunedì matina.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Vi invitiamo a rispettà ‘e regole d’ufficio.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",‘O documento è stato verificato e firmato.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Serve ‘na diagnosi precisa primma d’aggi’operà.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",‘A decisione finale spetta ‘o consiglio.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Vi scrivimmo in merito a ‘sta proposta tecnica.
"Idioms, Proverbs & Cultural Expressions","Chi va cu’ ‘zoppo, ‘mpara ‘a zoppicà."
"Idioms, Proverbs & Cultural Expressions",Nun è tutt’oro che luce.
"Idioms, Proverbs & Cultural Expressions","Chi tardi arriva, mal alloggia."
"Idioms, Proverbs & Cultural Expressions","A chi tocca, nun se ‘ngrugna."
"Idioms, Proverbs & Cultural Expressions",Acqua passata nun macina cchiù.
