Categories,Sentences
Grammar Core (Sentence Structures & Tenses),A de rid di buk we ticha gi mi fɔ klas.
Grammar Core (Sentence Structures & Tenses),Meri bin kuk rɛd rɛs bifo di ren bigin.
Grammar Core (Sentence Structures & Tenses),Wi go mit una na Basupu tumara aftanun.
Grammar Core (Sentence Structures & Tenses),"If pawa nɔ go, di frij go kip di fish kol."
Grammar Core (Sentence Structures & Tenses),Di leta bin sen go na ofis las Wik.
Grammar Core (Sentence Structures & Tenses),"Juan dɔn finis im wok, so i fit go os."
Grammar Core (Sentence Structures & Tenses),"Nɔ tek di moto now, bikɔs rod stil wet."
Grammar Core (Sentence Structures & Tenses),Bɔy we de krai de luk fɔ im mama.
Grammar Core (Sentence Structures & Tenses),A fɔ don pe di bil bifo Fraide.
Grammar Core (Sentence Structures & Tenses),"Di chair we den brok yestade, dɛn dɔn fix am tide."
Conversational Data (Real-Life Dialogues & Exchanges),"“Aw yu de?” “A de fayn, a jos taya smɔl.”"
Conversational Data (Real-Life Dialogues & Exchanges),"“Yu dɔn it?” “Nɔ, a de weit fɔ mama.”"
Conversational Data (Real-Life Dialogues & Exchanges),“Usay yu de go?” “A de go na Sampaka fɔ si mi fren.”
Conversational Data (Real-Life Dialogues & Exchanges),"“Abeg, yu fit helep mi wit dis bag?” “Yes, gi mi am.”"
Conversational Data (Real-Life Dialogues & Exchanges),"“Di wata dɔn kam?” “Nɔ yet, bot dɛn se i go kam na ivnin.”"
Conversational Data (Real-Life Dialogues & Exchanges),“Wetin hapun na skul tide?” “Wi lern niu song ɛn wi ple futbol.”
Conversational Data (Real-Life Dialogues & Exchanges),"“Yu sabi di man we de sel banana?” “Yes, im nem na Tomasi.”"
Conversational Data (Real-Life Dialogues & Exchanges),“Mek wi go now?” “Mek wi weit til di sun go dɔŋ smɔl.”
Conversational Data (Real-Life Dialogues & Exchanges),“A nɔ yeri yu klia.” “A se di mitin go stat na ten.”
Conversational Data (Real-Life Dialogues & Exchanges),"“Yu go kam fɔ di pati?” “If mi wok finis, a go kam.”"
Code-Switching & Multilingualism,A de go comprar pan na tienda bifo a rich os.
Code-Switching & Multilingualism,Di doktor se mi niño nid rɛst ɛn plenty wata.
Code-Switching & Multilingualism,"Meri ask mi se, “¿Dónde está di llave?”"
Code-Switching & Multilingualism,"Wi bin tok Pichi na os, bot na ofis wi yus Spanish."
Code-Switching & Multilingualism,Papa grita smɔl bikɔs di muchacho lef di doa opin.
Code-Switching & Multilingualism,A tɛl am bonjour bikɔs im mama kam from Camerún.
Code-Switching & Multilingualism,Di teacher mark di examen ɛn se wi du am beta.
Code-Switching & Multilingualism,"Na mercado, dɛn de mix Pichi, Español, Fang ɛn Bubi evride."
Code-Switching & Multilingualism,Yu fit traer di receipt mek wi check di price?
Code-Switching & Multilingualism,Chief se mañana wi go klin di playa afta mos.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Gud mɔnin, wi de submit di kontrak fɔ una rivyu."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Di kampani go pe di invoice witin fiftin wok-de.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Ples, sign di fɔm afta yu rid ol di kondishɔn."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Di nɔs go check yu presha bifo di doktor si yu.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Dis medisin na fɔ tek afta chop, no bifo chop."
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Di kɔt go hia di keis na Monde mɔnin.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Wi nid klia konsent bifo wi kollect eni data.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Di injinia se di netwok dɔn daun bikɔs di seiva hot.
"Formal & Professional Speech (Business, Legal, Medical, Technical)","Una proposal get strong bajɛt, bot i nid beta taimlain."
"Formal & Professional Speech (Business, Legal, Medical, Technical)","A rispekt una posishɔn, ɛn a de ask fɔ fɔmal apoinment."
"Idioms, Proverbs & Cultural Expressions","Wen han wash han, tu han de klin."
"Idioms, Proverbs & Cultural Expressions","Smɔl smɔl, krokodail de rich wata."
"Idioms, Proverbs & Cultural Expressions","Maut nɔ de kuk sup, wok na im de kuk am."
"Idioms, Proverbs & Cultural Expressions","Pikin we de lisin, i nɔ de los fɔ rod."
"Idioms, Proverbs & Cultural Expressions","If yu de chas tu rabit, yu fit kach non."
"Idioms, Proverbs & Cultural Expressions","Bifo yu laf anoda man, luk yu yon shuz."
"Idioms, Proverbs & Cultural Expressions",Di fish we de stay fɔ wata sabi wia ston de.
"Idioms, Proverbs & Cultural Expressions",Gud nem beta pas big moni we get trobul.
"Idioms, Proverbs & Cultural Expressions","Wen drɔm beat, fut de fayn im yon rod."
"Idioms, Proverbs & Cultural Expressions",No put ol pepe na wan pot if yu nɔ fit it am.
Question-Answer Pairs (FAQ & Contextual Understanding),“Wetin na Pichi?” “Na langwij we pipul de tok plenti na Malabo ɛn Bioko.”
Question-Answer Pairs (FAQ & Contextual Understanding),“Usay di klas go hapun?” “I go hapun na komyuniti senta na tu.”
