Categories,Sentences
Grammar Core (Sentence Structures & Tenses),"Menli ɛleka ne a, mede bɛkɔ sukuu anwona mɔɔ ewule la."
Grammar Core (Sentence Structures & Tenses),Ɛvolɛ ne kɔ gua nu ansaana awie ne gyɛle.
Grammar Core (Sentence Structures & Tenses),Yɛbɛto nwonlomɔ foforɛ wɔ ɛyile anu kyɛ mekɛ ne ra.
Grammar Core (Sentence Structures & Tenses),"Saa ndwuma ne wie a, ɔbaa ne bɛhɔle Nzulezo kɔhwɛ awie."
Grammar Core (Sentence Structures & Tenses),"Ma wula ne ɛkpɔle mgbɔlɔ ne, amaa bɛanyia ɛleka pa."
Grammar Core (Sentence Structures & Tenses),"Ɔnva bodobodo ne ba fie, ɛfiri sɛ ɔnye sika la."
Grammar Core (Sentence Structures & Tenses),"Ɛdendɛmunli ne bɔɔ wɔ asɔne ne anu, na bɛtwee bɛ kakra."
Grammar Core (Sentence Structures & Tenses),"Yɛkɔle asalo ne, nanso nsuo ne maa yɛsan bae."
Grammar Core (Sentence Structures & Tenses),Ɔbɛkɛla krataa ne sɛ nsafoa ne nni ɔnwolɛ nu a.
Grammar Core (Sentence Structures & Tenses),Ɛha ne maa mebɛtumi akyɛ ngakyile ne amuala wɔ sukoavoma ne.
Conversational Data (Real-Life Dialogues & Exchanges),"Kwame bisaa Ama sɛ, “Ɛhɔ te sεn anwona?” na Ama gyee sɛ, “Ɛhɔ yɛ dɛ.”"
Conversational Data (Real-Life Dialogues & Exchanges),"“Woba gua nu nnɛ?” “Daabi, mekɔle ɛnora; nnɛ medwuma wɔ fie.”"
Conversational Data (Real-Life Dialogues & Exchanges),Abusua ne nɔane zo bɛkae ɛdendɛ a bɛbɛyɛ wɔ awie ne anu.
Conversational Data (Real-Life Dialogues & Exchanges),Ɔkyerɛkyerɛfo ne bisaa sukoavoma ne mɔɔ bɛka basekɛ kɔ sukuu nwonlomɔ biala.
Conversational Data (Real-Life Dialogues & Exchanges),"“Maame, nsafoa ne wɔ hɔ?” “Ɛwɔ pon ne so; fa brɛ me.”"
Conversational Data (Real-Life Dialogues & Exchanges),Anyunlu ne ka kyerɛle ne kunli sɛ ɔpɛ akɔ ɛpo ano akɔgye mframa.
Conversational Data (Real-Life Dialogues & Exchanges),"“Me nsa aka krataa no?” “Ɛhɔ, ɛwɔ adaka ne anu, hwɛ yie.”"
