Categories,Sentences
Grammar Core (Sentence Structures & Tenses),Tho i:kéhse̲’ tsi’ niyukwehuwehnéha.
Grammar Core (Sentence Structures & Tenses),Tho yehekéhskwe’ yah tewa’nikuhli:yó:.
Grammar Core (Sentence Structures & Tenses),Yah tho tyakésheke’ ne: wahtáhshe.
Grammar Core (Sentence Structures & Tenses),Yʌkní:slote’ tsi’ yotuhutsyáktu.
Grammar Core (Sentence Structures & Tenses),Yah tewakatatshʌ́:ni tsi’ wakehyá:se̲’.
Grammar Core (Sentence Structures & Tenses),Kʌ tho i:kéhse̲’ tsi’ wa’katoratsheraké:ne̲’?
Grammar Core (Sentence Structures & Tenses),Tho kʌ yeheséskwe’ nu: kati niwáhsʌ?
Grammar Core (Sentence Structures & Tenses),Yah tehotiya’takwé:ni ne: kanuhsáktani.
Grammar Core (Sentence Structures & Tenses),Yʌkteweyʌ́:tu tsi’ lonatuhutsyuní:ke.
Grammar Core (Sentence Structures & Tenses),Wa’katkathó:li ne: onʌstasé: tsi’ yutatenyáthos.
Conversational Data (Real-Life Dialogues & Exchanges),"Shé:kon, skʌnʌ́:ko kʌ niyohtʌ́:ke?"
Conversational Data (Real-Life Dialogues & Exchanges),"Yah, skʌnʌ́:ko; kwi i:sé ne’ niyohtʌ́:ke?"
Conversational Data (Real-Life Dialogues & Exchanges),"Nyá:weh, wake’nikuhli:yó: tsi’ satekhwayʌ́:ta."
Conversational Data (Real-Life Dialogues & Exchanges),Kátsha’ nihséhse̲’ tsi’ niyotkuhsá:ke?
Conversational Data (Real-Life Dialogues & Exchanges),Kʌ tho i:kéhse̲’ nok tsi’ tethinonhwentsyá:ke?
Conversational Data (Real-Life Dialogues & Exchanges),"Hao’, swatekhú:ni nok tokshá akweku."
Conversational Data (Real-Life Dialogues & Exchanges),Kʌ tsi’ ni:yót tsi’ yʌthetiyená:ta?
Conversational Data (Real-Life Dialogues & Exchanges),"Akwekú wah, tho niyohslakéhse̲’."
Conversational Data (Real-Life Dialogues & Exchanges),Yah tewakatatshʌ́:ni; yakotshihwá:tsher ne’ ok.
Conversational Data (Real-Life Dialogues & Exchanges),"Tokshá aké:kon, satkʌthó:li skʌnʌ́:ko."
Code-Switching & Multilingualism,"Shé:kon, today yʌkní:slote’ tsi’ yakoyʌ́:ta."
Code-Switching & Multilingualism,Né: meeting wa’tewakwé:ni tsi’ yutká:te.
Code-Switching & Multilingualism,Email ne’ wahatkathó:li nok yah tehotilihwasní:ke.
Code-Switching & Multilingualism,Kátsha’ né: file tho nihséhse̲’?
Code-Switching & Multilingualism,Ukwehuwehnéha class nok English notes tewakathó:li.
Code-Switching & Multilingualism,Zoom tsi’ yehotiyé:na nok skʌnʌ́:ko tehatihsní:ne.
Code-Switching & Multilingualism,App wa’tewakatá:li tsi’ yakotatlihwá:se.
Code-Switching & Multilingualism,Database ne’ yʌtwatahsawʌ́:tha tsi’ niyutwé:nake.
Code-Switching & Multilingualism,Token yah tehotikwahyó:ni tsi’ yotliyosé:ke.
Code-Switching & Multilingualism,Model ne’ yʌthawé:ni tsi’ yutatiyenawá:se.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Shukwahtsi:yó ne’ yʌtewatenyátha tsi’ yohwí:yo.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yah tewakatatshʌ́:ni tsi’ yehotilihwá:se̲’.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yʌtewatká:was tsi’ nihati’nikuhlí:yo ne’ akweku.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Onkwatákarita ne’ yʌhotirihwá:ni tsi’ yohsnó:we.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kanuhsáktani ne’ yʌtwatká:was nok yʌtwatyé:na.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Kahshatsténshera ne’ yʌhotilihwá:se tsi’ yutlihwakwé:ni.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yah tewakatá:li tsi’ tehotilihwanutyé:se ne’ data.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Nyá:weh tsi’ sakshatsté:ni tsi’ satlihwayʌ́:tha.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Yʌtwatewé:nake tsi’ niyutolí:wa nok yʌtwatká:was.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Tsi’ niyohslakéhse̲’ yʌtewatahsawʌ́:tha ne’ report.
"Idioms, Proverbs & Cultural Expressions",Tho nikarí:wes ne’ yah tewakatkwʌ́:ni.
"Idioms, Proverbs & Cultural Expressions",Skʌnʌ́:ko tsi’ teyethinonhwerá:tons.
"Idioms, Proverbs & Cultural Expressions",Onʌ́hkwa’ ne’ yohwí:yo tsi’ yakonikonhrá:ko.
"Idioms, Proverbs & Cultural Expressions",Yah tewatkʌ́:ni tsi’ yah tewakatkwʌ́:ni.
"Idioms, Proverbs & Cultural Expressions",Tsi’ niyukwehuwé ne’ yukwatsyá:ta.
"Idioms, Proverbs & Cultural Expressions",Yutstéhstha ne’ tsi’ yethihsakhé:ta.
"Idioms, Proverbs & Cultural Expressions",Yah thó niyutolí:wa tsi’ yehswathwatsherá:ne.
"Idioms, Proverbs & Cultural Expressions",Nyá:weh ne’ skén:nen tsi’ yethi’nikuhlí:yo.
"Idioms, Proverbs & Cultural Expressions",Tsi’ yutatenyátha ne’ tsyok nahó:ten.
"Idioms, Proverbs & Cultural Expressions",Ukwehuwehnéha ne’ yukwanutahkwé:ni.
Question-Answer Pairs (FAQ & Contextual Understanding),Kátsha’ nihséhse̲’? Tho i:kéhse̲’ kanuhsáktani.
Question-Answer Pairs (FAQ & Contextual Understanding),Náhte’ satká:was? Watká:was ne’ ohnʌ́:ta.
Question-Answer Pairs (FAQ & Contextual Understanding),Kʌ tho yʌséhseke’? Hʌ́: tho yʌkéhseke’.
Question-Answer Pairs (FAQ & Contextual Understanding),Toh niyohtʌ́:ke? Skʌnʌ́:ko niyohtʌ́:ke.
Question-Answer Pairs (FAQ & Contextual Understanding),Náhte’ né: yutolí:wa? Yutolí:wa ne’ language app.
Question-Answer Pairs (FAQ & Contextual Understanding),Kʌ seká:se’ ne’ otsíhkwa’? Hʌ́: seká:se’.
Question-Answer Pairs (FAQ & Contextual Understanding),Kátsha’ ne’ school? Tho ne’ Oneida yehatiyé:na.
Question-Answer Pairs (FAQ & Contextual Understanding),Tsi’ ni:yót ne’ file? Tewatatká:was tsi’ yohwí:yo.
Question-Answer Pairs (FAQ & Contextual Understanding),"Kʌ satatlihwayʌ́:tha? Hʌ́:, satlihwayʌ́:tha akweku."
Question-Answer Pairs (FAQ & Contextual Understanding),Náhte’ yukwé:nake? Ukwehuwehnéha yukwé:nake.
Commands & Instructions (Imperative Sentences),Té:sek ne’ kahyatá:ti.
Commands & Instructions (Imperative Sentences),"Hanyo, hanyo, swatekhú:ni!"
Commands & Instructions (Imperative Sentences),Satkʌthó:li ne’ yutolí:wa.
Commands & Instructions (Imperative Sentences),Satahsáwʌtha ne’ file tsi’ niyohwí:yo.
Commands & Instructions (Imperative Sentences),Satlihwayʌ́:tha tsi’ niyotolí:wa.
Commands & Instructions (Imperative Sentences),Ses ne’ ohnʌ́:ta nok yah tehsathwʌ́:te.
Commands & Instructions (Imperative Sentences),Satyé:na skʌnʌ́:ko nok tesatlihwanutyé:tu.
Commands & Instructions (Imperative Sentences),Swatká:was akweku ne’ data row.
Commands & Instructions (Imperative Sentences),Satá:li ne’ error tsi’ yotká:was.
Commands & Instructions (Imperative Sentences),Satketskó:li tsi’ yah tehotilihwasní:ke.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Mária Hinton ne’ wahatlihwayʌ́:tha Oneida, Wisconsin."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Clifford Abbott ne’ yehatilihwá:se ne’ Oneida Dictionary.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Oneida Nation tsi’ nitsyonkwé:take ne’ Wisconsin.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Tsi’ niyohslakéhse̲’ June 5, 2026 ne’ yʌtwatká:was."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Green Bay tsi’ niyohwé:ne ne’ UWGB Dictionary.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)","Southwold, Ontario tsi’ yehatiyé:na ne’ Language Centre."
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Onyota’a:ká: ne’ yotliyosé:ke tsi’ yukwé:nake.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Haudenosaunee ne’ yakotirihwá:ni tsi’ niyotyʌ́:take.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Talkalotta Corpora tsi’ yutatiyenawá:se ne’ dataset.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Bandwagon ne’ yutolí:wa tsi’ yutká:was ne’ sponsor.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Wake’nikuhli:yó tsi’ yotkʌ́:ni ne’ yakohwatsyá:ta.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Yah tewake’nikuhli:yó tsi’ yah tewakatkwʌ́:ni.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Yakwathʌ́:te’ ne’ yutolí:wa tsi’ yohwí:yo.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Wa’katshá:ni tsi’ yotká:te ne’ project.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Wake’nikuhli:yó ne’ akweku tsi’ yethi’nikuhlí:yo.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Yah tewatká:was tsi’ yotká:was ne’ error.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Yotsí:tsya tsi’ yotliyosé:ke ne’ lesson.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Tekwataté:ken tsi’ yah tehotilihwá:se.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Yukwatsyá:ta ne’ otsi’tenhá:ti tsi’ yotiyá:ke.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Yah tewakatshennó:ni tsi’ yʌtwatahsawʌ́:tha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Yʌtwatahsawʌ́:tha tho tsi’ niyukwehuwehnéha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kʌ tho i:kéhse̲’ tsi’ niyukwehuwehnéha?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Yah tho tyakésheke’ tsi’ niyukwehuwehnéha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tho yehekéhskwe’ tsi’ niyukwehuwehnéha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Kátsha’ nihséhse̲’ tsi’ niyukwehuwehnéha?
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tsi’ niyukwehuwehnéha ne’ tho i:kéhse̲’.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Akweku tho yethí:se tsi’ niyukwehuwehnéha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Tho niyotolí:wa tsi’ i:kéhse̲’.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Yʌkéhseke’ tho tsi’ niyukwehuwehnéha.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Yah tewakatatshʌ́:ni tsi’ tho i:kéhse̲’.
