Categories,Sentences
Grammar Core,Gęh niwagǫ́hdaˀ neˀ ganyęh.
Grammar Core,Gęh gagwe:gǫ́hdaˀ neˀ hę:göh.
Grammar Core,Ęh neˀ gagwe:gǫ́hdaˀhęˀ neˀ ganyęh.
Grammar Core,Gęh hadwę:gǫ́hdaˀ neˀ onęh.
Grammar Core,Ęh neˀ hadwę:gǫ́hdaˀhęˀ neˀ onęh.
Grammar Core,Gęh gagwe:gǫ́hdaˀhneˀ neˀ ahęh.
Grammar Core,Ęh neˀ gagwe:gǫ́hdaˀhneˀ neˀ ahęh.
Grammar Core,Gęh hadwę:gǫ́hdaˀhneˀ neˀ onęh.
Grammar Core,Gęh ganyęh agyęˀdahgwáˀ.
Grammar Core,Ęh neˀ ganyęh agyęˀdahgwáˀhęˀ.
Conversational Data,Sgę:nöˀ kęh neˀ sęh?
Conversational Data,"Sgę:nöˀ, gęh niwagǫ́hdaˀ."
Conversational Data,Gęh sgę:nöˀ sęh neˀ hę:göh?
Conversational Data,"Sgę:nöˀ, ęh neˀ hadwę:gǫ́hdaˀ."
Conversational Data,"Hęh sgę:nöˀ, gęh agyęˀdahgwáˀ."
Conversational Data,Sęh neˀ ganyęh gęh niwagǫ́hdaˀ?
Conversational Data,"Ęh neˀ ganyęh, sgę:nöˀ."
Conversational Data,Gęh niwagǫ́hdaˀ neˀ hadwę:gǫ́hdaˀ?
Conversational Data,"Sgę:nöˀ, ęh neˀ hadwę:gǫ́hdaˀhęˀ."
Conversational Data,Gęh sgę:nöˀ sęh neˀ onęh?
Code-Switching & Multilingualism,Gęh niwagǫ́hdaˀ neˀ school.
Code-Switching & Multilingualism,"Sgę:nöˀ teacher, gęh agyęˀdahgwáˀ."
Code-Switching & Multilingualism,Gęh onęh office gęh niwagǫ́hdaˀ.
Code-Switching & Multilingualism,"Ęh neˀ meeting, sgę:nöˀ."
Code-Switching & Multilingualism,Gęh project agyęˀdahgwáˀ neˀ ganyęh.
Code-Switching & Multilingualism,"Sgę:nöˀ doctor, ęh neˀ hadwę:gǫ́hdaˀ."
Code-Switching & Multilingualism,Gęh computer niwagǫ́hdaˀ neˀ onęh.
Code-Switching & Multilingualism,Ęh neˀ phone gęh agyęˀdahgwáˀ.
Code-Switching & Multilingualism,Gęh email niwagǫ́hdaˀ.
Code-Switching & Multilingualism,"Sgę:nöˀ manager, gęh niwagǫ́hdaˀ."
Formal & Professional Speech,Gęh niwagǫ́hdaˀ neˀ hadihsó:thaˀ.
Formal & Professional Speech,Ęh neˀ hadihsó:thaˀ gęh hadwę:gǫ́hdaˀ.
Formal & Professional Speech,Gęh agyęˀdahgwáˀ neˀ hadihsó:thaˀ.
Formal & Professional Speech,Ęh neˀ hadihsó:thaˀ agyęˀdahgwáˀhęˀ.
Formal & Professional Speech,Gęh niwagǫ́hdaˀ neˀ honǫweˀ.
Formal & Professional Speech,Ęh neˀ honǫweˀ hadwę:gǫ́hdaˀ.
Formal & Professional Speech,Gęh niwagǫ́hdaˀ neˀ hadigǫhdaˀ.
Formal & Professional Speech,Ęh neˀ hadigǫhdaˀ agyęˀdahgwáˀ.
