Category,Sentence
Grammar Core (Sentence Structures & Tenses),මම පාසැලට ගියෙමි.
Grammar Core (Sentence Structures & Tenses),ඔබ අලුත් පොතක් කියවන්නේද?
Grammar Core (Sentence Structures & Tenses),අපි හෙට ගමට යන්නෙමු.
Grammar Core (Sentence Structures & Tenses),ඔහු දිනපතා සන්සුන්ව ඉන්නෙයි.
Grammar Core (Sentence Structures & Tenses),ඔවුන් එතැනට යනු ඇත.
Grammar Core (Sentence Structures & Tenses),මම වැඩ කළෙමිද?
Grammar Core (Sentence Structures & Tenses),ඇය තවත් ගෙදර එන්නේ නැත.
Grammar Core (Sentence Structures & Tenses),ඔබ පොතක් කියවමින් සිටින්න.
Grammar Core (Sentence Structures & Tenses),අපි ගසක් නැවත සිටුවාය.
Grammar Core (Sentence Structures & Tenses),මම පැමිණෙන්නෙමි නම් ඔබ පසුව යන්න.
Conversational Data (Real-Life Dialogues & Exchanges),ආයුබෝවන්! ඔයාට කෙසේද?
Conversational Data (Real-Life Dialogues & Exchanges),මට කෝපි එකක් ලබාදෙන්න පුළුවන්ද?
Conversational Data (Real-Life Dialogues & Exchanges),ඔයාට මේ ගැන හොඳ අදහසක් තියෙන්නෙද?
Conversational Data (Real-Life Dialogues & Exchanges),මට හෙට කටයුතුවලට සහය වෙන්න ඕනෙ.
Conversational Data (Real-Life Dialogues & Exchanges),අද හිරුබිමට යමුද?
Conversational Data (Real-Life Dialogues & Exchanges),ඔයා කොහෙද ජීවත්වෙන්නේ?
Conversational Data (Real-Life Dialogues & Exchanges),මට කාලෙකින් ඔයාව නැහැ දැක්කෙ.
Conversational Data (Real-Life Dialogues & Exchanges),"ආ, ඔයාගේ නම මට මතක් වෙන්නෙ නෑ!"
Conversational Data (Real-Life Dialogues & Exchanges),මේක ටිකක් ගැටළුදායකයි නේද?
Conversational Data (Real-Life Dialogues & Exchanges),ඔයාට අලුත් වැඩක් ලැබුනා කියලා ඇහැ hearsay.
Code-Switching & Multilingualism,මට මේ task එක complete කරන්න වෙලා.
Code-Switching & Multilingualism,ඔයා exam එකට readyද?
Code-Switching & Multilingualism,ඔයාගේ idea එක සුපිරි!
Code-Switching & Multilingualism,මම laptop එක restart කරා.
Code-Switching & Multilingualism,අපි එකට Zoom call එකක් setup කරමු.
Code-Switching & Multilingualism,ඔයා ඔය file එක upload කරලාද?
Code-Switching & Multilingualism,එයාලා feedback එක email එකෙන් එවලා.
Code-Switching & Multilingualism,මට Wi-Fi signal එක නැතිවුණා.
Code-Switching & Multilingualism,ඔයා Google Form එක fill කළාද?
Code-Switching & Multilingualism,මට තේරෙන්නෙ නෑ මේ interface එක.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",මෙම වාර්තාව සතියේ අවසানে ඉදිරිපත් කළ යුතුය.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",නීතිමය කටයුතු සම්පූර්ණයෙන් ක්‍රියාත්මක වේ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ඔබගේ වෛද්‍ය වාර්තාව සත්‍ය වශයෙන් සළකා බැලිය යුතුය.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",මෙම කර්මාන්ත ශාලාවේ ප්‍රතිලාභ ඉහළ යයි බලාපොරොත්තු වේ.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",ආදායම් බදු පත්‍රිකාව දින 30 තුළ බාරදිය යුතුය.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",සෙරිනිටි හෝස්පිටල්හි වෛද්‍යවරු විශේෂඥයන් ය.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",අපගේ සමාගම නව තාක්ෂණික විසඳුම් සොයමින් සිටියි.
