Categories,Sentences
Grammar Core (Sentence Structures & Tenses),I atan quetë i lómë enta.
Grammar Core (Sentence Structures & Tenses),I nís matë coimas sívë.
Grammar Core (Sentence Structures & Tenses),I hesto ná quétala ar úva hlaruva.
Grammar Core (Sentence Structures & Tenses),I ciryar úvë luhta i néron námi.
Grammar Core (Sentence Structures & Tenses),I macil nauva mára sina ar lúmë yánta.
Grammar Core (Sentence Structures & Tenses),I quén quetien minya omentië ná melda.
Grammar Core (Sentence Structures & Tenses),I nér úvë hlarë i quenta i númen.
Grammar Core (Sentence Structures & Tenses),I vendë ná liruva antanen lóti.
Grammar Core (Sentence Structures & Tenses),I ohtar quentanes i quénna ve rámar.
Grammar Core (Sentence Structures & Tenses),I elen sívë caluva ilyë andor.
Conversational Data (Real-Life Dialogues & Exchanges),"Aiya, manen nályë sina lóme?"
Conversational Data (Real-Life Dialogues & Exchanges),"Nai elen siluva lyenna, meldo."
Conversational Data (Real-Life Dialogues & Exchanges),Áva auta! Hlaruva ni lómë sina.
Conversational Data (Real-Life Dialogues & Exchanges),Mana ná i lúmë tulien?
Conversational Data (Real-Life Dialogues & Exchanges),Nai hiruva lyen i cilmë sívë.
Conversational Data (Real-Life Dialogues & Exchanges),"Áva quetë sinome, maruvan tenna yéva."
Conversational Data (Real-Life Dialogues & Exchanges),"Mára aurë, melindo! Mana úvë caruvan?"
Conversational Data (Real-Life Dialogues & Exchanges),Nai auta ar cenya nauva sinome.
Conversational Data (Real-Life Dialogues & Exchanges),Á tulë ar lendu mi coanya.
Conversational Data (Real-Life Dialogues & Exchanges),"Ná, hlarin lyenna. Tennoio nalyë melda."
Code-Switching & Multilingualism,"Nai elen siluva lyenna, my friend."
Code-Switching & Multilingualism,Manen cárië today i nér?
Code-Switching & Multilingualism,Sí ná lúmë for meeting.
Code-Switching & Multilingualism,"Áva stress, melindo, relax!"
Code-Switching & Multilingualism,I hesto quetë i case in English.
Code-Switching & Multilingualism,Nai luck nauva with you.
Code-Switching & Multilingualism,Eldar and Men work together daily.
Code-Switching & Multilingualism,"Áva forget i file, please upload!"
Code-Switching & Multilingualism,Mana about tomorrow’s celebration?
Code-Switching & Multilingualism,I nís cennë i news online.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",Aran Elessar hostanë i néron tenna yéva.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",I nér auta mi osto Anna Númenessë.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",I nís órenyallo quetë mi council Eldaron.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",I hesto hlápë i ailë tenna auta coanna.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",I quentë ná tulda ar samna tenna omentielva.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",I lambë ciryaron ná auta mi nórienna.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",I quén órenyallo hlarë quetë mi lambë súva.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",I nís quentë hlaruva mi casariéva.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",I nér ná hlaruva i atar mi oron Eldaliëva.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",I aranya hostanë i quentaron mi lambë eldaliéva.
"Idioms, Proverbs & Cultural Expressions",Úmëa ohtari ná calima aiwë mi lóme.
"Idioms, Proverbs & Cultural Expressions","Mára ná, ar nai alassë cenna tenn' ambárë."
"Idioms, Proverbs & Cultural Expressions",Hlarë i rámar náve sívë calma.
"Idioms, Proverbs & Cultural Expressions","Quén laita tennoio, aiqua nórë asëa."
"Idioms, Proverbs & Cultural Expressions","I úvë hlarë, i hlaruva ilyë."
"Idioms, Proverbs & Cultural Expressions","Auta mi nérë, hlaruva mi órë."
"Idioms, Proverbs & Cultural Expressions",I sívë alassë ar i yára lóme ná asëa.
"Idioms, Proverbs & Cultural Expressions",Áva anta úvë ar nai alassë nauva.
"Idioms, Proverbs & Cultural Expressions","Hlarë ilyë rámar, nai tultien melda omentië."
"Idioms, Proverbs & Cultural Expressions","I ohtari laita i lómi, nai elen siluva."
Question-Answer Pairs (FAQ & Contextual Understanding),Mana ná i lúmë? — Ná minya lúmë arin.
Question-Answer Pairs (FAQ & Contextual Understanding),"Manen quétë Elda? — Lissë ná, melindo."
Question-Answer Pairs (FAQ & Contextual Understanding),Manen cárië? — I nér auta maruva sinome.
Question-Answer Pairs (FAQ & Contextual Understanding),Mana ná i nér yallo? — I nér ná Númenessë.
Question-Answer Pairs (FAQ & Contextual Understanding),Manen hlarë i lómë? — Aranta ná quétala.
Question-Answer Pairs (FAQ & Contextual Understanding),Mana ná i aranya? — Elessar i hesto aranya.
Question-Answer Pairs (FAQ & Contextual Understanding),Manen lirë i vendë? — Mi lindalë lómë.
Question-Answer Pairs (FAQ & Contextual Understanding),Mana ná i alassëlya? — I hlarë órenyallo.
Question-Answer Pairs (FAQ & Contextual Understanding),Manen úvë quetë? — Nai úvë hlaruva ar auta.
Question-Answer Pairs (FAQ & Contextual Understanding),Mana ná i cala? — I elen sívë caluva.
Commands & Instructions (Imperative Sentences),Áva quetë an sívë.
Commands & Instructions (Imperative Sentences),Á tulë sinome ar lendu.
Commands & Instructions (Imperative Sentences),Á hlarë i lambë Eldaliéva.
Commands & Instructions (Imperative Sentences),Á auta mi coanna tenna arin.
Commands & Instructions (Imperative Sentences),Á hlaruva i hesto ar auta úvë.
Commands & Instructions (Imperative Sentences),Á carë i nér alassë.
Commands & Instructions (Imperative Sentences),Á laita i cala námen.
Commands & Instructions (Imperative Sentences),Á tulta i rámar mi lóme.
Commands & Instructions (Imperative Sentences),Á quetë i omentielma ar cenya.
Commands & Instructions (Imperative Sentences),Á hlarë i melindo mi coanya.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Elessar ná aran Gondor.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Galadriel ná vendë Lórien.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Valinor ná nórë i Valar.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Fëanáro nánë Elda nér calima.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Manwë ná aran Valaron.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Taniquetil ná oron taura.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Elrond ná hesto Imladris.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Nienna ná vala pitya ar órenyallo.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Arda ná i nórë ilyë Eldaron.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",Aman ná nórë i cala úvë firuva.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Alassë fillë órenya ve lótë linquë.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mórë fillë órënya sívë.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nai i cala arin hlaruva órenya.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Úvë hlaruva i melda quénna, nauva úmëa."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),I nís quentë i úvë alassë.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Mára ná hlarë i quénna ar laita.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"Nai i lóme autuva, ar i anor entuva."
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Úmëa ná úvë hlarë i cala.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Alassë ná tenna lómi ar sívë.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),Nai i melmë nauva anwa tennoio.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),I nér quetë i lambë Eldaliéva.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),I quén quentë ve Eldar hlarë.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),Elda quetë i lambë tenna lómi.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),I quén ná quétala i lambë Eldaron.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),I nér ná hlaruva ve Elda.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),I ohtar quetë i lambë mi órenya.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),I lambë Eldaliéva ná sívë ar alta.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),I quén ar i nís quetir ve Elda.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),I Eldar quetir i lambë ar hlarir órenyallo.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),I lambë Eldaliéva quentë Eldaron ná mára.
