Categories,Sentences
Grammar Core (Sentence Structures & Tenses),હું રોજ સવારે સ્કૂલ જઉં છું.
Grammar Core (Sentence Structures & Tenses),તમે કાલે પાર્ટીમાં ગયા હતા?
Grammar Core (Sentence Structures & Tenses),અમે ઉનાળાની રજાઓ દરમિયાન પ્રવાસ કર્યો.
Grammar Core (Sentence Structures & Tenses),આ કામ તમારું નહીં પણ તેનો છે.
Grammar Core (Sentence Structures & Tenses),જો વરસાદ પડ્યો હોત તો અમે ઘરમાં જ રહ્યા હોત.
Grammar Core (Sentence Structures & Tenses),તે હવે કામ કરતું નથી.
Grammar Core (Sentence Structures & Tenses),મારા પપ્પા બધાં સાથે સુંદર રીતે વાત કરે છે.
Grammar Core (Sentence Structures & Tenses),તેઓ ભવિષ્યમાં ডাক্তার બનવાના છે.
Grammar Core (Sentence Structures & Tenses),હું તમારી મદદ વિના ન રહી શકી હોત.
Grammar Core (Sentence Structures & Tenses),આધિકારી પત્ર વાંચી રહ્યો હતો.
Conversational Data (Real-Life Dialogues & Exchanges),કેમ છો? બહુ વખત પછી મળ્યા!
Conversational Data (Real-Life Dialogues & Exchanges),"હું મજામાં છું, તું કહીશ?"
Conversational Data (Real-Life Dialogues & Exchanges),આજે ભાજી કઈ લાવવી છે?
Conversational Data (Real-Life Dialogues & Exchanges),"ચાલिए, બપોરે એક સાથે ખાવા જઈએ."
Conversational Data (Real-Life Dialogues & Exchanges),"મને તારી જરૂર છે, તું આવી શકે?"
Conversational Data (Real-Life Dialogues & Exchanges),"અરે વાહ, તું નવો મોબાઇલ લીધો!"
Conversational Data (Real-Life Dialogues & Exchanges),તું સાંજે ચાલવાનું ભુલ્યો શું?
Conversational Data (Real-Life Dialogues & Exchanges),"હું સત્ય કહું છું, મને ખબર ન હતી."
Conversational Data (Real-Life Dialogues & Exchanges),શું આપણે ફિલ્મ જોવા જઈએ?
Conversational Data (Real-Life Dialogues & Exchanges),"ચાલ, આજે ઘર પર જ રમીએ."
Code-Switching & Multilingualism,"આ weekend party છે ને, are you coming?"
Code-Switching & Multilingualism,મારા friend ને train late આવી.
Code-Switching & Multilingualism,Let’s go પણ પહેલા હું lunch કરું છું.
Code-Switching & Multilingualism,She said કે એ नहीं आ पाएगी.
Code-Switching & Multilingualism,કાલે office ma urgent meeting છે.
Code-Switching & Multilingualism,We’ll meet પછીતરે at the café.
Code-Switching & Multilingualism,Exam માટે proper तयारी જરૂરી છે yaar.
Code-Switching & Multilingualism,આજનું weather ખૂબ cool છે.
Code-Switching & Multilingualism,Teacherએ કહેવું કે next week project submit કરવો.
Code-Switching & Multilingualism,એ બોલી કે 'I’m not ready yet.'
"Formal & Professional Speech (Business, Legal, Medical, Technical)",આ 회의 માટે અમે પૂર્વ તૈયારી કરી છે.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",કૃપા કરીને તમારું આધારકાર્ડ બતાવો.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",મારી તબિયત છેલ્લા એક અઠવાડિયા થી નબળી છે.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",આ દવા દિવસમાં બે વખત લેવી.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",અમે હમણાં નવો વ્યવસાય શરૂ કર્યો છે.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",રિપોર્ટ મુજબ કંપનીનો નફો વધ્યો છે.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",કાયદાની દ્રષ્ટિએ આ ગુનો છે.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",અપોઇન્ટમેન્ટ માટે પહેલા સમય બુક કરવો જરૂરી છે.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",તમારું પત્ર પ્રાપ્ત થયું છે અને કાર્યવાહી ચાલુ છે.
"Formal & Professional Speech (Business, Legal, Medical, Technical)",આ પ્રક્રિયા ઑનલાઇન પણ કરી શકાય છે.
"Idioms, Proverbs & Cultural Expressions",પહાડ તૂટે તો પણ ચિંટી ને શું?
"Idioms, Proverbs & Cultural Expressions",જેમ કરે તેમ ભરે.
"Idioms, Proverbs & Cultural Expressions",પાણી પાણી થવું.
"Idioms, Proverbs & Cultural Expressions",સાવજને શાંતિ ના મલકે.
"Idioms, Proverbs & Cultural Expressions",દહીંનું દૂધ ચાખવું.
"Idioms, Proverbs & Cultural Expressions",ઘી વચ્ચે હાથ ધોવા.
"Idioms, Proverbs & Cultural Expressions",એક તીરથી બે નિશાન.
"Idioms, Proverbs & Cultural Expressions",અંધારામાં પથ્થર ફેંકવો.
"Idioms, Proverbs & Cultural Expressions",જાણે નહિ પણ જાણવાનું ભાન રાખે.
"Idioms, Proverbs & Cultural Expressions",સિંહનો ભાગ સસલાને ન મળે.
Question-Answer Pairs (FAQ & Contextual Understanding),પ્રશ્ન: તમારું નામ શું છે? જવાબ: મારું નામ જય છે.
Question-Answer Pairs (FAQ & Contextual Understanding),પ્રશ્ન: આજે તાપમાન કેટલુ છે? જવાબ: લગભગ ૩૨ ડિગ્રી.
Question-Answer Pairs (FAQ & Contextual Understanding),પ્રશ્ન: ગુજરાતની રાજધાની કઈ છે? જવાબ: ગાંધીનગર.
Question-Answer Pairs (FAQ & Contextual Understanding),પ્રશ્ન: તમે શું કામ કરો છો? જવાબ: હું ઈજનેર છું.
Question-Answer Pairs (FAQ & Contextual Understanding),પ્રશ્ન: રવિવારે તમે શું કરશો? જવાબ: હું પરિવાર સાથે સમય વિતાવીશ.
Question-Answer Pairs (FAQ & Contextual Understanding),પ્રશ્ન: તમારું મનપસંદ ખોરાક કયું છે? જવાબ: ખીચડી.
Question-Answer Pairs (FAQ & Contextual Understanding),પ્રશ્ન: તમારું જન્મદિન ક્યારે આવે છે? જવાબ: ૨૦ એપ્રિલે.
Question-Answer Pairs (FAQ & Contextual Understanding),પ્રશ્ન: તમે ક્યાં રહે છો? જવાબ: અમદાવાદમાં.
Question-Answer Pairs (FAQ & Contextual Understanding),"પ્રશ્ન: તમે અંગ્રેજી બોલી શકો છો? જવાબ: હાં, થોડુંક."
Question-Answer Pairs (FAQ & Contextual Understanding),"પ્રશ્ન: તમને સ્પોર્ટ્સ ગમે છે? જવાબ: હાં, મને ક્રિકેટ બહુ ગમે છે."
Commands & Instructions (Imperative Sentences),કૃપા કરીને અહીં રાહ જુઓ.
Commands & Instructions (Imperative Sentences),દરવાજો બંધ કરો.
Commands & Instructions (Imperative Sentences),પહેલા તમારું નામ લખો.
Commands & Instructions (Imperative Sentences),મારો ફોન ઉઠાવો.
Commands & Instructions (Imperative Sentences),ચૂપ રહો અને સાંભળો.
Commands & Instructions (Imperative Sentences),આપને આગળ વધવું જોઈએ.
Commands & Instructions (Imperative Sentences),આ પેપર હવે જ સબમિટ કરો.
Commands & Instructions (Imperative Sentences),મારા માટે એક કપ ચા લાવો.
Commands & Instructions (Imperative Sentences),બાળકને શાંતિથી સંભળાવો.
Commands & Instructions (Imperative Sentences),હવે ઘર જાયે રજા લો.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ગાંધીજીનો જન્મ ૨ ઓક્ટોબર ૧૮૬૯એ થયો.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",અમિતભાઈ આજે મુંબઈ જઈ રહ્યા છે.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",વડા પ્રધાન નરેન્દ્ર મોદીએ ભાષણ આપ્યું.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",વિશ્વ બૅન્કના અધ્યક્ષે મુલાકાત લીધી.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",વિદ્યા વિંઝન હોસ્પિટલમાં દાખલ છે.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ભારત રત્ન ડૉ. એ.પી.જે. કલામ વિદ્વાન હતા.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",અમદાવાદમાં આજે ભારે વરસાદ થયો.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",રિલાયન્સ ઈન્ડસ્ટ્રીઝનું શેર વધ્યું.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",રાહુલ ને તારીખ ૧૬ જાન્યુઆરીની ટિકિટ બુક કરાવી.
"Named Entity Recognition (NER) Data (People, Places, Dates, Organizations)",ટાટા કંપનીએ નવું મોડેલ લોન્ચ કર્યું.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),મને આજે ખૂબ ખુશી થઈ.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),આ સમાચાર સાંભળી દુઃખ લાગ્યું.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),આ ફિલ્મ બહુ બોરીંગ હતી.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),તારું કામ જોઈને ગર્વ થાય છે.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),મારું મન ઉદાસ છે.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),તમે બહુ સારું કામ કર્યું.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),મને એની વાત પર ગુસ્સો આવ્યો.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),આ જગ્યા ખૂબ શાંત અને સુંદર છે.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),મને લાગે છે કે કંઈક ખોટું છે.
Sentiment Analysis Data (Emotion & Opinion-based Sentences),"તારા માટે દુઆઓ છે, તું સફળ થ!"
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),હું સ્કૂલ જાઉં છું.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),હું શાળાએ જઈ રહ્યો છું.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),હું રોજ શીખવા સ્કૂલ જાઉં છું.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),હું ભણવા માટે દરરોજ શાળાએ જઈ છું.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),હું શાળામાં ભણવા માટે જાઉં છું.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),હું દરરોજ સવારે શાળાએ જાઉં છું.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),હું શીખવા રોજ શાળાએ જાઉં છું.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),હું ભણતર માટે શાળાએ જઈ છું.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),હું શાળા જાઉં છું દરરોજ.
Paraphrased & Augmented Sentences (Rewritten Variations for Robustness),હું રોજ સવારમાં શાળા જાઉં છું.
