Categories,Sentences
Grammar Core,Me kɔɔ sukuu no nnɔnhwerew a atwam.
Grammar Core,Yɛrekyerɛ Bono kasa wɔ adwumam ha nnɛ.
Grammar Core,Ɔbɛba fie ɔkyena anɔpa.
Grammar Core,Me anka mekɔ adwumam sɛ osu antɔ.
Grammar Core,Adwuma no yɛɛ no yie wɔ dapɛn a atwam no mu.
Grammar Core,Ɔnnkɔ sukuu da biara.
Grammar Core,Yɛbɛyɛ adwuma no wie ansa na yɛakɔ fie.
Grammar Core,Me ho adwiriw me wɔ nea woka no ho.
Grammar Core,Ɔrekenkan nwoma no wɔ dan no mu.
Grammar Core,Wɔde adwuma no maa no sɛnea ɛfata.
Conversational Data,"A: Wo ho te sɛn? B: Me ho yɛ, na wo nso ɛ?"
Conversational Data,"A: Woakɔ gua no anaa? B: Daabi, mɛkɔ ɔkyena."
Conversational Data,A: Dɛn na woreyɛ ha? B: Meretwɛn me nua.
Conversational Data,A: Yɛnhyia da bɛn? B: Yɛnhyia Kwasiada.
Conversational Data,"A: Wopɛ aduan bio? B: Aane, fa kakra bra."
Conversational Data,A: Wɔfrɛ wo sɛn? B: Me din de Kwaku.
Conversational Data,A: Ɛhe na wofi? B: Mefi Sunyani.
Conversational Data,"A: Wubetumi aboa me? B: Aane, mɛboa wo."
Conversational Data,"A: Wotie asɛm no? B: Aane, mete ase."
Conversational Data,"A: Yɛnkɔ ntɛm? B: Yiw, momma yɛnkɔ."
Code-Switching & Multilingualism,Meeting no bɛhyɛ ase anɔpa nnɔnhwerew nkron.
Code-Switching & Multilingualism,Manager no pɛ report no ansa na ɔkɔ.
Code-Switching & Multilingualism,Yɛde form no kɔ office hɔ.
Code-Switching & Multilingualism,Deadline no bɛn paa.
Code-Switching & Multilingualism,Project no rekɔ so yie.
Code-Switching & Multilingualism,Wɔyɛ training no wɔ Kumasi.
Code-Switching & Multilingualism,Team no dii nkonim.
Code-Switching & Multilingualism,Client no ani gyee proposal no ho.
Code-Switching & Multilingualism,Yɛbɛyɛ update no da a edi hɔ.
Code-Switching & Multilingualism,System no anya problem kakra.
Formal & Professional Speech,Yɛsrɛ mo ma momfa krado ntoboa mma adwuma no.
Formal & Professional Speech,Adwumayɛfo no de amanneɛbɔ no brɛɛ panyin no.
Formal & Professional Speech,Ɔyarefo no hwehwɛɛ ɔyarefo no ho yie.
Formal & Professional Speech,Mmara no kyerɛ sɛ ɛnsɛ sɛ wobu no.
Formal & Professional Speech,Yɛda mo ase wɔ mo mmoa no ho.
Formal & Professional Speech,Adwumakuo no hyiae de susuw ho.
Formal & Professional Speech,Wɔde krataa no kɔmaa adwumayɛbea no.
Formal & Professional Speech,Yɛsrɛ sɛ momfa akomam pa mfa ho.
Formal & Professional Speech,Ɔbenfo no maa akwankyerɛ pa.
Formal & Professional Speech,Adwuma no wiee pɛpɛɛpɛ.
"Idioms, Proverbs & Cultural Expressions","Nsuo bɔ dam a, ɛnsɔ fam."
"Idioms, Proverbs & Cultural Expressions","Tiri nkɔ aguare a, akyidifo nni hɔ."
"Idioms, Proverbs & Cultural Expressions","Anomaa antu a, ɔbɔ ne tirim."
"Idioms, Proverbs & Cultural Expressions","Obi nnim a, obi kyere."
"Idioms, Proverbs & Cultural Expressions","Abofra bo nnua a, na ɔrehwehwɛ akyekyedeɛ."
"Idioms, Proverbs & Cultural Expressions","Dua koro gye mframa a, ebu."
"Idioms, Proverbs & Cultural Expressions","Se wo werɛ fi na wosan kɔfa a, yenkyi."
"Idioms, Proverbs & Cultural Expressions",Ɔkɔtɔ nwo anoma.
"Idioms, Proverbs & Cultural Expressions","Wo nsa ka adwuma a, fa wo koma ka ho."
"Idioms, Proverbs & Cultural Expressions",Akomam pa yɛ sika.
Question-Answer Pairs,Dɛn nti na wopɛ adwuma yi?
Question-Answer Pairs,Ɛhe na adwumayɛbea no wɔ?
Question-Answer Pairs,Bere bɛn na sukuu no hyɛ ase?
Question-Answer Pairs,Hena na ɔkyerɛɛ wo?
Question-Answer Pairs,Dɛn na ɛmaa wudii nkonim?
